,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
0,2.4,4.8,3.6,2.4,-1.2,0.0,1.2,0.0,1.2,4.8
1,0.0,-1.2,0.0,2.4,4.8,5.999999999999999,0.0,2.4,3.6,3.6
2,3.6,0.0,3.6,2.4,3.6,1.2,0.0,1.2,1.2,1.2
3,3.6,1.2,1.2,-1.2,1.2,1.2,3.6,1.2,1.2,0.0
4,2.4,0.0,3.6,1.2,2.4,2.4,1.2,2.4,3.6,1.2
5,2.4,-1.2,1.2,2.4,3.6,3.6,2.4,3.6,3.6,2.4
6,-1.2,0.0,0.0,2.4,0.0,3.6,3.6,0.0,0.0,3.6
7,-1.2,2.4,2.4,2.4,2.4,1.2,-1.2,0.0,-2.4,1.2
8,-4.8,-8.4,0.0,0.0,0.0,0.0,-24.0,-4.8,-4.8,-3.6
9,-38.4,-56.39999999999999,-31.2,-53.99999999999999,-58.8,-36.0,-88.79999999999998,-46.8,-49.2,-26.399999999999995
10,-69.6,-70.79999999999998,-96.0,-147.6,-141.59999999999997,-133.2,-90.0,-88.79999999999998,-73.19999999999999,-28.8
11,-51.6,-41.99999999999999,-83.99999999999999,-127.19999999999996,-114.0,-128.39999999999998,-40.8,-60.0,-43.2,-19.2
12,-19.2,-10.8,-39.6,-60.0,-55.19999999999999,-62.4,-15.6,-25.2,-13.199999999999998,-4.8
13,-7.2,-8.4,-18.0,-22.8,-19.2,-19.2,-10.8,-10.8,-4.8,-3.6
14,-4.8,-4.8,-14.4,-9.6,-8.4,-11.999999999999998,-1.2,-2.4,-1.2,0.0
15,-1.2,0.0,-2.4,-3.6,-1.2,-1.2,2.4,-1.2,0.0,2.4
16,0.0,-5.999999999999999,2.4,-3.6,-3.6,0.0,0.0,-3.6,-1.2,-1.2
17,-5.999999999999999,0.0,-4.8,-9.6,-10.8,-5.999999999999999,-5.999999999999999,-3.6,-4.8,1.2
18,-3.6,-2.4,-3.6,-7.2,-9.6,-7.2,-1.2,-3.6,-2.4,0.0
19,-3.6,-2.4,-2.4,-2.4,-5.999999999999999,-4.8,-1.2,0.0,-2.4,0.0
20,-1.2,-1.2,-2.4,-2.4,-2.4,-5.999999999999999,1.2,-3.6,-1.2,2.4
21,1.2,1.2,-1.2,1.2,2.4,-2.4,0.0,2.4,1.2,3.6
22,1.2,1.2,0.0,2.4,0.0,1.2,1.2,1.2,0.0,2.4
23,1.2,-1.2,0.0,0.0,0.0,2.4,0.0,0.0,1.2,1.2
24,-1.2,1.2,-1.2,-1.2,2.4,-2.4,2.4,2.4,1.2,1.2
