,peak_X0,peak_Y0
event_238,104.0,146.39999999999998
event_239,104.0,123.6
event_240,103.0,30.0
event_241,103.0,51.6
event_242,104.0,45.6
event_243,104.0,57.6
event_244,104.0,98.4
event_245,104.0,99.6
event_246,104.0,127.19999999999996
event_247,103.0,36.0
event_248,105.0,142.79999999999998
event_249,104.0,68.39999999999999
event_250,104.0,50.39999999999999
event_251,103.0,64.8
event_252,104.0,78.0
event_253,104.0,63.59999999999999
event_254,104.0,60.0
event_255,104.0,169.2
event_256,104.0,60.0
event_257,104.0,118.79999999999998
event_258,104.0,67.2
event_259,104.0,136.79999999999998
event_260,104.0,92.4
event_261,104.0,99.6
event_262,104.0,38.4
event_263,103.0,63.59999999999999
event_264,103.0,24.0
event_265,104.0,87.6
event_266,104.0,78.0
event_267,104.0,83.99999999999999
event_268,104.0,146.39999999999998
event_269,103.0,51.6
event_270,104.0,93.6
event_271,104.0,51.6
event_272,104.0,207.6
event_273,104.0,92.4
event_274,105.0,131.99999999999997
event_275,103.0,72.0
event_276,104.0,163.2
event_277,104.0,79.19999999999999
event_278,104.0,96.0
event_279,104.0,65.99999999999999
event_280,104.0,56.39999999999999
event_281,104.0,94.8
event_282,104.0,106.8
event_283,103.0,76.8
event_284,103.0,30.0
event_285,104.0,45.6
event_286,104.0,51.6
event_287,103.0,46.8
event_288,104.0,115.2
event_289,105.0,178.79999999999998
event_290,103.0,50.39999999999999
event_291,103.0,58.8
event_292,104.0,73.19999999999999
event_293,104.0,120.0
event_294,104.0,81.6
event_295,104.0,63.59999999999999
event_296,104.0,88.79999999999998
event_297,104.0,41.99999999999999
event_298,104.0,116.4
event_299,104.0,82.8
event_300,104.0,86.39999999999999
event_301,104.0,51.6
event_302,104.0,52.79999999999999
event_303,104.0,104.4
event_304,104.0,44.39999999999999
event_305,103.0,36.0
event_306,104.0,111.6
event_307,103.0,31.2
event_308,104.0,94.8
event_309,104.0,68.39999999999999
event_310,104.0,189.6
event_311,104.0,55.19999999999999
event_312,103.0,31.2
event_313,104.0,67.2
event_314,104.0,90.0
event_315,104.0,82.8
event_316,104.0,142.79999999999998
event_317,103.0,36.0
event_318,103.0,30.0
event_319,103.0,36.0
event_320,104.0,86.39999999999999
event_321,104.0,85.2
event_322,103.0,50.39999999999999
event_323,105.0,93.6
event_324,104.0,50.39999999999999
event_325,103.0,52.79999999999999
event_326,104.0,79.19999999999999
event_327,103.0,31.2
event_328,103.0,33.6
event_329,103.0,49.2
event_330,104.0,98.4
event_331,103.0,28.8
event_332,104.0,63.59999999999999
event_333,104.0,98.4
event_334,103.0,72.0
event_335,104.0,130.8
event_336,104.0,90.0
event_337,104.0,85.2
event_338,104.0,64.8
event_339,104.0,134.4
event_340,104.0,39.6
event_341,104.0,105.59999999999998
event_342,104.0,83.99999999999999
event_343,103.0,47.99999999999999
event_344,104.0,144.0
event_345,103.0,40.8
event_346,103.0,62.4
event_347,103.0,46.8
event_348,104.0,87.6
event_349,104.0,78.0
event_350,102.0,27.599999999999994
event_351,104.0,100.79999999999998
event_352,104.0,112.79999999999998
event_353,104.0,124.8
event_354,103.0,90.0
event_355,104.0,96.0
event_356,104.0,136.79999999999998
event_357,104.0,94.8
event_358,104.0,86.39999999999999
event_359,104.0,91.2
event_360,103.0,34.8
event_361,104.0,97.2
event_362,103.0,58.8
event_363,104.0,38.4
event_364,104.0,103.2
event_365,104.0,167.99999999999997
event_366,103.0,49.2
event_367,104.0,140.4
event_368,103.0,47.99999999999999
event_369,104.0,153.6
event_370,104.0,129.6
event_371,102.0,30.0
event_372,104.0,93.6
event_373,104.0,86.39999999999999
event_374,104.0,49.2
event_375,104.0,80.4
event_376,103.0,57.6
event_377,103.0,49.2
event_378,104.0,78.0
event_379,104.0,108.0
event_380,103.0,36.0
event_381,104.0,58.8
event_382,104.0,121.2
event_383,104.0,41.99999999999999
event_384,104.0,72.0
event_385,105.0,126.0
event_386,104.0,46.8
event_387,103.0,58.8
event_388,103.0,38.4
event_389,104.0,183.6
