,peak_X0,peak_Y0
event_0,103.0,-58.0
event_1,103.0,-59.00000000000001
event_2,104.0,-105.0
event_3,103.0,-111.0
event_4,104.0,-130.0
event_5,103.0,-86.0
event_6,103.0,-84.0
event_7,103.0,-76.0
event_8,103.0,-64.0
event_9,104.0,-73.0
event_10,103.0,-65.0
event_11,104.0,-84.0
event_12,103.0,-58.0
event_13,104.0,-75.0
event_14,104.0,-126.0
event_15,104.0,-121.0
event_16,102.0,-58.0
event_17,104.0,-97.0
event_18,103.0,-73.0
event_19,104.0,-108.0
event_20,103.0,-77.0
event_21,103.0,-58.0
event_22,104.0,-116.0
event_23,104.0,-122.0
event_24,103.0,-65.0
event_25,104.0,-103.0
event_26,103.0,-76.0
event_27,103.0,-90.0
event_28,103.0,-60.0
event_29,104.0,-119.0
event_30,103.0,-56.0
event_31,103.0,-99.0
event_32,104.0,-84.0
event_33,104.0,-125.0
event_34,103.0,-57.0
event_35,103.0,-62.0
event_36,104.0,-161.0
event_37,104.0,-79.0
event_38,104.0,-163.0
event_39,104.0,-109.0
event_40,103.0,-66.0
event_41,104.0,-108.0
event_42,104.0,-124.0
event_43,104.0,-92.0
event_44,104.0,-76.0
event_45,103.0,-93.0
event_46,104.0,-78.0
event_47,103.0,-68.0
event_48,103.0,-55.0
event_49,103.0,-85.0
event_50,104.0,-171.0
event_51,104.0,-134.0
event_52,103.0,-81.0
event_53,103.0,-76.0
event_54,103.0,-79.0
event_55,103.0,-84.0
event_56,104.0,-84.0
event_57,103.0,-72.00000000000001
event_58,103.0,-76.0
event_59,103.0,-91.0
event_60,104.0,-177.0
event_61,103.0,-90.0
event_62,104.0,-164.0
event_63,103.0,-85.0
event_64,103.0,-77.0
event_65,103.0,-90.0
event_66,104.0,-121.0
event_67,104.0,-177.0
event_68,104.0,-68.0
event_69,104.0,-102.0
event_70,104.0,-94.0
event_71,104.0,-100.0
event_72,104.0,-104.0
event_73,103.0,-70.0
event_74,104.0,-147.0
event_75,103.0,-76.0
event_76,104.0,-138.0
event_77,103.0,-92.0
event_78,103.0,-81.0
event_79,103.0,-105.0
event_80,104.0,-103.0
event_81,104.0,-93.0
event_82,103.0,-65.0
event_83,104.0,-66.0
event_84,103.0,-57.0
event_85,103.0,-86.0
event_86,103.0,-66.0
event_87,102.0,-54.0
event_88,104.0,-88.0
event_89,104.0,-156.0
event_90,104.0,-68.0
event_91,105.0,-177.0
event_92,103.0,-100.0
event_93,103.0,-58.0
event_94,104.0,-140.0
event_95,104.0,-145.0
event_96,104.0,-163.0
event_97,103.0,-59.00000000000001
event_98,103.0,-93.0
event_99,104.0,-177.0
event_100,104.0,-99.0
event_101,104.0,-119.0
event_102,103.0,-83.0
event_103,103.0,-77.0
event_104,104.0,-133.0
event_105,103.0,-109.0
event_106,104.0,-106.0
event_107,104.0,-132.0
event_108,104.0,-126.0
event_109,104.0,-146.0
event_110,104.0,-74.0
event_111,103.0,-96.0
event_112,104.0,-120.0
event_113,103.0,-81.0
event_114,103.0,-94.0
event_115,104.0,-177.0
event_116,104.0,-96.0
event_117,104.0,-87.00000000000001
event_118,104.0,-106.0
event_119,104.0,-168.0
event_120,103.0,-108.0
event_121,104.0,-132.0
event_122,102.0,-55.0
event_123,104.0,-61.0
event_124,104.0,-108.0
event_125,104.0,-153.0
event_126,103.0,-61.0
event_127,104.0,-86.0
event_128,103.0,-60.0
event_129,103.0,-93.0
event_130,103.0,-93.0
event_131,104.0,-120.0
event_132,102.0,-52.00000000000001
event_133,103.0,-65.0
event_134,103.0,-72.00000000000001
event_135,104.0,-150.0
event_136,104.0,-90.0
event_137,104.0,-99.0
event_138,103.0,-82.0
event_139,103.0,-69.0
event_140,104.0,-99.0
event_141,104.0,-102.0
event_142,104.0,-177.0
event_143,104.0,-165.0
event_144,103.0,-61.0
event_145,104.0,-77.0
event_146,104.0,-88.0
event_147,104.0,-164.0
event_148,104.0,-141.0
event_149,103.0,-78.0
event_150,103.0,-69.0
event_151,103.0,-59.00000000000001
event_152,104.0,-70.0
event_153,104.0,-72.00000000000001
event_154,103.0,-62.0
event_155,104.0,-123.0
event_156,103.0,-65.0
event_157,104.0,-97.0
event_158,103.0,-107.0
event_159,104.0,-141.0
event_160,104.0,-78.0
event_161,102.0,-53.0
event_162,103.0,-58.0
event_163,104.0,-64.0
event_164,103.0,-71.00000000000001
event_165,103.0,-58.0
event_166,104.0,-99.0
event_167,103.0,-93.0
event_168,104.0,-106.0
event_169,104.0,-112.0
event_170,104.0,-72.00000000000001
event_171,103.0,-96.0
event_172,103.0,-68.0
event_173,104.0,-126.0
event_174,104.0,-108.0
event_175,103.0,-65.0
event_176,103.0,-91.0
event_177,104.0,-111.0
event_178,104.0,-116.0
event_179,103.0,-92.0
event_180,104.0,-124.0
event_181,103.0,-79.0
event_182,103.0,-55.0
event_183,103.0,-73.0
event_184,103.0,-62.0
event_185,104.0,-98.0
event_186,103.0,-76.0
event_187,104.0,-103.0
event_188,104.0,-100.0
event_189,103.0,-72.00000000000001
event_190,104.0,-135.0
event_191,103.0,-71.00000000000001
event_192,104.0,-158.0
event_193,103.0,-61.0
event_194,104.0,-102.0
event_195,104.0,-97.0
event_196,103.0,-70.0
event_197,104.0,-99.0
event_198,103.0,-59.00000000000001
event_199,103.0,-115.0
event_200,103.0,-54.0
event_201,104.0,-115.0
event_202,104.0,-135.0
event_203,103.0,-66.0
event_204,103.0,-86.0
event_205,103.0,-74.0
event_206,104.0,-114.0
event_207,103.0,-61.0
event_208,104.0,-128.0
event_209,104.0,-128.0
event_210,103.0,-86.0
event_211,103.0,-99.0
event_212,103.0,-59.00000000000001
event_213,102.0,-58.0
event_214,104.0,-105.0
event_215,104.0,-101.0
event_216,104.0,-136.0
event_217,103.0,-61.0
event_218,103.0,-79.0
event_219,104.0,-136.0
event_220,103.0,-77.0
event_221,103.0,-83.0
event_222,104.0,-111.0
event_223,104.0,-139.0
event_224,104.0,-78.0
event_225,104.0,-165.0
event_226,103.0,-74.0
event_227,104.0,-177.0
event_228,103.0,-77.0
event_229,104.0,-139.0
event_230,103.0,-85.0
