,peak_X0,peak_X1,peak_Y0,peak_Y1
event_140,104.0,713.0,44.39999999999999,24.0
event_141,105.0,1408.0,97.2,50.39999999999999
event_142,105.0,799.0,105.59999999999998,16.8
event_143,105.0,342.0,80.4,51.6
event_144,105.0,965.0,114.0,21.6
event_145,105.0,1792.0,65.99999999999999,13.199999999999998
event_146,104.0,1016.0,47.99999999999999,27.599999999999994
event_147,105.0,352.0,64.8,34.8
event_148,105.0,648.0,64.8,13.199999999999998
event_149,104.0,686.0,70.79999999999998,60.0
event_150,104.0,436.0,45.6,38.4
event_151,105.0,399.0,98.4,19.2
event_152,105.0,803.0,118.79999999999998,34.8
event_153,105.0,763.0,124.8,15.6
event_154,104.0,2450.0,65.99999999999999,16.8
event_155,104.0,1191.0,44.39999999999999,55.19999999999999
event_156,104.0,639.0,83.99999999999999,53.99999999999999
event_157,104.0,599.0,45.6,15.6
event_158,105.0,914.0,92.4,25.2
event_159,105.0,1479.0,81.6,34.8
event_160,105.0,341.0,78.0,27.599999999999994
event_161,105.0,475.0,86.39999999999999,31.2
event_162,103.0,700.0,21.6,46.8
event_163,105.0,648.0,82.8,19.2
event_164,102.0,653.0,21.6,13.199999999999998
event_165,105.0,271.0,134.4,31.2
event_166,104.0,298.0,40.8,32.4
event_167,105.0,823.0,104.4,43.2
event_168,104.0,583.0,81.6,30.0
event_169,105.0,651.0,87.6,82.8
event_170,105.0,1315.0,91.2,16.8
event_171,105.0,1598.0,142.79999999999998,56.39999999999999
event_172,104.0,1493.0,104.4,46.8
event_173,104.0,1111.0,57.6,18.0
event_174,105.0,1666.0,53.99999999999999,37.2
event_175,103.0,2029.0,30.0,86.39999999999999
event_176,105.0,1099.0,85.2,41.99999999999999
event_177,104.0,853.0,34.8,10.8
event_178,105.0,353.0,57.6,60.0
event_179,104.0,285.0,68.39999999999999,15.6
event_180,104.0,386.0,37.2,21.6
event_181,105.0,384.0,91.2,20.4
event_182,103.0,261.0,24.0,64.8
event_183,105.0,1093.0,124.8,22.8
event_184,104.0,1638.0,46.8,16.8
