,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49
time_epoch,1615358157.7471876,1615358159.903311,1615358162.0604343,1615358164.2655606,1615358166.4706867,1615358168.6278102,1615358170.7779331,1615358172.9560575,1615358175.1181815,1615358177.276305,1615358179.4284277,1615358181.5895517,1615358183.747675,1615358185.899798,1615358188.0589216,1615358190.2180452,1615358192.3711684,1615358194.5402923,1615358196.6924155,1615358198.8615394,1615358201.0156627,1615358203.170786,1615358205.3299096,1615358207.491033,1615358209.6461563,1615358211.7982795,1615358213.954403,1615358216.1125262,1615358218.2656493,1615358220.4847763,1615358222.6418996,1615358224.7930226,1615358227.0131497,1615358229.1722732,1615358231.3253963,1615358233.4865198,1615358235.6426432,1615358237.7947664,1615358240.0128932,1615358242.1730165,1615358244.3271399,1615358246.5212655,1615358248.6733885,1615358250.8455126,1615358253.002636,1615358255.1567593,1615358257.3168828,1615358259.468006,1615358261.6251292,1615358263.7772524
0,52.0,52.0,51.0,52.0,53.0,55.0,53.0,53.0,50.0,52.0,52.0,51.0,51.0,53.0,52.0,53.0,53.0,52.0,53.0,51.0,52.0,52.0,52.0,54.0,54.0,53.0,52.0,53.0,51.0,51.0,53.0,53.0,54.0,51.0,55.0,53.0,52.0,54.0,53.0,54.0,50.0,53.0,54.0,51.0,53.0,52.0,55.0,53.0,53.0,53.0
1,51.0,51.0,53.0,51.0,53.0,53.0,54.0,54.0,51.0,53.0,53.0,54.0,51.0,51.0,53.0,52.0,51.0,53.0,54.0,53.0,54.0,52.0,54.0,55.0,54.0,51.0,52.0,53.0,52.0,52.0,52.0,54.0,52.0,52.0,51.0,52.0,53.0,52.0,52.0,54.0,51.0,52.0,52.0,54.0,52.0,54.0,53.0,52.0,52.0,50.0
2,50.0,53.0,53.0,52.0,51.0,53.0,54.0,52.0,51.0,52.0,55.0,53.0,51.0,53.0,53.0,54.0,51.0,52.0,54.0,51.0,52.0,51.0,52.0,53.0,51.0,53.0,54.0,51.0,51.0,53.0,53.0,53.0,54.0,54.0,51.0,52.0,52.0,51.0,53.0,54.0,53.0,51.0,51.0,53.0,53.0,52.0,54.0,52.0,52.0,51.0
3,53.0,53.0,52.0,53.0,54.0,52.0,53.0,52.0,52.0,54.0,52.0,54.0,52.0,52.0,53.0,53.0,52.0,55.0,53.0,52.0,52.0,53.0,53.0,51.0,53.0,53.0,53.0,55.0,53.0,52.0,55.0,50.0,53.0,52.0,53.0,53.0,52.0,53.0,51.0,53.0,52.0,51.0,53.0,53.0,53.0,51.0,52.0,53.0,53.0,52.0
4,53.0,52.0,54.0,53.0,52.0,52.0,50.0,53.0,52.0,52.0,50.0,53.0,53.0,53.0,51.0,53.0,52.0,52.0,51.0,52.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,51.0,53.0,52.0,53.0,52.0,51.0,51.0,53.0,53.0,51.0,54.0,51.0,52.0,53.0,53.0,53.0,54.0,52.0,54.0,52.0,52.0,52.0,50.0
5,51.0,53.0,50.0,53.0,52.0,54.0,51.0,54.0,51.0,53.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,51.0,53.0,52.0,51.0,52.0,51.0,53.0,54.0,53.0,54.0,54.0,52.0,50.0,53.0,53.0,52.0,53.0,54.0,52.0,52.0,51.0,50.0,51.0,52.0,53.0,53.0,53.0,52.0,54.0,52.0,53.0,51.0,52.0
6,53.0,52.0,51.0,51.0,50.0,50.0,51.0,52.0,51.0,54.0,52.0,54.0,52.0,52.0,54.0,51.0,51.0,53.0,56.0,53.0,51.0,53.0,52.0,53.0,54.0,53.0,54.0,54.0,51.0,50.0,53.0,51.0,52.0,53.0,52.0,52.0,53.0,54.0,51.0,52.0,54.0,53.0,52.0,53.0,52.0,51.0,52.0,51.0,52.0,50.0
7,52.0,52.0,53.0,52.0,52.0,53.0,50.0,50.0,52.0,52.0,52.0,53.0,52.0,54.0,51.0,53.0,52.0,53.0,53.0,54.0,55.0,53.0,51.0,52.0,53.0,51.0,54.0,51.0,53.0,54.0,52.0,53.0,54.0,52.0,53.0,53.0,52.0,54.0,51.0,53.0,55.0,52.0,54.0,53.0,52.0,54.0,51.0,53.0,52.0,51.0
8,51.0,51.0,53.0,49.0,54.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0,53.0,51.0,53.0,51.0,52.0,52.0,53.0,51.0,51.0,54.0,53.0,51.0,51.0,53.0,51.0,52.0,53.0,54.0,53.0,52.0,53.0,50.0,55.0,50.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,51.0
