,peak_X0,peak_Y0
event_0,102.0,-13.600000000000001
event_1,104.0,-68.8
event_2,104.0,-64.8
event_3,104.0,-68.8
event_4,103.0,-17.6
event_5,104.0,-22.4
event_6,104.0,-36.00000000000001
event_7,103.0,-21.6
event_8,104.0,-117.60000000000001
event_9,104.0,-104.00000000000001
event_10,104.0,-40.800000000000004
event_11,104.0,-40.0
event_12,104.0,-69.60000000000001
event_13,104.0,-20.0
event_14,104.0,-64.0
event_15,104.0,-81.60000000000001
event_16,105.0,-96.80000000000001
event_17,103.0,-13.600000000000001
event_18,105.0,-121.6
event_19,104.0,-112.80000000000001
event_20,104.0,-32.800000000000004
event_21,104.0,-20.0
event_22,105.0,-124.0
event_23,105.0,-61.6
event_24,103.0,-17.6
event_25,104.0,-56.800000000000004
event_26,103.0,-17.6
event_27,103.0,-14.400000000000002
event_28,103.0,-24.800000000000004
event_29,104.0,-36.00000000000001
event_30,103.0,-13.600000000000001
event_31,104.0,-64.8
event_32,104.0,-64.0
event_33,103.0,-24.0
event_34,104.0,-50.4
event_35,103.0,-15.2
event_36,103.0,-31.200000000000003
event_37,104.0,-40.800000000000004
event_38,103.0,-17.6
event_39,103.0,-16.8
event_40,104.0,-67.2
