,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100,event_101
0,3.6,0.0,0.0,4.8,2.4,5.999999999999999,1.2,3.6,0.0,3.6,4.8,2.4,2.4,0.0,2.4,1.2,1.2,2.4,0.0,0.0,1.2,2.4,2.4,2.4,2.4,2.4,1.2,2.4,3.6,2.4,2.4,0.0,2.4,-1.2,1.2,2.4,2.4,0.0,2.4,1.2,2.4,3.6,1.2,-1.2,-1.2,-1.2,-1.2,2.4,0.0,3.6,1.2,2.4,0.0,3.6,1.2,1.2,1.2,1.2,1.2,1.2,3.6,2.4,3.6,3.6,2.4,0.0,1.2,2.4,-1.2,3.6,4.8,2.4,-1.2,2.4,2.4,2.4,3.6,1.2,3.6,1.2,-1.2,1.2,0.0,0.0,-1.2,1.2,0.0,1.2,4.8,2.4,3.6,2.4,-1.2,2.4,1.2,2.4,-1.2,0.0,0.0,1.2,2.4,1.2
1,0.0,3.6,3.6,1.2,3.6,2.4,1.2,1.2,3.6,2.4,4.8,2.4,-1.2,1.2,1.2,1.2,2.4,2.4,2.4,0.0,1.2,1.2,0.0,1.2,3.6,1.2,1.2,2.4,2.4,2.4,2.4,-2.4,3.6,2.4,3.6,3.6,2.4,1.2,0.0,3.6,3.6,3.6,0.0,0.0,3.6,-1.2,1.2,3.6,1.2,1.2,0.0,1.2,-1.2,1.2,2.4,2.4,3.6,2.4,0.0,1.2,0.0,-2.4,-1.2,2.4,2.4,3.6,1.2,1.2,-1.2,0.0,2.4,2.4,1.2,1.2,2.4,1.2,3.6,4.8,0.0,3.6,0.0,1.2,0.0,2.4,0.0,2.4,1.2,1.2,0.0,-1.2,3.6,1.2,1.2,2.4,2.4,1.2,2.4,2.4,1.2,-1.2,2.4,1.2
2,3.6,1.2,2.4,2.4,2.4,1.2,-1.2,2.4,1.2,3.6,0.0,2.4,1.2,1.2,1.2,1.2,0.0,2.4,1.2,2.4,1.2,2.4,2.4,3.6,2.4,2.4,1.2,1.2,3.6,0.0,1.2,2.4,3.6,2.4,2.4,2.4,3.6,3.6,1.2,0.0,1.2,4.8,2.4,1.2,1.2,3.6,1.2,3.6,3.6,1.2,2.4,0.0,3.6,3.6,1.2,3.6,0.0,3.6,0.0,1.2,3.6,1.2,2.4,0.0,3.6,1.2,3.6,2.4,3.6,2.4,1.2,3.6,4.8,2.4,1.2,0.0,1.2,1.2,2.4,1.2,0.0,4.8,0.0,0.0,3.6,2.4,1.2,4.8,1.2,4.8,1.2,2.4,2.4,1.2,2.4,-2.4,3.6,3.6,3.6,0.0,0.0,1.2
3,0.0,3.6,3.6,2.4,2.4,1.2,0.0,0.0,2.4,2.4,1.2,2.4,3.6,3.6,3.6,3.6,3.6,3.6,1.2,1.2,5.999999999999999,4.8,2.4,0.0,3.6,1.2,3.6,2.4,2.4,-1.2,2.4,0.0,-1.2,2.4,4.8,1.2,3.6,0.0,2.4,2.4,3.6,1.2,3.6,4.8,0.0,3.6,0.0,3.6,2.4,2.4,1.2,1.2,1.2,2.4,0.0,3.6,3.6,4.8,1.2,2.4,2.4,2.4,1.2,1.2,-1.2,3.6,3.6,2.4,1.2,0.0,3.6,1.2,0.0,1.2,1.2,4.8,2.4,2.4,1.2,2.4,2.4,3.6,1.2,0.0,1.2,1.2,1.2,0.0,2.4,0.0,0.0,3.6,2.4,1.2,2.4,2.4,2.4,0.0,0.0,2.4,1.2,2.4
4,-1.2,1.2,2.4,2.4,0.0,3.6,3.6,-1.2,1.2,0.0,2.4,2.4,1.2,2.4,-2.4,0.0,3.6,1.2,2.4,1.2,3.6,1.2,0.0,0.0,1.2,1.2,2.4,2.4,2.4,-1.2,0.0,0.0,1.2,1.2,1.2,2.4,1.2,-1.2,3.6,2.4,3.6,2.4,0.0,1.2,2.4,1.2,3.6,1.2,0.0,2.4,2.4,3.6,0.0,0.0,0.0,-1.2,1.2,1.2,2.4,2.4,1.2,0.0,1.2,2.4,2.4,1.2,0.0,1.2,1.2,1.2,2.4,-1.2,1.2,0.0,2.4,1.2,0.0,1.2,1.2,1.2,2.4,2.4,1.2,1.2,0.0,1.2,1.2,0.0,4.8,1.2,0.0,0.0,3.6,1.2,2.4,3.6,1.2,1.2,-1.2,1.2,1.2,-1.2
5,2.4,2.4,-2.4,0.0,-1.2,3.6,1.2,1.2,2.4,0.0,0.0,2.4,-1.2,3.6,3.6,1.2,2.4,0.0,2.4,0.0,0.0,2.4,0.0,3.6,3.6,2.4,1.2,1.2,0.0,3.6,1.2,1.2,2.4,2.4,0.0,3.6,2.4,2.4,3.6,3.6,0.0,4.8,0.0,0.0,1.2,1.2,2.4,1.2,1.2,2.4,1.2,2.4,1.2,1.2,3.6,1.2,2.4,2.4,0.0,4.8,0.0,2.4,2.4,1.2,0.0,0.0,1.2,0.0,2.4,1.2,2.4,1.2,1.2,1.2,1.2,1.2,3.6,2.4,2.4,1.2,-1.2,1.2,2.4,0.0,2.4,1.2,2.4,1.2,2.4,4.8,3.6,3.6,1.2,3.6,3.6,1.2,0.0,2.4,2.4,3.6,2.4,0.0
6,1.2,1.2,2.4,1.2,1.2,2.4,2.4,0.0,2.4,0.0,3.6,1.2,3.6,1.2,2.4,3.6,2.4,1.2,3.6,1.2,2.4,2.4,2.4,4.8,1.2,0.0,1.2,2.4,3.6,1.2,1.2,2.4,2.4,2.4,-1.2,0.0,2.4,4.8,-2.4,2.4,3.6,1.2,-1.2,2.4,0.0,2.4,1.2,1.2,3.6,0.0,1.2,2.4,2.4,0.0,1.2,2.4,2.4,2.4,2.4,3.6,0.0,0.0,2.4,2.4,0.0,-1.2,2.4,4.8,1.2,2.4,2.4,3.6,3.6,2.4,-1.2,1.2,1.2,1.2,0.0,0.0,2.4,0.0,3.6,1.2,1.2,4.8,1.2,1.2,0.0,2.4,2.4,1.2,1.2,0.0,2.4,2.4,3.6,3.6,2.4,2.4,2.4,2.4
7,-1.2,2.4,3.6,0.0,2.4,-2.4,-1.2,-1.2,0.0,0.0,1.2,2.4,1.2,1.2,-2.4,3.6,3.6,0.0,0.0,1.2,3.6,2.4,1.2,1.2,0.0,1.2,3.6,-1.2,2.4,-1.2,2.4,2.4,0.0,1.2,0.0,2.4,2.4,0.0,3.6,2.4,1.2,3.6,1.2,2.4,0.0,0.0,2.4,0.0,2.4,3.6,2.4,0.0,1.2,1.2,0.0,0.0,1.2,2.4,-1.2,2.4,-1.2,2.4,2.4,1.2,2.4,3.6,3.6,2.4,0.0,1.2,2.4,-1.2,2.4,1.2,0.0,-1.2,-2.4,2.4,1.2,0.0,1.2,0.0,3.6,3.6,3.6,0.0,1.2,1.2,3.6,1.2,2.4,1.2,0.0,3.6,2.4,2.4,-2.4,0.0,2.4,2.4,0.0,3.6
8,-22.8,2.4,-2.4,-27.599999999999994,-11.999999999999998,-30.0,-28.8,0.0,-15.6,2.4,-28.8,-4.8,-3.6,-2.4,-2.4,-7.2,-4.8,0.0,-3.6,-7.2,1.2,0.0,-2.4,-1.2,-18.0,-13.199999999999998,-3.6,-13.199999999999998,-24.0,-1.2,-19.2,-1.2,-3.6,-9.6,-11.999999999999998,0.0,-1.2,0.0,1.2,-15.6,-10.8,-3.6,-5.999999999999999,-8.4,-13.199999999999998,-2.4,-1.2,-18.0,-11.999999999999998,-18.0,-4.8,-24.0,-1.2,0.0,-1.2,-18.0,3.6,-2.4,-20.4,0.0,1.2,2.4,0.0,1.2,-19.2,-4.8,-1.2,-7.2,-22.8,-14.4,-1.2,-4.8,-24.0,-11.999999999999998,-20.4,-19.2,-19.2,-1.2,-4.8,-3.6,1.2,-3.6,0.0,-3.6,-2.4,-1.2,-2.4,-4.8,1.2,-2.4,-7.2,-10.8,-11.999999999999998,-3.6,-2.4,1.2,0.0,3.6,-7.2,2.4,-26.399999999999995,-3.6
9,-104.4,-22.8,-31.2,-98.4,-32.4,-110.39999999999998,-73.19999999999999,-36.0,-82.8,-36.0,-136.79999999999998,-33.6,-50.39999999999999,-60.0,-49.2,-39.6,-41.99999999999999,-37.2,-49.2,-75.59999999999998,-41.99999999999999,-24.0,-49.2,-25.2,-74.39999999999999,-57.6,-51.6,-58.8,-93.6,-10.8,-87.6,-38.4,-53.99999999999999,-39.6,-97.2,-19.2,-8.4,-19.2,-16.8,-86.39999999999999,-80.4,-25.2,-22.8,-61.2,-99.6,-21.6,-24.0,-105.59999999999998,-58.8,-78.0,-32.4,-99.6,-30.0,-21.6,-34.8,-86.39999999999999,-20.4,-41.99999999999999,-65.99999999999999,-41.99999999999999,-37.2,-19.2,-22.8,-26.399999999999995,-87.6,-49.2,-56.39999999999999,-88.79999999999998,-104.4,-83.99999999999999,-79.19999999999999,-20.4,-73.19999999999999,-86.39999999999999,-114.0,-100.79999999999998,-94.8,-22.8,-43.2,-57.6,-10.8,-50.39999999999999,-33.6,-49.2,-60.0,-28.8,-47.99999999999999,-30.0,-11.999999999999998,-19.2,-39.6,-65.99999999999999,-92.4,-57.6,-41.99999999999999,-22.8,-15.6,-26.399999999999995,-26.399999999999995,-32.4,-140.4,-27.599999999999994
