,0
event_0,-369.1482352941176
event_1,-173.9482352941176
event_2,-150.34823529411764
event_3,-309.5482352941176
event_4,-81.94823529411764
event_5,-350.7482352941176
event_6,-233.54823529411763
event_7,-153.94823529411764
event_8,-271.54823529411766
event_9,-323.9482352941175
event_10,-442.7482352941176
event_11,-75.94823529411765
event_12,-297.54823529411755
event_13,-402.3482352941176
event_14,-321.1482352941176
event_15,-104.34823529411763
event_16,-235.54823529411755
event_17,-304.7482352941176
event_18,-315.14823529411757
event_19,-281.54823529411755
event_20,-391.1482352941177
event_21,-179.94823529411764
event_22,-250.34823529411761
event_23,-195.94823529411764
event_24,-258.3482352941175
event_25,-169.9482352941176
event_26,-284.3482352941176
event_27,-195.14823529411765
event_28,-283.5482352941176
event_29,-84.74823529411768
event_30,-271.54823529411766
event_31,-171.54823529411763
event_32,-268.74823529411753
event_33,-77.14823529411765
event_34,-420.74823529411765
event_35,-54.748235294117656
event_36,-21.948235294117662
event_37,-228.34823529411761
event_38,-55.148235294117654
event_39,-296.34823529411756
event_40,-247.14823529411765
event_41,-39.54823529411764
event_42,-57.54823529411765
event_43,-281.5482352941176
event_44,-436.7482352941176
event_45,-48.348235294117664
event_46,-171.94823529411764
event_47,-353.9482352941176
event_48,-190.34823529411761
event_49,-256.34823529411756
event_50,-67.94823529411768
event_51,-294.34823529411767
event_52,-157.94823529411767
event_53,-67.94823529411765
event_54,-122.34823529411764
event_55,-338.34823529411756
event_56,-137.94823529411764
event_57,-207.9482352941176
event_58,-209.54823529411757
event_59,-293.1482352941176
event_60,-261.9482352941176
event_61,-45.54823529411767
event_62,-67.94823529411768
event_63,-191.54823529411757
event_64,-303.9482352941176
event_65,-181.94823529411764
event_66,-355.14823529411757
event_67,-465.14823529411757
event_68,-329.5482352941176
event_69,-286.34823529411756
event_70,-482.7482352941176
event_71,-41.948235294117644
event_72,-216.34823529411761
event_73,-336.7482352941176
event_74,-391.14823529411757
event_75,-337.5482352941176
event_76,-298.7482352941176
event_77,-143.54823529411757
event_78,-231.54823529411763
event_79,-267.9482352941176
event_80,-71.54823529411765
event_81,-233.14823529411765
event_82,-182.34823529411761
event_83,-262.74823529411765
event_84,-429.9482352941175
event_85,-192.7482352941176
event_86,-216.74823529411765
event_87,-156.74823529411768
event_88,-30.348235294117657
event_89,-28.348235294117654
event_90,-152.34823529411767
event_91,-264.74823529411765
event_92,-339.54823529411755
event_93,-326.74823529411765
event_94,-202.7482352941176
event_95,-135.94823529411767
event_96,-117.14823529411764
event_97,-182.34823529411761
event_98,-64.74823529411765
event_99,-248.7482352941176
event_100,-489.9482352941176
event_101,-185.14823529411765
