,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
time_epoch,1613787627.3684318,1613787629.5285556,1613787631.6946793,1613787633.9088058,1613787636.0699294,1613787638.243054,1613787640.4031775,1613787642.5693014,1613787644.7384253,1613787646.898549,1613787649.0656729,1613787651.2317967,1613787653.3909202,1613787655.6180477,1613787657.7851717,1613787659.9442952,1613787662.1204195,1613787664.2855434,1613787666.445667,1613787668.6077907
0,53.0,51.0,52.0,53.0,54.0,52.0,54.0,51.0,54.0,54.0,52.0,53.0,50.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0
1,52.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,50.0,53.0,50.0,53.0,53.0,53.0,52.0,53.0
2,52.0,52.0,54.0,52.0,53.0,52.0,52.0,52.0,54.0,54.0,52.0,52.0,52.0,55.0,53.0,52.0,54.0,53.0,52.0,52.0
3,53.0,52.0,54.0,52.0,52.0,53.0,54.0,51.0,52.0,53.0,51.0,51.0,52.0,54.0,53.0,54.0,52.0,53.0,52.0,54.0
4,54.0,51.0,53.0,53.0,52.0,53.0,52.0,51.0,53.0,51.0,53.0,54.0,50.0,53.0,52.0,53.0,52.0,52.0,54.0,52.0
5,53.0,54.0,54.0,52.0,52.0,53.0,51.0,52.0,53.0,54.0,54.0,52.0,51.0,53.0,49.0,52.0,53.0,55.0,52.0,53.0
6,52.0,52.0,53.0,52.0,52.0,53.0,53.0,50.0,53.0,53.0,54.0,53.0,52.0,52.0,53.0,54.0,52.0,55.0,53.0,53.0
7,52.0,54.0,52.0,53.0,52.0,54.0,52.0,52.0,50.0,53.0,52.0,55.0,55.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0
8,52.0,52.0,53.0,53.0,52.0,53.0,54.0,51.0,54.0,54.0,53.0,52.0,53.0,55.0,51.0,54.0,52.0,53.0,51.0,52.0
