,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
23,53.0,52.0,55.0,51.0,53.0,53.0,53.0,55.0,54.0,53.0
24,53.0,53.0,50.0,51.0,53.0,53.0,52.0,53.0,54.0,52.0
25,53.0,52.0,53.0,50.0,52.0,54.0,53.0,52.0,55.0,53.0
26,52.0,53.0,53.0,55.0,52.0,53.0,54.0,53.0,53.0,51.0
27,53.0,53.0,53.0,52.0,52.0,53.0,53.0,53.0,54.0,51.0
28,52.0,51.0,54.0,50.0,55.0,53.0,53.0,52.0,54.0,53.0
29,52.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,54.0,54.0
30,52.0,52.0,51.0,53.0,53.0,53.0,51.0,52.0,54.0,53.0
31,51.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,53.0,53.0
32,53.0,54.0,53.0,53.0,52.0,54.0,53.0,51.0,53.0,54.0
33,53.0,54.0,52.0,55.0,54.0,51.0,54.0,53.0,53.0,55.0
34,53.0,51.0,51.0,53.0,51.0,52.0,52.0,51.0,55.0,53.0
35,53.0,53.0,52.0,51.0,53.0,54.0,52.0,52.0,53.0,51.0
36,55.0,53.0,52.0,52.0,50.0,53.0,52.0,52.0,53.0,51.0
37,54.0,53.0,54.0,51.0,51.0,54.0,52.0,51.0,53.0,51.0
38,53.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,53.0,52.0
39,53.0,50.0,50.0,52.0,52.0,53.0,52.0,51.0,53.0,51.0
40,53.0,51.0,52.0,50.0,53.0,52.0,53.0,51.0,52.0,51.0
41,53.0,53.0,52.0,51.0,52.0,51.0,54.0,51.0,54.0,51.0
42,52.0,54.0,52.0,53.0,54.0,54.0,53.0,53.0,52.0,52.0
43,52.0,51.0,53.0,55.0,53.0,54.0,53.0,52.0,54.0,50.0
44,51.0,51.0,54.0,52.0,53.0,54.0,53.0,50.0,54.0,52.0
45,53.0,52.0,55.0,53.0,55.0,55.0,52.0,52.0,54.0,52.0
46,51.0,53.0,52.0,52.0,52.0,52.0,52.0,54.0,55.0,52.0
47,51.0,54.0,52.0,52.0,52.0,54.0,51.0,54.0,54.0,51.0
48,52.0,51.0,51.0,53.0,54.0,54.0,52.0,52.0,54.0,51.0
49,53.0,54.0,54.0,53.0,52.0,52.0,51.0,53.0,53.0,52.0
50,53.0,52.0,52.0,53.0,53.0,52.0,52.0,51.0,54.0,51.0
51,51.0,51.0,52.0,51.0,53.0,53.0,53.0,53.0,53.0,50.0
52,54.0,51.0,53.0,51.0,53.0,54.0,51.0,52.0,51.0,53.0
53,54.0,51.0,54.0,54.0,53.0,54.0,52.0,53.0,54.0,50.0
54,52.0,53.0,53.0,53.0,54.0,54.0,50.0,51.0,52.0,52.0
55,51.0,53.0,53.0,53.0,55.0,53.0,52.0,53.0,51.0,51.0
56,53.0,54.0,51.0,52.0,52.0,54.0,53.0,54.0,54.0,53.0
57,53.0,55.0,52.0,53.0,54.0,54.0,53.0,53.0,55.0,53.0
58,53.0,49.0,52.0,52.0,52.0,53.0,53.0,52.0,55.0,53.0
59,52.0,52.0,52.0,51.0,50.0,51.0,51.0,53.0,52.0,51.0
60,53.0,54.0,53.0,52.0,52.0,54.0,52.0,52.0,54.0,50.0
61,53.0,53.0,53.0,52.0,53.0,52.0,53.0,51.0,54.0,52.0
62,56.0,53.0,53.0,52.0,54.0,52.0,53.0,53.0,53.0,51.0
63,53.0,51.0,53.0,52.0,53.0,52.0,53.0,52.0,52.0,50.0
64,53.0,53.0,54.0,54.0,53.0,51.0,54.0,52.0,52.0,51.0
65,52.0,52.0,52.0,51.0,55.0,55.0,53.0,52.0,54.0,52.0
66,51.0,52.0,53.0,50.0,54.0,53.0,53.0,54.0,53.0,53.0
67,51.0,52.0,50.0,51.0,51.0,53.0,50.0,53.0,53.0,53.0
68,52.0,50.0,51.0,52.0,52.0,53.0,53.0,53.0,55.0,52.0
69,53.0,53.0,52.0,53.0,52.0,53.0,51.0,52.0,52.0,53.0
70,53.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0
71,55.0,50.0,51.0,53.0,53.0,54.0,52.0,53.0,55.0,51.0
72,53.0,54.0,53.0,51.0,49.0,54.0,54.0,54.0,52.0,53.0
