,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
time_epoch,1613789731.1017587,1613789733.3198853,1613789735.4850094,1613789737.6451328,1613789739.821257,1613789741.9893813,1613789744.1585054,1613789746.3266294,1613789748.4937534,1613789750.6528769
0,49.0,51.0,54.0,51.0,54.0,53.0,53.0,51.0,53.0,53.0
1,50.0,52.0,54.0,52.0,52.0,51.0,53.0,53.0,54.0,51.0
2,52.0,52.0,53.0,52.0,52.0,52.0,51.0,52.0,53.0,53.0
3,51.0,51.0,52.0,53.0,53.0,52.0,53.0,54.0,53.0,53.0
4,52.0,51.0,54.0,52.0,52.0,52.0,50.0,53.0,54.0,53.0
5,51.0,50.0,54.0,53.0,53.0,52.0,51.0,52.0,53.0,52.0
6,52.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,53.0,52.0
7,51.0,50.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0
8,53.0,54.0,53.0,51.0,54.0,53.0,52.0,53.0,54.0,54.0
9,50.0,51.0,54.0,51.0,53.0,51.0,53.0,53.0,54.0,54.0
10,52.0,53.0,53.0,53.0,52.0,51.0,51.0,52.0,53.0,54.0
11,53.0,52.0,53.0,51.0,54.0,51.0,52.0,51.0,53.0,52.0
12,50.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,52.0,54.0
13,52.0,52.0,51.0,52.0,52.0,50.0,52.0,53.0,54.0,53.0
14,52.0,53.0,54.0,51.0,51.0,50.0,53.0,53.0,52.0,50.0
15,50.0,53.0,53.0,51.0,50.0,53.0,52.0,52.0,53.0,54.0
16,51.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,52.0,53.0
17,52.0,54.0,53.0,52.0,51.0,52.0,51.0,52.0,53.0,52.0
18,51.0,53.0,53.0,54.0,53.0,52.0,51.0,53.0,52.0,51.0
19,51.0,53.0,53.0,52.0,53.0,51.0,51.0,53.0,53.0,54.0
20,52.0,53.0,52.0,53.0,51.0,51.0,52.0,53.0,53.0,54.0
21,52.0,54.0,54.0,51.0,51.0,52.0,52.0,50.0,53.0,53.0
22,52.0,51.0,52.0,50.0,52.0,52.0,50.0,53.0,52.0,54.0
23,54.0,52.0,54.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0
24,53.0,52.0,53.0,52.0,50.0,53.0,51.0,53.0,55.0,53.0
25,52.0,52.0,54.0,53.0,53.0,51.0,52.0,52.0,53.0,53.0
26,53.0,52.0,53.0,53.0,53.0,51.0,53.0,54.0,52.0,52.0
27,50.0,51.0,54.0,52.0,52.0,52.0,52.0,54.0,54.0,55.0
28,52.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0
29,51.0,53.0,53.0,50.0,53.0,52.0,51.0,53.0,51.0,52.0
30,54.0,51.0,53.0,53.0,51.0,53.0,53.0,53.0,55.0,53.0
31,51.0,52.0,53.0,51.0,53.0,53.0,52.0,50.0,51.0,53.0
32,51.0,51.0,53.0,52.0,53.0,53.0,52.0,51.0,52.0,52.0
33,53.0,53.0,51.0,53.0,51.0,52.0,54.0,54.0,54.0,53.0
34,51.0,54.0,54.0,51.0,53.0,53.0,52.0,53.0,53.0,52.0
35,54.0,52.0,55.0,52.0,54.0,54.0,53.0,52.0,53.0,53.0
36,52.0,52.0,52.0,53.0,52.0,53.0,54.0,52.0,52.0,54.0
37,52.0,51.0,53.0,54.0,52.0,52.0,51.0,55.0,53.0,53.0
38,55.0,54.0,54.0,52.0,52.0,51.0,53.0,54.0,53.0,54.0
39,53.0,53.0,53.0,50.0,52.0,52.0,53.0,52.0,51.0,54.0
40,52.0,52.0,54.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0
41,55.0,51.0,52.0,53.0,53.0,53.0,52.0,52.0,54.0,51.0
42,53.0,52.0,53.0,53.0,54.0,52.0,51.0,53.0,52.0,52.0
43,51.0,51.0,52.0,53.0,52.0,53.0,51.0,55.0,54.0,53.0
44,51.0,51.0,54.0,52.0,52.0,52.0,53.0,52.0,52.0,54.0
45,55.0,53.0,53.0,51.0,53.0,52.0,53.0,54.0,53.0,53.0
46,51.0,53.0,52.0,54.0,52.0,53.0,53.0,53.0,55.0,53.0
47,53.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,54.0
48,51.0,51.0,53.0,50.0,54.0,51.0,53.0,50.0,52.0,53.0
49,50.0,51.0,52.0,52.0,52.0,51.0,49.0,52.0,53.0,53.0
50,52.0,53.0,51.0,55.0,53.0,51.0,53.0,52.0,54.0,52.0
