,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
828,52.0,52.0,53.0,53.0,52.0,52.0,53.0,54.0,52.0,53.0,51.0,51.0,51.0,52.0,52.0,52.0,51.0,53.0,51.0,51.0
829,52.0,52.0,50.0,50.0,53.0,53.0,53.0,50.0,53.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0
830,51.0,51.0,52.0,52.0,53.0,53.0,54.0,50.0,54.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0,52.0,55.0,53.0
831,52.0,52.0,51.0,51.0,52.0,52.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,54.0
832,52.0,52.0,52.0,52.0,54.0,54.0,55.0,53.0,55.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,51.0,52.0
833,51.0,51.0,54.0,54.0,53.0,53.0,55.0,54.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,52.0
834,52.0,52.0,51.0,51.0,52.0,52.0,54.0,52.0,54.0,54.0,53.0,53.0,53.0,54.0,54.0,54.0,52.0,52.0,52.0,53.0
835,52.0,52.0,51.0,51.0,54.0,54.0,54.0,52.0,52.0,50.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0
836,53.0,53.0,52.0,52.0,53.0,53.0,52.0,54.0,53.0,55.0,53.0,53.0,53.0,51.0,51.0,51.0,52.0,50.0,52.0,55.0
837,53.0,53.0,53.0,53.0,53.0,53.0,51.0,53.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,52.0,51.0
838,53.0,53.0,53.0,53.0,52.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0,52.0
839,53.0,53.0,51.0,51.0,52.0,52.0,54.0,51.0,55.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,50.0,53.0
840,52.0,52.0,52.0,52.0,52.0,52.0,54.0,51.0,54.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0
841,50.0,50.0,53.0,53.0,50.0,50.0,53.0,54.0,52.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,51.0,53.0,53.0,53.0
842,52.0,52.0,54.0,54.0,52.0,52.0,53.0,51.0,51.0,53.0,51.0,51.0,51.0,53.0,53.0,53.0,51.0,54.0,52.0,52.0
843,50.0,50.0,51.0,51.0,51.0,51.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,50.0,54.0,52.0,52.0
844,52.0,52.0,50.0,50.0,52.0,52.0,54.0,53.0,55.0,51.0,54.0,54.0,54.0,52.0,52.0,52.0,52.0,51.0,54.0,53.0
845,51.0,51.0,51.0,51.0,52.0,52.0,54.0,54.0,53.0,54.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0
