,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,time_units
time_epoch,1613845566.9589937,1613845569.118117,1613845571.283241,1613845573.4483647,1613845575.6074882,1613845577.7746122,1613845579.9777381,1613845582.138862,1613845584.3129861,1613845586.4741096,
0,0.0016,0.0,0.002,0.0008,0.0008,0.0008,-0.0004,0.002,0.0004,0.0012000000000000001,-4e-07
1,0.0012000000000000001,0.0012000000000000001,0.0004,0.0008,0.0004,0.0008,0.0004,0.0008,0.0008,0.0008,-3.96e-07
2,0.0016,0.0016,0.0008,0.0008,0.0016,0.0008,0.0012000000000000001,0.0012000000000000001,0.0012000000000000001,0.0012000000000000001,-3.9199999999999996e-07
3,0.0012000000000000001,0.0,0.0008,0.0004,0.0008,0.0008,0.0008,0.002,0.0012000000000000001,0.0012000000000000001,-3.88e-07
4,0.0008,0.0016,0.0008,0.0,0.0008,0.0008,0.0004,0.002,0.0008,0.0012000000000000001,-3.84e-07
5,0.0004,0.0008,0.0008,0.0016,0.0,0.0008,0.0012000000000000001,0.0016,0.0008,0.0012000000000000001,-3.7999999999999996e-07
6,0.0012000000000000001,0.0012000000000000001,0.0,0.0012000000000000001,0.0,0.0008,0.0,0.0008,0.0012000000000000001,0.0012000000000000001,-3.76e-07
7,0.0012000000000000001,0.0008,0.0012000000000000001,0.0004,0.0008,0.0016,0.0012000000000000001,0.0016,0.0004,0.0012000000000000001,-3.72e-07
8,0.0012000000000000001,0.0012000000000000001,0.0004,0.0008,0.0008,0.0004,0.0,0.0012000000000000001,0.0016,0.0008,-3.6799999999999996e-07
9,0.002,0.0016,0.0008,0.0012000000000000001,0.0,0.0,0.0,0.0012000000000000001,0.0004,0.0008,-3.64e-07
10,0.0016,0.0004,0.0008,0.0012000000000000001,0.0008,0.0008,0.0008,0.002,0.0008,0.0012000000000000001,-3.6e-07
11,0.0016,0.0012000000000000001,0.0004,0.0004,0.0008,0.0008,0.0004,0.0016,0.0008,0.0008,-3.5599999999999996e-07
12,0.0008,0.0008,0.0008,0.0008,0.0008,0.0,0.0012000000000000001,0.0008,0.0008,0.0012000000000000001,-3.52e-07
13,0.0012000000000000001,0.0,0.0008,0.0012000000000000001,0.0012000000000000001,0.0016,0.0008,0.0008,0.0004,0.0004,-3.48e-07
