,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,104.0,330.0,-43.2,-52.79999999999999
event_1,103.0,911.0,-49.2,-10.8
event_2,104.0,921.0,-76.8,-22.8
event_3,104.0,1074.0,-81.6,-97.2
event_4,104.0,554.0,-109.2,-80.4
event_5,104.0,2191.0,-58.8,-72.0
event_6,104.0,553.0,-82.8,-55.19999999999999
event_7,104.0,825.0,-65.99999999999999,-26.399999999999995
event_8,104.0,614.0,-80.4,-64.8
event_9,104.0,561.0,-106.8,-73.19999999999999
event_10,103.0,681.0,-26.399999999999995,-64.8
event_11,104.0,266.0,-80.4,-26.399999999999995
event_12,103.0,606.0,-36.0,-52.79999999999999
event_13,104.0,339.0,-92.4,-9.6
event_14,103.0,403.0,-51.6,-44.39999999999999
event_15,104.0,638.0,-105.59999999999998,-62.4
event_16,104.0,972.0,-61.2,-9.6
event_17,103.0,714.0,-43.2,-85.2
event_18,104.0,669.0,-102.0,-81.6
event_19,104.0,583.0,-109.2,-88.79999999999998
event_20,104.0,983.0,-88.79999999999998,-18.0
event_21,104.0,1173.0,-37.2,-79.19999999999999
event_22,105.0,306.0,-123.6,-19.2
event_23,104.0,431.0,-111.6,-57.6
event_24,104.0,1229.0,-118.79999999999998,-65.99999999999999
event_25,103.0,917.0,-31.2,-11.999999999999998
event_26,104.0,759.0,-67.2,-111.6
event_27,104.0,279.0,-118.79999999999998,-34.8
event_28,105.0,358.0,-69.6,-61.2
event_29,105.0,1123.0,-148.79999999999998,-14.4
event_30,104.0,861.0,-129.6,-30.0
event_31,104.0,352.0,-87.6,-82.8
event_32,104.0,512.0,-161.99999999999997,-47.99999999999999
event_33,104.0,967.0,-57.6,-31.2
event_34,104.0,1723.0,-72.0,-27.599999999999994
event_35,103.0,396.0,-34.8,-135.6
event_36,104.0,464.0,-166.79999999999998,-58.8
event_37,103.0,839.0,-47.99999999999999,-31.2
event_38,104.0,284.0,-83.99999999999999,-13.199999999999998
event_39,104.0,826.0,-85.2,-137.99999999999997
event_40,104.0,1225.0,-87.6,-34.8
event_41,104.0,549.0,-93.6,-37.2
event_42,104.0,635.0,-94.8,-80.4
event_43,104.0,520.0,-85.2,-93.6
event_44,104.0,940.0,-56.39999999999999,-11.999999999999998
event_45,104.0,416.0,-70.79999999999998,-25.2
event_46,103.0,728.0,-33.6,-15.6
event_47,104.0,701.0,-170.4,-120.0
event_48,104.0,561.0,-115.2,-26.399999999999995
event_49,104.0,515.0,-93.6,-75.59999999999998
event_50,104.0,267.0,-91.2,-20.4
event_51,104.0,743.0,-152.39999999999998,-43.2
event_52,104.0,322.0,-61.2,-16.8
event_53,104.0,1361.0,-69.6,-15.6
event_54,104.0,1889.0,-72.0,-32.4
event_55,103.0,326.0,-51.6,-47.99999999999999
event_56,104.0,1307.0,-120.0,-96.0
event_57,103.0,564.0,-46.8,-11.999999999999998
event_58,104.0,2001.0,-131.99999999999997,-52.79999999999999
event_59,104.0,1256.0,-39.6,-69.6
event_60,104.0,649.0,-114.0,-51.6
event_61,105.0,966.0,-73.19999999999999,-18.0
event_62,104.0,867.0,-73.19999999999999,-20.4
event_63,104.0,745.0,-87.6,-56.39999999999999
event_64,103.0,1385.0,-27.599999999999994,-16.8
event_65,104.0,409.0,-87.6,-20.4
event_66,104.0,322.0,-91.2,-33.6
event_67,104.0,527.0,-157.2,-64.8
event_68,104.0,527.0,-161.99999999999997,-73.19999999999999
event_69,104.0,458.0,-183.6,-83.99999999999999
event_70,104.0,627.0,-105.59999999999998,-50.39999999999999
event_71,104.0,371.0,-97.2,-87.6
event_72,104.0,875.0,-151.19999999999996,-53.99999999999999
event_73,104.0,412.0,-164.39999999999998,-79.19999999999999
event_74,104.0,781.0,-130.8,-38.4
event_75,104.0,676.0,-74.39999999999999,-58.8
event_76,104.0,276.0,-50.39999999999999,-14.4
event_77,104.0,445.0,-158.39999999999998,-58.8
event_78,104.0,1083.0,-92.4,-33.6
event_79,104.0,516.0,-105.59999999999998,-11.999999999999998
event_80,104.0,360.0,-141.59999999999997,-30.0
event_81,104.0,454.0,-140.4,-50.39999999999999
event_82,104.0,606.0,-85.2,-74.39999999999999
event_83,105.0,2046.0,-127.19999999999996,-33.6
event_84,105.0,1366.0,-158.39999999999998,-82.8
event_85,104.0,742.0,-115.2,-158.39999999999998
event_86,103.0,1448.0,-27.599999999999994,-52.79999999999999
event_87,104.0,254.0,-80.4,-100.79999999999998
event_88,104.0,600.0,-61.2,-31.2
event_89,103.0,300.0,-43.2,-81.6
event_90,104.0,549.0,-163.2,-28.8
event_91,103.0,874.0,-40.8,-79.19999999999999
event_92,104.0,822.0,-85.2,-103.2
event_93,104.0,1076.0,-80.4,-21.6
event_94,104.0,529.0,-74.39999999999999,-57.6
event_95,103.0,723.0,-47.99999999999999,-11.999999999999998
event_96,104.0,440.0,-83.99999999999999,-15.6
event_97,103.0,470.0,-37.2,-9.6
event_98,105.0,1408.0,-100.79999999999998,-110.39999999999998
event_99,104.0,610.0,-69.6,-57.6
event_100,103.0,828.0,-39.6,-151.19999999999996
