,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99,event_100
10,-52.79999999999999,-10.8,-22.8,-97.2,-80.4,-72.0,-55.19999999999999,-26.399999999999995,-64.8,-73.19999999999999,-64.8,-26.399999999999995,-52.79999999999999,-9.6,-44.39999999999999,-62.4,-9.6,-85.2,-81.6,-88.79999999999998,-18.0,-79.19999999999999,-19.2,-57.6,-65.99999999999999,-11.999999999999998,-111.6,-34.8,-61.2,-14.4,-30.0,-82.8,-47.99999999999999,-31.2,-27.599999999999994,-135.6,-58.8,-31.2,-13.199999999999998,-137.99999999999997,-34.8,-37.2,-80.4,-93.6,-11.999999999999998,-25.2,-15.6,-120.0,-26.399999999999995,-75.59999999999998,-20.4,-43.2,-16.8,-15.6,-32.4,-47.99999999999999,-96.0,-11.999999999999998,-52.79999999999999,-69.6,-51.6,-18.0,-20.4,-56.39999999999999,-16.8,-20.4,-33.6,-64.8,-73.19999999999999,-83.99999999999999,-50.39999999999999,-87.6,-53.99999999999999,-79.19999999999999,-38.4,-58.8,-14.4,-58.8,-33.6,-11.999999999999998,-30.0,-50.39999999999999,-74.39999999999999,-33.6,-82.8,-158.39999999999998,-52.79999999999999,-100.79999999999998,-31.2,-81.6,-28.8,-79.19999999999999,-103.2,-21.6,-57.6,-11.999999999999998,-15.6,-9.6,-110.39999999999998,-57.6,-151.19999999999996
11,-25.2,-10.8,-22.8,-44.39999999999999,-49.2,-44.39999999999999,-32.4,-16.8,-38.4,-52.79999999999999,-55.19999999999999,-22.8,-52.79999999999999,-7.2,-27.599999999999994,-52.79999999999999,-5.999999999999999,-52.79999999999999,-45.6,-67.2,-13.199999999999998,-57.6,-10.8,-45.6,-62.4,-5.999999999999999,-78.0,-19.2,-36.0,-10.8,-19.2,-58.8,-26.399999999999995,-21.6,-18.0,-130.8,-43.2,-28.8,-10.8,-86.39999999999999,-30.0,-21.6,-43.2,-67.2,-11.999999999999998,-14.4,-7.2,-68.39999999999999,-24.0,-37.2,-10.8,-31.2,-16.8,-11.999999999999998,-18.0,-36.0,-68.39999999999999,-5.999999999999999,-49.2,-62.4,-32.4,-11.999999999999998,-20.4,-24.0,-9.6,-11.999999999999998,-20.4,-50.39999999999999,-41.99999999999999,-80.4,-50.39999999999999,-64.8,-39.6,-53.99999999999999,-33.6,-56.39999999999999,-14.4,-52.79999999999999,-18.0,-11.999999999999998,-21.6,-22.8,-44.39999999999999,-16.8,-51.6,-91.2,-40.8,-73.19999999999999,-21.6,-62.4,-21.6,-67.2,-102.0,-16.8,-36.0,-3.6,-11.999999999999998,1.2,-80.4,-43.2,-91.2
12,-9.6,-3.6,-14.4,-15.6,-19.2,-18.0,-11.999999999999998,-2.4,-13.199999999999998,-18.0,-24.0,-13.199999999999998,-25.2,1.2,-11.999999999999998,-21.6,-2.4,-21.6,-18.0,-24.0,-3.6,-22.8,-4.8,-22.8,-28.8,-1.2,-31.2,-4.8,-15.6,0.0,-5.999999999999999,-21.6,-10.8,-9.6,-9.6,-60.0,-18.0,-16.8,-5.999999999999999,-33.6,-13.199999999999998,-4.8,-15.6,-27.599999999999994,-5.999999999999999,-3.6,-4.8,-24.0,-11.999999999999998,-10.8,-5.999999999999999,-11.999999999999998,-8.4,-4.8,-7.2,-15.6,-27.599999999999994,-2.4,-26.399999999999995,-31.2,-14.4,-5.999999999999999,-9.6,-3.6,-7.2,-5.999999999999999,-8.4,-24.0,-13.199999999999998,-36.0,-22.8,-25.2,-11.999999999999998,-19.2,-14.4,-24.0,-4.8,-25.2,-7.2,-4.8,-8.4,-5.999999999999999,-20.4,-8.4,-19.2,-28.8,-21.6,-26.399999999999995,-8.4,-28.8,-11.999999999999998,-30.0,-50.39999999999999,-5.999999999999999,-13.199999999999998,-2.4,0.0,-1.2,-26.399999999999995,-20.4,-36.0
13,-4.8,3.6,-4.8,-7.2,-8.4,-5.999999999999999,-5.999999999999999,-1.2,-4.8,-5.999999999999999,-9.6,-2.4,-9.6,1.2,-3.6,-7.2,-2.4,-9.6,-7.2,-3.6,-2.4,-9.6,-2.4,-10.8,-13.199999999999998,0.0,-9.6,-4.8,-7.2,-1.2,-4.8,-4.8,-2.4,-2.4,-3.6,-15.6,-7.2,-7.2,-1.2,-16.8,-4.8,-2.4,-5.999999999999999,-9.6,-2.4,-1.2,0.0,-11.999999999999998,-5.999999999999999,-4.8,0.0,-2.4,-2.4,2.4,-7.2,-3.6,-11.999999999999998,-1.2,-5.999999999999999,-10.8,-7.2,-1.2,-2.4,-4.8,-2.4,-2.4,-1.2,-8.4,-4.8,-9.6,-5.999999999999999,-8.4,-3.6,-7.2,-4.8,-5.999999999999999,-1.2,-9.6,-5.999999999999999,-1.2,-3.6,-3.6,-11.999999999999998,-5.999999999999999,-8.4,-15.6,-7.2,-11.999999999999998,-2.4,-9.6,-4.8,-9.6,-16.8,-4.8,-5.999999999999999,0.0,2.4,0.0,-9.6,-9.6,-15.6
14,-1.2,0.0,-4.8,-3.6,-1.2,-3.6,-2.4,2.4,-2.4,-3.6,-4.8,1.2,-5.999999999999999,0.0,0.0,-5.999999999999999,0.0,-4.8,-2.4,-5.999999999999999,0.0,-5.999999999999999,1.2,-4.8,-3.6,0.0,-5.999999999999999,1.2,-3.6,0.0,-2.4,-2.4,1.2,0.0,-2.4,-9.6,-3.6,-1.2,-1.2,-5.999999999999999,-2.4,2.4,-3.6,-7.2,0.0,0.0,1.2,-5.999999999999999,-2.4,-2.4,-2.4,-3.6,-1.2,2.4,-3.6,-4.8,-7.2,2.4,-3.6,-3.6,-1.2,1.2,-2.4,-1.2,0.0,1.2,0.0,-3.6,-2.4,-7.2,0.0,-4.8,-3.6,-3.6,-3.6,-2.4,0.0,-3.6,1.2,2.4,-3.6,0.0,-4.8,-1.2,0.0,-4.8,-4.8,-8.4,1.2,-3.6,-2.4,-5.999999999999999,-8.4,-1.2,-3.6,-1.2,1.2,-1.2,-7.2,-4.8,-9.6
15,-1.2,1.2,2.4,-1.2,0.0,0.0,-1.2,-2.4,1.2,1.2,-2.4,0.0,-2.4,-1.2,1.2,-1.2,1.2,0.0,-1.2,-1.2,2.4,0.0,0.0,-1.2,-1.2,1.2,1.2,3.6,-2.4,2.4,1.2,2.4,0.0,0.0,1.2,-1.2,-1.2,0.0,2.4,1.2,2.4,4.8,1.2,-1.2,2.4,4.8,2.4,1.2,0.0,0.0,1.2,-1.2,0.0,0.0,1.2,-3.6,0.0,2.4,-4.8,0.0,0.0,0.0,1.2,1.2,0.0,0.0,3.6,-1.2,-1.2,-3.6,0.0,1.2,0.0,1.2,-1.2,0.0,-3.6,0.0,-1.2,-1.2,2.4,-1.2,0.0,-1.2,-3.6,-2.4,0.0,-3.6,-1.2,1.2,1.2,0.0,-3.6,1.2,0.0,0.0,2.4,2.4,-2.4,-4.8,1.2
16,0.0,1.2,-2.4,-3.6,-2.4,-3.6,-3.6,-1.2,-3.6,0.0,0.0,-2.4,2.4,0.0,0.0,-2.4,1.2,0.0,-3.6,-1.2,-1.2,2.4,-2.4,0.0,-3.6,5.999999999999999,0.0,0.0,-2.4,1.2,-1.2,0.0,-2.4,0.0,1.2,-2.4,-2.4,0.0,1.2,-3.6,-1.2,0.0,-3.6,-1.2,3.6,2.4,0.0,-1.2,2.4,1.2,-1.2,2.4,2.4,2.4,0.0,-2.4,-3.6,0.0,-1.2,-2.4,-2.4,0.0,0.0,-2.4,0.0,2.4,0.0,-3.6,-1.2,-2.4,1.2,0.0,1.2,3.6,2.4,1.2,0.0,2.4,0.0,-1.2,1.2,0.0,-3.6,-2.4,-3.6,-5.999999999999999,0.0,-2.4,-1.2,-1.2,3.6,-1.2,-4.8,1.2,0.0,2.4,1.2,2.4,-1.2,-1.2,-3.6
17,-3.6,1.2,1.2,-3.6,-4.8,-2.4,-2.4,-1.2,-4.8,-4.8,-2.4,1.2,-1.2,1.2,-1.2,-2.4,2.4,-3.6,-4.8,-4.8,-1.2,-1.2,0.0,-3.6,-4.8,-3.6,-3.6,-1.2,-4.8,1.2,0.0,-4.8,-2.4,-2.4,2.4,-4.8,-3.6,-2.4,-1.2,-8.4,0.0,0.0,-4.8,-4.8,0.0,1.2,0.0,-5.999999999999999,1.2,-8.4,-1.2,-2.4,-1.2,2.4,1.2,0.0,-4.8,2.4,-1.2,-2.4,-1.2,2.4,2.4,-3.6,1.2,-1.2,-2.4,-2.4,-3.6,-3.6,0.0,-5.999999999999999,-2.4,-3.6,1.2,-2.4,1.2,1.2,1.2,0.0,-2.4,-1.2,-5.999999999999999,-3.6,-4.8,-8.4,-4.8,-3.6,-2.4,-4.8,-2.4,-3.6,-2.4,0.0,-4.8,-2.4,2.4,-1.2,-4.8,-3.6,-7.2
18,-3.6,0.0,0.0,-3.6,-3.6,0.0,0.0,-1.2,-2.4,-4.8,-4.8,1.2,-2.4,0.0,-2.4,-2.4,1.2,-1.2,2.4,-4.8,-1.2,-4.8,1.2,-3.6,-5.999999999999999,2.4,-7.2,-1.2,-2.4,0.0,1.2,-3.6,0.0,0.0,-2.4,-7.2,-4.8,0.0,1.2,-3.6,-1.2,1.2,-3.6,-4.8,1.2,0.0,1.2,-7.2,-1.2,-2.4,-2.4,-1.2,0.0,1.2,0.0,-5.999999999999999,-3.6,-1.2,-2.4,-4.8,-1.2,-1.2,-1.2,-2.4,1.2,1.2,0.0,0.0,-1.2,-4.8,-3.6,-4.8,-4.8,-1.2,-1.2,-2.4,-1.2,-2.4,1.2,3.6,-1.2,0.0,-1.2,-2.4,-5.999999999999999,-4.8,0.0,-4.8,0.0,-2.4,0.0,-5.999999999999999,-5.999999999999999,0.0,-3.6,0.0,2.4,1.2,-5.999999999999999,-2.4,-4.8
19,-2.4,1.2,2.4,-1.2,0.0,-2.4,-1.2,0.0,-3.6,1.2,1.2,-2.4,0.0,-2.4,0.0,1.2,1.2,-2.4,-1.2,-2.4,1.2,-1.2,1.2,1.2,-2.4,1.2,-3.6,0.0,-1.2,2.4,0.0,-1.2,0.0,1.2,-3.6,-3.6,1.2,-1.2,1.2,-3.6,0.0,-1.2,-2.4,-2.4,0.0,2.4,1.2,-2.4,0.0,0.0,-2.4,0.0,1.2,0.0,0.0,-1.2,-1.2,1.2,-1.2,0.0,-1.2,0.0,-1.2,-1.2,0.0,3.6,1.2,-3.6,-1.2,0.0,-1.2,1.2,-1.2,-2.4,-2.4,0.0,0.0,-1.2,-1.2,0.0,1.2,-1.2,-1.2,-1.2,-3.6,-4.8,-2.4,-2.4,0.0,1.2,-2.4,1.2,-2.4,0.0,-1.2,0.0,2.4,1.2,-3.6,-1.2,-5.999999999999999
20,1.2,1.2,-1.2,-3.6,-2.4,-2.4,1.2,0.0,-3.6,-3.6,0.0,1.2,1.2,2.4,1.2,-1.2,0.0,-1.2,-2.4,-1.2,-1.2,-1.2,1.2,-2.4,-2.4,0.0,-3.6,3.6,-1.2,-1.2,-1.2,-2.4,0.0,0.0,1.2,0.0,-1.2,-2.4,1.2,-1.2,0.0,1.2,1.2,-4.8,2.4,1.2,1.2,-5.999999999999999,1.2,-1.2,3.6,-1.2,2.4,1.2,-1.2,0.0,-2.4,1.2,3.6,-1.2,0.0,1.2,-1.2,-2.4,1.2,0.0,-1.2,-2.4,-3.6,-2.4,2.4,-1.2,1.2,-1.2,0.0,-1.2,1.2,1.2,0.0,-1.2,1.2,-1.2,-2.4,1.2,-3.6,-7.2,-2.4,-1.2,3.6,-2.4,1.2,-4.8,-2.4,1.2,1.2,0.0,3.6,3.6,-2.4,-2.4,-4.8
21,2.4,-1.2,-1.2,3.6,-1.2,2.4,0.0,3.6,1.2,1.2,0.0,1.2,-2.4,3.6,2.4,3.6,1.2,1.2,1.2,-2.4,0.0,2.4,1.2,1.2,-1.2,1.2,2.4,-1.2,-1.2,0.0,1.2,-1.2,-1.2,2.4,1.2,0.0,0.0,2.4,2.4,0.0,2.4,1.2,0.0,2.4,2.4,1.2,3.6,2.4,1.2,2.4,1.2,0.0,2.4,0.0,0.0,1.2,2.4,2.4,-2.4,0.0,-1.2,1.2,0.0,0.0,0.0,-1.2,2.4,0.0,1.2,0.0,-1.2,-1.2,2.4,0.0,0.0,-1.2,2.4,-3.6,2.4,0.0,-1.2,2.4,0.0,1.2,2.4,1.2,1.2,-2.4,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,-1.2,2.4
22,2.4,1.2,2.4,1.2,1.2,2.4,0.0,-1.2,-1.2,2.4,1.2,3.6,2.4,1.2,1.2,0.0,3.6,0.0,0.0,1.2,2.4,1.2,2.4,-2.4,3.6,0.0,4.8,2.4,0.0,3.6,-1.2,2.4,1.2,2.4,-1.2,2.4,1.2,5.999999999999999,-1.2,-2.4,2.4,2.4,1.2,2.4,1.2,-1.2,3.6,1.2,0.0,0.0,1.2,-1.2,1.2,2.4,2.4,0.0,2.4,1.2,2.4,1.2,4.8,2.4,-1.2,0.0,0.0,1.2,1.2,0.0,1.2,1.2,0.0,3.6,1.2,1.2,4.8,2.4,0.0,1.2,1.2,2.4,0.0,-1.2,1.2,1.2,0.0,2.4,3.6,1.2,1.2,2.4,4.8,1.2,3.6,2.4,-2.4,0.0,3.6,1.2,3.6,-1.2,1.2
23,1.2,1.2,1.2,1.2,2.4,-1.2,0.0,3.6,4.8,0.0,1.2,2.4,1.2,0.0,1.2,3.6,1.2,1.2,3.6,0.0,2.4,-1.2,0.0,3.6,0.0,1.2,1.2,1.2,0.0,-1.2,0.0,-1.2,2.4,0.0,-1.2,1.2,-1.2,1.2,3.6,0.0,2.4,1.2,0.0,0.0,2.4,0.0,2.4,2.4,1.2,3.6,2.4,2.4,0.0,2.4,1.2,3.6,-1.2,3.6,1.2,1.2,0.0,2.4,0.0,2.4,1.2,3.6,2.4,3.6,0.0,1.2,1.2,2.4,1.2,0.0,1.2,1.2,2.4,0.0,1.2,0.0,1.2,1.2,0.0,3.6,1.2,-4.8,-1.2,0.0,1.2,0.0,1.2,1.2,-1.2,0.0,0.0,1.2,0.0,0.0,-2.4,1.2,-2.4
24,2.4,1.2,-1.2,2.4,0.0,0.0,0.0,0.0,-1.2,2.4,1.2,0.0,2.4,1.2,-1.2,0.0,2.4,0.0,1.2,-1.2,4.8,1.2,2.4,1.2,1.2,1.2,1.2,3.6,2.4,2.4,2.4,2.4,0.0,1.2,0.0,0.0,0.0,2.4,1.2,0.0,1.2,3.6,2.4,0.0,1.2,3.6,1.2,1.2,2.4,2.4,2.4,2.4,-1.2,2.4,1.2,2.4,2.4,3.6,2.4,2.4,1.2,3.6,-1.2,2.4,-1.2,0.0,1.2,1.2,2.4,0.0,1.2,2.4,1.2,-1.2,0.0,2.4,2.4,0.0,-1.2,0.0,2.4,1.2,1.2,1.2,1.2,1.2,1.2,3.6,2.4,0.0,-1.2,1.2,-1.2,1.2,0.0,2.4,2.4,0.0,0.0,1.2,0.0
