,peak_X0,peak_Y0
event_0,104.0,62.4
event_1,104.0,44.39999999999999
event_2,105.0,86.39999999999999
event_3,104.0,34.8
event_4,103.0,22.8
event_5,105.0,63.59999999999999
event_6,104.0,46.8
event_7,104.0,39.6
event_8,105.0,56.39999999999999
event_9,104.0,75.59999999999998
event_10,105.0,60.0
event_11,105.0,58.8
event_12,104.0,30.0
event_13,105.0,81.6
event_14,105.0,90.0
event_15,104.0,57.6
event_16,104.0,53.99999999999999
event_17,103.0,37.2
event_18,105.0,52.79999999999999
event_19,104.0,70.79999999999998
event_20,104.0,65.99999999999999
event_21,104.0,39.6
event_22,104.0,31.2
event_23,104.0,36.0
event_24,104.0,33.6
event_25,103.0,22.8
event_26,104.0,52.79999999999999
event_27,104.0,61.2
event_28,104.0,50.39999999999999
event_29,105.0,65.99999999999999
event_30,105.0,104.4
event_31,104.0,63.59999999999999
event_32,104.0,53.99999999999999
event_33,105.0,75.59999999999998
event_34,105.0,55.19999999999999
event_35,103.0,19.2
event_36,104.0,34.8
event_37,105.0,53.99999999999999
event_38,104.0,68.39999999999999
event_39,104.0,47.99999999999999
event_40,104.0,40.8
event_41,104.0,36.0
event_42,104.0,26.399999999999995
event_43,104.0,34.8
event_44,104.0,34.8
event_45,104.0,41.99999999999999
event_46,104.0,53.99999999999999
event_47,104.0,40.8
event_48,104.0,43.2
event_49,105.0,87.6
event_50,103.0,24.0
event_51,105.0,80.4
event_52,105.0,58.8
event_53,104.0,63.59999999999999
event_54,105.0,75.59999999999998
event_55,105.0,61.2
event_56,104.0,38.4
event_57,105.0,122.4
event_58,104.0,40.8
event_59,104.0,25.2
event_60,104.0,93.6
event_61,102.0,25.2
event_62,105.0,68.39999999999999
event_63,105.0,49.2
event_64,104.0,38.4
event_65,105.0,56.39999999999999
event_66,104.0,73.19999999999999
event_67,105.0,63.59999999999999
event_68,104.0,55.19999999999999
event_69,103.0,37.2
event_70,104.0,63.59999999999999
event_71,105.0,88.79999999999998
event_72,105.0,86.39999999999999
event_73,104.0,73.19999999999999
event_74,105.0,72.0
event_75,104.0,40.8
event_76,103.0,33.6
event_77,105.0,76.8
event_78,103.0,30.0
event_79,104.0,62.4
event_80,104.0,80.4
event_81,104.0,37.2
event_82,104.0,26.399999999999995
event_83,103.0,25.2
event_84,104.0,49.2
event_85,104.0,24.0
event_86,104.0,78.0
event_87,105.0,82.8
event_88,105.0,61.2
event_89,104.0,43.2
event_90,105.0,78.0
event_91,105.0,117.6
event_92,104.0,58.8
event_93,104.0,39.6
event_94,104.0,34.8
event_95,104.0,55.19999999999999
event_96,105.0,92.4
event_97,104.0,32.4
event_98,105.0,82.8
event_99,105.0,70.79999999999998
event_100,104.0,38.4
event_101,104.0,27.599999999999994
event_102,106.0,288.0
event_103,104.0,37.2
event_104,102.0,21.6
event_105,105.0,39.6
event_106,105.0,115.2
event_107,104.0,74.39999999999999
event_108,104.0,41.99999999999999
event_109,104.0,36.0
event_110,105.0,53.99999999999999
event_111,103.0,20.4
event_112,105.0,160.8
event_113,104.0,67.2
event_114,105.0,163.2
event_115,105.0,60.0
event_116,104.0,37.2
event_117,103.0,31.2
event_118,104.0,65.99999999999999
event_119,104.0,38.4
event_120,104.0,74.39999999999999
event_121,104.0,57.6
event_122,104.0,67.2
event_123,104.0,72.0
event_124,105.0,80.4
event_125,103.0,32.4
event_126,105.0,88.79999999999998
event_127,104.0,32.4
event_128,104.0,49.2
event_129,103.0,26.399999999999995
event_130,104.0,47.99999999999999
event_131,102.0,21.6
event_132,104.0,57.6
event_133,105.0,91.2
event_134,104.0,49.2
event_135,104.0,37.2
event_136,105.0,57.6
event_137,105.0,53.99999999999999
event_138,103.0,27.599999999999994
event_139,105.0,61.2
event_140,105.0,79.19999999999999
event_141,104.0,55.19999999999999
event_142,104.0,91.2
event_143,102.0,21.6
event_144,105.0,60.0
event_145,102.0,24.0
event_146,104.0,31.2
event_147,103.0,20.4
event_148,104.0,33.6
event_149,104.0,38.4
event_150,105.0,98.4
event_151,103.0,27.599999999999994
event_152,105.0,99.6
event_153,105.0,52.79999999999999
event_154,104.0,38.4
event_155,103.0,36.0
event_156,103.0,36.0
event_157,105.0,58.8
event_158,105.0,75.59999999999998
event_159,104.0,32.4
event_160,102.0,24.0
event_161,104.0,33.6
event_162,104.0,80.4
event_163,105.0,76.8
event_164,105.0,65.99999999999999
event_165,104.0,26.399999999999995
event_166,104.0,33.6
event_167,105.0,67.2
event_168,104.0,26.399999999999995
event_169,104.0,50.39999999999999
event_170,105.0,68.39999999999999
event_171,105.0,56.39999999999999
event_172,104.0,87.6
event_173,104.0,60.0
event_174,105.0,139.2
event_175,105.0,56.39999999999999
event_176,104.0,50.39999999999999
event_177,104.0,31.2
event_178,105.0,75.59999999999998
event_179,105.0,104.4
event_180,104.0,74.39999999999999
event_181,104.0,37.2
event_182,104.0,50.39999999999999
event_183,105.0,67.2
event_184,104.0,56.39999999999999
event_185,104.0,36.0
event_186,105.0,91.2
event_187,104.0,45.6
event_188,104.0,39.6
event_189,105.0,49.2
event_190,105.0,58.8
event_191,105.0,79.19999999999999
event_192,104.0,33.6
event_193,101.0,20.4
event_194,104.0,45.6
event_195,105.0,86.39999999999999
event_196,105.0,177.59999999999997
