,0
event_0,-310.5349640349933
event_1,-210.9349640349932
event_2,-430.5349640349932
event_3,-179.7349640349932
event_4,-118.53496403499327
event_5,-328.93496403499324
event_6,-239.33496403499325
event_7,-190.13496403499326
event_8,-300.1349640349932
event_9,-396.1349640349932
event_10,-294.13496403499323
event_11,-313.33496403499316
event_12,-142.93496403499327
event_13,-405.3349640349933
event_14,-440.53496403499315
event_15,-302.1349640349933
event_16,-233.73496403499325
event_17,-175.73496403499325
event_18,-250.53496403499324
event_19,-357.3349640349932
event_20,-333.33496403499316
event_21,-210.93496403499324
event_22,-150.1349640349932
event_23,-177.73496403499325
event_24,-166.53496403499327
event_25,-114.53496403499324
event_26,-264.5349640349932
event_27,-301.73496403499325
event_28,-244.1349640349932
event_29,-316.1349640349932
event_30,-551.3349640349932
event_31,-322.93496403499324
event_32,-268.13496403499323
event_33,-376.9349640349932
event_34,-272.53496403499327
event_35,-109.73496403499323
event_36,-182.13496403499326
event_37,-278.53496403499327
event_38,-328.5349640349932
event_39,-245.3349640349932
event_40,-208.93496403499324
event_41,-182.93496403499324
event_42,-146.53496403499324
event_43,-165.73496403499325
event_44,-185.33496403499325
event_45,-211.33496403499322
event_46,-272.93496403499324
event_47,-200.93496403499321
event_48,-238.93496403499321
event_49,-435.3349640349932
event_50,-137.33496403499325
event_51,-405.33496403499316
event_52,-301.7349640349932
event_53,-328.1349640349933
event_54,-383.73496403499314
event_55,-326.53496403499327
event_56,-207.33496403499325
event_57,-609.7349640349933
event_58,-200.93496403499324
event_59,-138.53496403499327
event_60,-452.93496403499324
event_61,-124.13496403499322
event_62,-340.9349640349933
event_63,-270.13496403499323
event_64,-183.33496403499322
event_65,-285.3349640349932
event_66,-348.1349640349933
event_67,-316.1349640349932
event_68,-292.1349640349931
event_69,-202.1349640349932
event_70,-329.73496403499314
event_71,-474.9349640349932
event_72,-424.93496403499324
event_73,-366.9349640349932
event_74,-368.53496403499327
event_75,-188.93496403499324
event_76,-169.73496403499325
event_77,-396.1349640349932
event_78,-151.33496403499325
event_79,-318.1349640349932
event_80,-409.7349640349932
event_81,-185.33496403499328
event_82,-139.73496403499325
event_83,-144.53496403499324
event_84,-234.13496403499323
event_85,-131.33496403499325
event_86,-381.33496403499316
event_87,-449.3349640349932
event_88,-274.13496403499323
event_89,-228.13496403499323
event_90,-385.73496403499325
event_91,-595.334964034993
event_92,-301.3349640349932
event_93,-222.53496403499324
event_94,-172.93496403499324
event_95,-290.9349640349932
event_96,-482.53496403499315
event_97,-167.73496403499323
event_98,-401.3349640349931
event_99,-347.3349640349932
event_100,-195.33496403499328
event_101,-164.13496403499323
event_102,-2024.934964034993
event_103,-171.73496403499325
event_104,-106.13496403499325
event_105,-199.73496403499323
event_106,-573.7349640349931
event_107,-395.7349640349932
event_108,-218.13496403499326
event_109,-173.33496403499325
event_110,-256.1349640349932
event_111,-118.53496403499325
event_112,-836.534964034993
event_113,-344.9349640349932
event_114,-826.9349640349933
event_115,-314.9349640349932
event_116,-200.9349640349932
event_117,-145.73496403499325
event_118,-319.73496403499314
event_119,-197.33496403499328
event_120,-380.5349640349932
event_121,-292.1349640349932
event_122,-301.7349640349932
event_123,-340.1349640349932
event_124,-381.7349640349933
event_125,-170.53496403499327
event_126,-447.7349640349932
event_127,-162.53496403499327
event_128,-254.93496403499324
event_129,-132.93496403499324
event_130,-255.33496403499322
event_131,-120.13496403499325
event_132,-262.5349640349932
event_133,-467.3349640349932
event_134,-247.7349640349932
event_135,-191.33496403499325
event_136,-296.13496403499323
event_137,-292.5349640349932
event_138,-138.13496403499323
event_139,-304.5349640349932
event_140,-393.73496403499325
event_141,-281.3349640349933
event_142,-455.33496403499316
event_143,-106.93496403499326
event_144,-289.73496403499325
event_145,-129.73496403499323
event_146,-144.13496403499323
event_147,-103.33496403499326
event_148,-185.73496403499323
event_149,-204.93496403499327
event_150,-499.73496403499325
event_151,-129.33496403499325
event_152,-500.13496403499323
event_153,-274.1349640349932
event_154,-192.13496403499326
event_155,-179.73496403499323
event_156,-203.33496403499322
event_157,-295.33496403499316
event_158,-401.33496403499316
event_159,-157.33496403499322
event_160,-134.13496403499326
event_161,-171.73496403499325
event_162,-383.73496403499325
event_163,-407.7349640349932
event_164,-338.53496403499327
event_165,-130.13496403499326
event_166,-166.53496403499324
event_167,-331.73496403499325
event_168,-132.93496403499324
event_169,-251.7349640349932
event_170,-372.53496403499327
event_171,-266.93496403499324
event_172,-450.9349640349932
event_173,-306.93496403499324
event_174,-719.3349640349932
event_175,-276.9349640349932
event_176,-254.53496403499324
event_177,-166.13496403499323
event_178,-391.7349640349932
event_179,-524.1349640349931
event_180,-386.13496403499323
event_181,-188.53496403499324
event_182,-244.93496403499321
event_183,-330.9349640349932
event_184,-277.7349640349932
event_185,-181.73496403499325
event_186,-444.5349640349932
event_187,-238.93496403499324
event_188,-208.53496403499324
event_189,-247.73496403499328
event_190,-296.5349640349932
event_191,-424.53496403499315
event_192,-170.1349640349932
event_193,-102.13496403499325
event_194,-232.93496403499321
event_195,-460.1349640349932
event_196,-916.5349640349929
