,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_87,event_88,event_89,event_90,event_91,event_92,event_93,event_94,event_95,event_96,event_97,event_98,event_99
0,0.0,1.2,-1.2,-1.2,2.4,1.2,1.2,2.4,-1.2,0.0,2.4,2.4,2.4,2.4,0.0,1.2,1.2,1.2,1.2,0.0,1.2,-1.2,3.6,2.4,1.2,4.8,2.4,2.4,2.4,1.2,1.2,2.4,1.2,1.2,3.6,3.6,1.2,0.0,2.4,1.2,2.4,1.2,0.0,3.6,1.2,0.0,-1.2,0.0,1.2,2.4,2.4,2.4,2.4,4.8,0.0,1.2,1.2,1.2,2.4,0.0,1.2,0.0,0.0,1.2,1.2,0.0,2.4,2.4,2.4,3.6,2.4,0.0,1.2,3.6,2.4,1.2,3.6,2.4,1.2,2.4,1.2,1.2,1.2,3.6,3.6,1.2,-1.2,1.2,3.6,2.4,2.4,1.2,0.0,2.4,2.4,1.2,-1.2,1.2,1.2,2.4
1,2.4,2.4,-1.2,2.4,2.4,1.2,2.4,2.4,2.4,1.2,2.4,2.4,2.4,0.0,3.6,0.0,2.4,1.2,0.0,3.6,3.6,2.4,2.4,0.0,3.6,2.4,2.4,1.2,1.2,1.2,2.4,3.6,2.4,5.999999999999999,1.2,1.2,2.4,2.4,2.4,-1.2,3.6,1.2,2.4,2.4,2.4,1.2,1.2,1.2,2.4,1.2,3.6,3.6,2.4,1.2,1.2,2.4,1.2,2.4,1.2,2.4,1.2,3.6,2.4,-1.2,2.4,0.0,1.2,2.4,3.6,0.0,-1.2,0.0,1.2,1.2,3.6,2.4,3.6,3.6,3.6,0.0,-1.2,0.0,2.4,2.4,1.2,1.2,2.4,-1.2,4.8,1.2,3.6,3.6,2.4,0.0,1.2,2.4,0.0,4.8,0.0,3.6
2,-1.2,2.4,3.6,1.2,2.4,-1.2,1.2,2.4,1.2,1.2,1.2,1.2,2.4,-1.2,2.4,1.2,4.8,3.6,1.2,0.0,2.4,2.4,4.8,1.2,2.4,4.8,2.4,0.0,1.2,2.4,2.4,2.4,1.2,2.4,2.4,1.2,2.4,2.4,2.4,1.2,2.4,1.2,2.4,1.2,1.2,3.6,0.0,2.4,2.4,3.6,-1.2,1.2,1.2,1.2,2.4,1.2,3.6,2.4,3.6,2.4,4.8,2.4,-1.2,3.6,3.6,1.2,2.4,3.6,1.2,3.6,3.6,2.4,3.6,1.2,0.0,1.2,3.6,2.4,0.0,3.6,1.2,2.4,2.4,0.0,-1.2,1.2,2.4,0.0,-1.2,0.0,1.2,2.4,2.4,1.2,2.4,3.6,3.6,2.4,-1.2,0.0
3,1.2,1.2,3.6,0.0,2.4,1.2,0.0,2.4,1.2,1.2,0.0,3.6,0.0,1.2,1.2,1.2,1.2,2.4,3.6,2.4,1.2,3.6,3.6,0.0,0.0,1.2,2.4,4.8,3.6,1.2,1.2,1.2,-1.2,0.0,1.2,1.2,2.4,2.4,3.6,1.2,3.6,3.6,1.2,2.4,3.6,2.4,3.6,1.2,2.4,-2.4,2.4,0.0,0.0,4.8,0.0,2.4,3.6,1.2,3.6,4.8,1.2,2.4,2.4,1.2,2.4,0.0,1.2,3.6,3.6,-1.2,3.6,2.4,1.2,2.4,3.6,3.6,2.4,0.0,3.6,4.8,1.2,2.4,0.0,1.2,1.2,3.6,1.2,3.6,2.4,1.2,2.4,2.4,0.0,0.0,3.6,2.4,1.2,1.2,0.0,1.2
4,1.2,2.4,2.4,3.6,1.2,0.0,3.6,0.0,1.2,3.6,1.2,0.0,2.4,1.2,1.2,2.4,2.4,2.4,3.6,1.2,3.6,1.2,2.4,2.4,1.2,0.0,0.0,1.2,2.4,2.4,0.0,2.4,5.999999999999999,2.4,2.4,2.4,1.2,1.2,2.4,2.4,2.4,2.4,3.6,2.4,3.6,4.8,1.2,1.2,3.6,1.2,1.2,3.6,1.2,0.0,1.2,1.2,0.0,4.8,3.6,1.2,3.6,2.4,4.8,1.2,2.4,1.2,1.2,2.4,2.4,-1.2,2.4,-1.2,1.2,5.999999999999999,2.4,2.4,2.4,2.4,0.0,1.2,0.0,2.4,2.4,2.4,1.2,1.2,2.4,1.2,2.4,1.2,1.2,2.4,2.4,3.6,2.4,1.2,0.0,2.4,1.2,1.2
5,0.0,0.0,1.2,1.2,2.4,2.4,1.2,1.2,2.4,2.4,1.2,1.2,2.4,1.2,2.4,2.4,3.6,0.0,1.2,2.4,0.0,3.6,1.2,-1.2,2.4,2.4,-1.2,-1.2,2.4,3.6,4.8,3.6,0.0,1.2,0.0,1.2,3.6,3.6,1.2,2.4,3.6,1.2,1.2,4.8,2.4,0.0,3.6,3.6,1.2,2.4,0.0,3.6,1.2,1.2,1.2,2.4,1.2,1.2,2.4,0.0,1.2,1.2,1.2,1.2,0.0,1.2,0.0,1.2,1.2,2.4,2.4,-1.2,1.2,4.8,3.6,0.0,1.2,0.0,1.2,3.6,1.2,3.6,4.8,-1.2,0.0,2.4,1.2,1.2,4.8,0.0,2.4,2.4,3.6,3.6,2.4,1.2,2.4,2.4,4.8,1.2
6,0.0,2.4,4.8,1.2,0.0,0.0,2.4,0.0,1.2,1.2,3.6,4.8,0.0,3.6,1.2,2.4,3.6,4.8,2.4,2.4,0.0,2.4,3.6,0.0,1.2,2.4,-1.2,1.2,2.4,0.0,2.4,2.4,1.2,0.0,0.0,-1.2,1.2,3.6,4.8,2.4,1.2,3.6,-1.2,1.2,1.2,0.0,2.4,0.0,3.6,2.4,1.2,-3.6,2.4,1.2,0.0,1.2,-1.2,3.6,1.2,2.4,1.2,1.2,3.6,3.6,4.8,2.4,2.4,1.2,1.2,1.2,2.4,2.4,3.6,0.0,3.6,2.4,3.6,1.2,-1.2,3.6,1.2,3.6,3.6,1.2,1.2,2.4,2.4,1.2,2.4,2.4,1.2,2.4,1.2,1.2,3.6,0.0,3.6,1.2,0.0,0.0
7,2.4,-1.2,3.6,0.0,3.6,2.4,1.2,-1.2,0.0,3.6,-1.2,2.4,-1.2,2.4,0.0,2.4,2.4,0.0,2.4,1.2,1.2,3.6,2.4,0.0,2.4,1.2,0.0,1.2,3.6,0.0,-1.2,0.0,4.8,2.4,1.2,2.4,1.2,1.2,0.0,3.6,1.2,1.2,1.2,-1.2,3.6,2.4,4.8,-1.2,1.2,0.0,2.4,2.4,1.2,2.4,0.0,0.0,1.2,2.4,1.2,2.4,3.6,1.2,3.6,1.2,2.4,0.0,0.0,2.4,2.4,2.4,2.4,1.2,2.4,1.2,1.2,0.0,0.0,-1.2,1.2,1.2,0.0,3.6,2.4,1.2,3.6,3.6,1.2,0.0,1.2,2.4,0.0,1.2,0.0,0.0,2.4,3.6,0.0,1.2,0.0,1.2
8,-2.4,-13.199999999999998,-4.8,-10.8,1.2,-14.4,-10.8,0.0,-9.6,-4.8,-3.6,-25.2,-1.2,-13.199999999999998,-14.4,1.2,-11.999999999999998,-5.999999999999999,-5.999999999999999,1.2,0.0,-5.999999999999999,-7.2,-7.2,-2.4,-9.6,-3.6,2.4,-8.4,-28.8,-15.6,-7.2,-9.6,-21.6,-4.8,-5.999999999999999,-3.6,-14.4,-1.2,1.2,-15.6,2.4,-4.8,-2.4,0.0,-21.6,-22.8,-33.6,-1.2,-5.999999999999999,1.2,1.2,1.2,-3.6,0.0,-1.2,1.2,-1.2,-9.6,-3.6,-4.8,-1.2,-9.6,-2.4,-4.8,1.2,-8.4,-3.6,-16.8,-2.4,-9.6,-13.199999999999998,-2.4,-8.4,-1.2,-2.4,-2.4,-1.2,-9.6,3.6,-5.999999999999999,-8.4,-2.4,-2.4,-2.4,-2.4,0.0,-31.2,-1.2,-31.2,-8.4,1.2,-2.4,-2.4,-1.2,0.0,-5.999999999999999,1.2,-5.999999999999999,2.4
9,-45.6,-65.99999999999999,-60.0,-49.2,-36.0,-47.99999999999999,-78.0,-13.199999999999998,-55.19999999999999,-24.0,-67.2,-115.2,-25.2,-61.2,-93.6,-39.6,-81.6,-28.8,-37.2,-21.6,-44.39999999999999,-31.2,-65.99999999999999,-61.2,-22.8,-87.6,-62.4,-37.2,-80.4,-144.0,-88.79999999999998,-79.19999999999999,-87.6,-118.79999999999998,-20.4,-65.99999999999999,-44.39999999999999,-74.39999999999999,-19.2,-11.999999999999998,-90.0,-15.6,-30.0,-13.199999999999998,-39.6,-108.0,-118.79999999999998,-124.8,-30.0,-81.6,-21.6,-21.6,-10.8,-32.4,-20.4,-37.2,-15.6,-18.0,-39.6,-31.2,-41.99999999999999,-50.39999999999999,-52.79999999999999,-45.6,-92.4,-16.8,-46.8,-82.8,-47.99999999999999,-46.8,-37.2,-61.2,-30.0,-72.0,-49.2,-51.6,-32.4,-33.6,-78.0,-7.2,-51.6,-61.2,-30.0,-20.4,-19.2,-38.4,-9.6,-137.99999999999997,-50.39999999999999,-112.79999999999998,-41.99999999999999,-22.8,-21.6,-27.599999999999994,-26.399999999999995,-25.2,-68.39999999999999,-9.6,-74.39999999999999,-37.2
