,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,104.0,1006.0,-78.0,-15.6
event_1,104.0,966.0,-79.19999999999999,-51.6
event_2,104.0,444.0,-137.99999999999997,-25.2
event_3,104.0,477.0,-63.59999999999999,-85.2
event_4,104.0,389.0,-124.8,-49.2
event_5,104.0,425.0,-53.99999999999999,-25.2
event_6,104.0,1174.0,-106.8,-26.399999999999995
event_7,103.0,925.0,-37.2,-22.8
event_8,104.0,1099.0,-83.99999999999999,-65.99999999999999
event_9,104.0,1633.0,-26.399999999999995,-80.4
event_10,104.0,264.0,-123.6,-61.2
event_11,105.0,292.0,-124.8,-25.2
event_12,103.0,457.0,-41.99999999999999,-20.4
event_13,104.0,1092.0,-74.39999999999999,-34.8
event_14,104.0,699.0,-129.6,-43.2
event_15,104.0,256.0,-94.8,-28.8
event_16,104.0,733.0,-108.0,-11.999999999999998
event_17,104.0,608.0,-32.4,-11.999999999999998
event_18,104.0,384.0,-46.8,-14.4
event_19,104.0,1243.0,-62.4,-31.2
event_20,104.0,854.0,-106.8,-15.6
event_21,104.0,913.0,-32.4,-44.39999999999999
event_22,104.0,1456.0,-105.59999999999998,-18.0
event_23,104.0,484.0,-75.59999999999998,-98.4
event_24,103.0,543.0,-38.4,-46.8
event_25,104.0,754.0,-136.79999999999998,-31.2
event_26,104.0,357.0,-124.8,-20.4
event_27,104.0,1397.0,-110.39999999999998,-67.2
event_28,104.0,553.0,-150.0,-24.0
event_29,105.0,771.0,-174.0,-36.0
event_30,104.0,282.0,-109.2,-44.39999999999999
event_31,104.0,973.0,-145.2,-41.99999999999999
event_32,104.0,408.0,-136.79999999999998,-25.2
event_33,105.0,588.0,-142.79999999999998,-26.399999999999995
event_34,103.0,860.0,-26.399999999999995,-9.6
event_35,104.0,344.0,-100.79999999999998,-16.8
event_36,104.0,1733.0,-79.19999999999999,-74.39999999999999
event_37,104.0,314.0,-97.2,-31.2
event_38,103.0,1464.0,-62.4,-110.39999999999998
event_39,103.0,723.0,-36.0,-20.4
event_40,104.0,1235.0,-121.2,-13.199999999999998
event_41,103.0,1218.0,-63.59999999999999,-24.0
event_42,104.0,523.0,-38.4,-105.59999999999998
event_43,103.0,741.0,-28.8,-61.2
event_44,104.0,1768.0,-134.4,-81.6
event_45,105.0,331.0,-118.79999999999998,-34.8
event_46,105.0,1147.0,-144.0,-62.4
event_47,105.0,272.0,-130.8,-104.4
event_48,104.0,388.0,-69.6,-10.8
event_49,104.0,349.0,-129.6,-22.8
event_50,104.0,519.0,-53.99999999999999,-11.999999999999998
event_51,103.0,1076.0,-50.39999999999999,-49.2
event_52,103.0,821.0,-33.6,-106.8
event_53,104.0,448.0,-38.4,-33.6
event_54,103.0,1534.0,-39.6,-55.19999999999999
event_55,104.0,919.0,-102.0,-28.8
event_56,103.0,696.0,-51.6,-13.199999999999998
event_57,103.0,961.0,-31.2,-22.8
event_58,104.0,1141.0,-45.6,-61.2
event_59,104.0,1215.0,-38.4,-30.0
event_60,104.0,1047.0,-103.2,-82.8
event_61,104.0,1953.0,-146.39999999999998,-40.8
event_62,104.0,1144.0,-75.59999999999998,-83.99999999999999
event_63,104.0,736.0,-86.39999999999999,-26.399999999999995
event_64,104.0,1229.0,-200.4,-83.99999999999999
event_65,103.0,792.0,-46.8,-38.4
event_66,104.0,295.0,-60.0,-10.8
event_67,104.0,509.0,-157.2,-55.19999999999999
event_68,104.0,532.0,-49.2,-32.4
event_69,104.0,345.0,-100.79999999999998,-85.2
event_70,104.0,653.0,-41.99999999999999,-15.6
event_71,104.0,760.0,-80.4,-36.0
event_72,104.0,398.0,-72.0,-93.6
event_73,104.0,549.0,-103.2,-28.8
event_74,104.0,1026.0,-81.6,-16.8
event_75,104.0,410.0,-96.0,-86.39999999999999
event_76,104.0,2134.0,-62.4,-52.79999999999999
event_77,104.0,1058.0,-70.79999999999998,-18.0
event_78,104.0,516.0,-112.79999999999998,-11.999999999999998
event_79,103.0,419.0,-45.6,-116.4
event_80,104.0,343.0,-91.2,-25.2
event_81,104.0,327.0,-98.4,-14.4
event_82,104.0,302.0,-49.2,-98.4
event_83,103.0,1171.0,-24.0,-11.999999999999998
event_84,103.0,341.0,-37.2,-57.6
event_85,104.0,389.0,-100.79999999999998,-31.2
event_86,103.0,381.0,-26.399999999999995,-18.0
event_87,105.0,317.0,-145.2,-126.0
event_88,104.0,923.0,-90.0,-9.6
event_89,105.0,338.0,-116.4,-30.0
event_90,104.0,431.0,-60.0,-57.6
event_91,103.0,424.0,-60.0,-118.79999999999998
event_92,103.0,276.0,-51.6,-11.999999999999998
event_93,104.0,567.0,-82.8,-40.8
event_94,103.0,352.0,-32.4,-10.8
event_95,104.0,1422.0,-85.2,-25.2
event_96,104.0,346.0,-126.0,-40.8
event_97,103.0,663.0,-30.0,-122.4
event_98,104.0,779.0,-154.79999999999998,-70.79999999999998
event_99,104.0,827.0,-94.8,-98.4
