,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20
0,time_epoch,1617214245.9979331,1617214267.552166,1617214403.540944,1617214429.4654267,1617214546.1821024,1617214656.3294027,1617214665.0259,1617214708.20837,1617214729.8286064,1617214757.914213,1617214913.4411085,1617215015.0179183,1617215030.126783,1617215357.9245317,1617215428.9905963,1617215478.552431,1617215536.7757614,1617215672.5625277,1617215782.5158167,1617215808.4002972
1,0,52.0,53.0,51.0,52.0,54.0,54.0,54.0,52.0,54.0,54.0,54.0,54.0,51.0,54.0,53.0,51.0,51.0,54.0,51.0,51.0
2,1,53.0,53.0,52.0,52.0,53.0,51.0,52.0,54.0,52.0,51.0,53.0,51.0,52.0,57.0,53.0,56.0,53.0,54.0,52.0,53.0
3,2,54.0,53.0,53.0,54.0,53.0,51.0,54.0,54.0,55.0,54.0,55.0,53.0,53.0,53.0,50.0,53.0,52.0,48.0,51.0,52.0
4,3,51.0,52.0,51.0,53.0,51.0,54.0,53.0,53.0,53.0,54.0,54.0,53.0,54.0,50.0,52.0,50.0,52.0,51.0,55.0,53.0
5,4,54.0,53.0,53.0,54.0,51.0,54.0,53.0,54.0,54.0,54.0,52.0,52.0,52.0,53.0,52.0,53.0,54.0,55.0,51.0,53.0
6,5,52.0,51.0,53.0,55.0,52.0,51.0,54.0,53.0,53.0,54.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,50.0
7,6,52.0,52.0,53.0,52.0,53.0,52.0,53.0,54.0,53.0,53.0,53.0,54.0,51.0,47.0,52.0,52.0,52.0,53.0,52.0,53.0
8,7,53.0,51.0,54.0,54.0,52.0,56.0,56.0,55.0,55.0,54.0,53.0,52.0,52.0,48.0,52.0,52.0,51.0,53.0,53.0,53.0
9,8,52.0,52.0,52.0,53.0,51.0,54.0,54.0,54.0,52.0,52.0,53.0,50.0,52.0,55.0,53.0,53.0,53.0,53.0,51.0,52.0
10,9,53.0,52.0,54.0,54.0,54.0,51.0,51.0,51.0,54.0,52.0,50.0,52.0,53.0,53.0,53.0,54.0,53.0,53.0,51.0,53.0
11,10,51.0,52.0,51.0,52.0,54.0,54.0,53.0,51.0,52.0,54.0,53.0,54.0,52.0,51.0,52.0,52.0,54.0,51.0,53.0,52.0
12,11,53.0,53.0,52.0,52.0,52.0,55.0,53.0,53.0,52.0,55.0,53.0,53.0,52.0,51.0,54.0,55.0,53.0,54.0,52.0,50.0
13,12,52.0,52.0,51.0,52.0,51.0,52.0,54.0,54.0,52.0,54.0,53.0,53.0,52.0,56.0,55.0,52.0,52.0,53.0,53.0,53.0
14,13,52.0,50.0,53.0,52.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,53.0,53.0,55.0,54.0,53.0,52.0,51.0,52.0,50.0
15,14,51.0,52.0,53.0,52.0,54.0,54.0,52.0,52.0,54.0,54.0,51.0,53.0,53.0,51.0,53.0,54.0,53.0,53.0,52.0,52.0
16,15,53.0,51.0,52.0,51.0,53.0,53.0,56.0,53.0,53.0,53.0,53.0,50.0,54.0,55.0,54.0,52.0,51.0,51.0,54.0,53.0
17,16,52.0,53.0,51.0,52.0,52.0,52.0,52.0,54.0,52.0,51.0,53.0,50.0,52.0,56.0,54.0,55.0,51.0,53.0,51.0,54.0
18,17,54.0,51.0,51.0,53.0,55.0,52.0,53.0,50.0,54.0,52.0,53.0,54.0,55.0,51.0,51.0,53.0,53.0,52.0,54.0,53.0
19,18,52.0,51.0,54.0,50.0,54.0,55.0,53.0,53.0,54.0,51.0,51.0,52.0,52.0,52.0,52.0,51.0,54.0,52.0,52.0,53.0
20,19,53.0,53.0,53.0,52.0,53.0,51.0,53.0,54.0,54.0,53.0,53.0,51.0,50.0,54.0,53.0,53.0,52.0,55.0,51.0,53.0
21,20,54.0,52.0,52.0,55.0,51.0,49.0,52.0,52.0,54.0,53.0,53.0,52.0,51.0,54.0,51.0,54.0,51.0,53.0,54.0,52.0
22,21,54.0,52.0,54.0,51.0,52.0,54.0,51.0,54.0,52.0,52.0,54.0,52.0,53.0,51.0,52.0,53.0,51.0,53.0,53.0,54.0
23,22,53.0,50.0,54.0,51.0,53.0,54.0,53.0,55.0,54.0,52.0,53.0,53.0,54.0,53.0,52.0,52.0,54.0,53.0,52.0,53.0
24,23,53.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,53.0,54.0,54.0,52.0,53.0,51.0,54.0,53.0,51.0,55.0,50.0
