,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_26,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_40,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_50
9,51.0,52.0,50.0,53.0,53.0,52.0,52.0,52.0,54.0,52.0,54.0,51.0,52.0,52.0,51.0,52.0,50.0,49.0,54.0,55.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,54.0,50.0,52.0,51.0,55.0,55.0,52.0,55.0,52.0,52.0,55.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,50.0,49.0,52.0,53.0,52.0,52.0
10,50.0,54.0,50.0,53.0,50.0,52.0,51.0,52.0,52.0,52.0,50.0,52.0,54.0,52.0,52.0,53.0,49.0,52.0,52.0,54.0,53.0,53.0,52.0,51.0,54.0,54.0,52.0,55.0,50.0,53.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,52.0,55.0,53.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0
11,53.0,51.0,50.0,52.0,51.0,51.0,52.0,53.0,52.0,50.0,52.0,52.0,54.0,51.0,53.0,54.0,54.0,54.0,52.0,51.0,54.0,54.0,51.0,52.0,51.0,51.0,52.0,52.0,53.0,50.0,51.0,52.0,52.0,54.0,52.0,51.0,52.0,53.0,54.0,52.0,53.0,53.0,52.0,51.0,52.0,52.0,50.0,52.0,53.0,53.0,53.0
12,53.0,53.0,52.0,52.0,52.0,53.0,51.0,52.0,51.0,54.0,50.0,54.0,54.0,50.0,52.0,51.0,54.0,51.0,53.0,52.0,52.0,53.0,55.0,52.0,53.0,53.0,51.0,53.0,52.0,53.0,54.0,52.0,52.0,52.0,53.0,53.0,52.0,52.0,52.0,53.0,47.0,54.0,54.0,52.0,53.0,51.0,54.0,52.0,53.0,50.0,54.0
13,52.0,54.0,51.0,53.0,51.0,52.0,50.0,50.0,52.0,52.0,51.0,52.0,52.0,51.0,51.0,53.0,49.0,53.0,53.0,55.0,52.0,53.0,53.0,53.0,52.0,51.0,53.0,52.0,52.0,50.0,52.0,51.0,51.0,52.0,52.0,53.0,52.0,52.0,51.0,52.0,55.0,53.0,53.0,53.0,52.0,50.0,51.0,52.0,53.0,53.0,52.0
14,51.0,52.0,51.0,53.0,51.0,53.0,51.0,53.0,50.0,51.0,52.0,51.0,52.0,52.0,53.0,52.0,51.0,53.0,53.0,52.0,54.0,52.0,48.0,52.0,50.0,53.0,53.0,52.0,51.0,52.0,50.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,53.0,53.0,53.0,55.0,52.0,52.0,51.0,52.0,53.0,53.0,50.0,50.0
15,52.0,55.0,51.0,53.0,53.0,51.0,52.0,52.0,52.0,52.0,49.0,53.0,53.0,52.0,52.0,52.0,55.0,53.0,51.0,51.0,53.0,53.0,50.0,53.0,51.0,54.0,53.0,51.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,53.0,52.0,51.0,51.0,53.0,53.0,50.0,53.0,53.0,53.0,51.0,56.0,51.0,52.0,51.0,53.0
16,53.0,52.0,51.0,53.0,53.0,51.0,54.0,51.0,53.0,54.0,54.0,53.0,53.0,51.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,54.0,51.0,52.0,51.0,53.0,51.0,52.0,53.0,53.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,50.0,53.0,52.0,53.0,54.0,51.0,53.0,53.0,53.0,51.0,53.0
17,52.0,52.0,50.0,53.0,53.0,53.0,51.0,53.0,53.0,51.0,51.0,54.0,53.0,52.0,51.0,53.0,49.0,52.0,54.0,53.0,53.0,52.0,51.0,53.0,50.0,52.0,54.0,53.0,51.0,51.0,51.0,54.0,54.0,53.0,54.0,53.0,53.0,50.0,53.0,53.0,56.0,53.0,52.0,51.0,52.0,52.0,54.0,53.0,54.0,49.0,52.0
18,54.0,51.0,51.0,52.0,52.0,51.0,52.0,51.0,54.0,52.0,51.0,54.0,54.0,52.0,52.0,53.0,52.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0,52.0,54.0,51.0,50.0,51.0,52.0,53.0,53.0,52.0,53.0,51.0,54.0,50.0,52.0,51.0,53.0,53.0,52.0,51.0,53.0,51.0,53.0,53.0,54.0,51.0,50.0
19,55.0,54.0,51.0,52.0,55.0,51.0,52.0,51.0,53.0,54.0,53.0,52.0,54.0,51.0,52.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,50.0,52.0,51.0,53.0,52.0,52.0,51.0,50.0,52.0,51.0,51.0,50.0,55.0,51.0,54.0,54.0,52.0,52.0,48.0,51.0,52.0,52.0,53.0,53.0,51.0,53.0,53.0,52.0,53.0
20,53.0,52.0,51.0,53.0,51.0,51.0,51.0,53.0,54.0,53.0,51.0,53.0,51.0,51.0,52.0,53.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,53.0,52.0,53.0,52.0,52.0,54.0,53.0,53.0,53.0,52.0,52.0,51.0,52.0,52.0,52.0,53.0,57.0,52.0,52.0,50.0,54.0,53.0,52.0,53.0,50.0,51.0,53.0
21,53.0,51.0,51.0,51.0,56.0,51.0,51.0,53.0,54.0,53.0,54.0,53.0,54.0,50.0,52.0,53.0,52.0,52.0,53.0,54.0,53.0,54.0,52.0,53.0,51.0,50.0,53.0,51.0,51.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,54.0,52.0,57.0,53.0,51.0,52.0,54.0,51.0,53.0,52.0,53.0,52.0,52.0
22,54.0,55.0,52.0,52.0,51.0,54.0,52.0,53.0,51.0,50.0,54.0,52.0,52.0,52.0,53.0,52.0,54.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,56.0,52.0,52.0,53.0,52.0,54.0,52.0,52.0,53.0,51.0,48.0,51.0,53.0,54.0,54.0,52.0,50.0,51.0,54.0,50.0,51.0
23,52.0,52.0,53.0,52.0,50.0,52.0,52.0,51.0,53.0,52.0,50.0,52.0,54.0,52.0,51.0,52.0,55.0,53.0,52.0,51.0,54.0,52.0,53.0,53.0,53.0,53.0,55.0,53.0,51.0,52.0,52.0,50.0,50.0,53.0,54.0,53.0,51.0,51.0,54.0,53.0,51.0,51.0,51.0,53.0,54.0,50.0,51.0,52.0,52.0,53.0,54.0
24,51.0,52.0,52.0,52.0,55.0,53.0,54.0,51.0,54.0,53.0,51.0,51.0,50.0,50.0,52.0,53.0,52.0,54.0,52.0,54.0,55.0,54.0,51.0,52.0,54.0,51.0,54.0,54.0,53.0,52.0,51.0,52.0,52.0,53.0,51.0,53.0,53.0,56.0,53.0,53.0,55.0,53.0,53.0,53.0,54.0,52.0,53.0,52.0,52.0,52.0,52.0
25,52.0,54.0,51.0,52.0,55.0,53.0,52.0,53.0,53.0,51.0,50.0,50.0,53.0,51.0,53.0,53.0,52.0,55.0,52.0,49.0,51.0,52.0,51.0,53.0,52.0,53.0,53.0,53.0,53.0,50.0,53.0,51.0,51.0,54.0,51.0,53.0,52.0,51.0,54.0,52.0,54.0,51.0,54.0,53.0,53.0,51.0,54.0,52.0,54.0,51.0,50.0
26,52.0,53.0,52.0,50.0,46.0,52.0,53.0,51.0,52.0,53.0,51.0,51.0,52.0,53.0,51.0,53.0,56.0,54.0,53.0,48.0,52.0,53.0,52.0,51.0,52.0,52.0,56.0,50.0,53.0,49.0,53.0,51.0,51.0,52.0,53.0,51.0,50.0,50.0,53.0,54.0,49.0,53.0,53.0,52.0,51.0,52.0,50.0,52.0,53.0,52.0,55.0
27,50.0,54.0,52.0,51.0,49.0,53.0,52.0,50.0,51.0,54.0,52.0,51.0,54.0,55.0,52.0,51.0,54.0,51.0,51.0,50.0,54.0,54.0,52.0,53.0,51.0,55.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,54.0,52.0,53.0,53.0,53.0,51.0,54.0,51.0,51.0,54.0,53.0,53.0,51.0,54.0,49.0,52.0,51.0,52.0
28,51.0,52.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0,51.0,50.0,52.0,54.0,53.0,53.0,51.0,51.0,54.0,50.0,51.0,53.0,52.0,53.0,53.0,52.0,51.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,51.0,53.0,53.0,55.0,53.0,52.0,51.0,52.0,52.0,53.0,53.0,52.0,52.0,48.0,54.0,52.0
29,52.0,52.0,53.0,49.0,54.0,52.0,51.0,52.0,51.0,55.0,53.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,51.0,49.0,52.0,53.0,52.0,52.0,53.0,51.0,53.0,54.0,53.0,53.0,51.0,53.0,53.0,53.0,55.0,54.0,54.0,54.0,54.0,53.0,52.0,53.0,53.0,53.0,54.0,53.0,51.0,51.0,53.0,52.0,51.0
30,55.0,52.0,52.0,52.0,49.0,54.0,52.0,49.0,53.0,52.0,51.0,53.0,55.0,52.0,54.0,53.0,54.0,51.0,54.0,52.0,53.0,53.0,52.0,54.0,51.0,53.0,52.0,53.0,51.0,53.0,54.0,53.0,53.0,54.0,53.0,54.0,52.0,53.0,50.0,51.0,49.0,50.0,54.0,54.0,53.0,53.0,52.0,50.0,56.0,51.0,53.0
31,52.0,52.0,54.0,54.0,50.0,52.0,52.0,52.0,55.0,51.0,52.0,52.0,53.0,52.0,53.0,55.0,54.0,52.0,52.0,55.0,53.0,52.0,52.0,52.0,51.0,51.0,53.0,52.0,50.0,53.0,52.0,50.0,50.0,52.0,54.0,51.0,52.0,53.0,53.0,49.0,51.0,51.0,52.0,53.0,52.0,52.0,51.0,55.0,52.0,53.0,54.0
32,50.0,52.0,53.0,53.0,56.0,56.0,49.0,53.0,52.0,52.0,54.0,52.0,53.0,53.0,52.0,53.0,53.0,53.0,55.0,52.0,53.0,53.0,53.0,50.0,52.0,52.0,50.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,56.0,50.0,53.0,51.0,51.0,53.0,53.0,53.0,51.0,50.0,53.0
33,54.0,53.0,53.0,49.0,49.0,54.0,51.0,51.0,53.0,51.0,51.0,52.0,54.0,53.0,53.0,51.0,52.0,52.0,53.0,48.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,33.0,53.0,52.0,52.0,52.0,54.0,55.0,51.0,52.0,52.0,50.0,51.0,50.0,53.0,52.0,52.0,52.0,53.0,52.0,56.0,52.0,54.0
34,50.0,53.0,52.0,51.0,48.0,53.0,52.0,52.0,52.0,52.0,54.0,53.0,54.0,53.0,52.0,49.0,52.0,50.0,53.0,54.0,51.0,54.0,51.0,55.0,53.0,52.0,52.0,52.0,52.0,-92.0,54.0,51.0,51.0,53.0,51.0,51.0,53.0,53.0,51.0,52.0,51.0,53.0,52.0,54.0,52.0,53.0,50.0,53.0,56.0,53.0,52.0
35,54.0,52.0,52.0,53.0,52.0,51.0,52.0,53.0,53.0,51.0,52.0,54.0,53.0,51.0,52.0,51.0,53.0,52.0,52.0,57.0,51.0,53.0,53.0,53.0,51.0,53.0,53.0,54.0,53.0,-127.0,52.0,52.0,52.0,51.0,53.0,50.0,51.0,52.0,53.0,51.0,53.0,51.0,54.0,54.0,54.0,52.0,51.0,52.0,50.0,52.0,53.0
36,53.0,50.0,53.0,51.0,55.0,54.0,52.0,52.0,53.0,51.0,54.0,52.0,53.0,53.0,53.0,52.0,54.0,52.0,53.0,50.0,52.0,52.0,53.0,53.0,49.0,50.0,54.0,53.0,54.0,-127.0,52.0,52.0,52.0,53.0,54.0,53.0,51.0,55.0,52.0,51.0,52.0,51.0,52.0,53.0,53.0,55.0,52.0,51.0,52.0,52.0,54.0
37,50.0,52.0,54.0,52.0,49.0,51.0,50.0,51.0,50.0,52.0,50.0,51.0,54.0,51.0,53.0,51.0,52.0,51.0,52.0,50.0,50.0,53.0,51.0,51.0,50.0,52.0,54.0,53.0,55.0,-29.0,54.0,54.0,54.0,55.0,53.0,53.0,53.0,51.0,51.0,52.0,51.0,54.0,52.0,50.0,51.0,55.0,52.0,51.0,56.0,52.0,52.0
38,56.0,52.0,52.0,53.0,49.0,50.0,53.0,51.0,52.0,52.0,52.0,51.0,52.0,49.0,52.0,53.0,51.0,54.0,53.0,56.0,53.0,53.0,50.0,52.0,50.0,51.0,55.0,53.0,52.0,21.0,53.0,53.0,53.0,54.0,52.0,51.0,54.0,53.0,53.0,52.0,53.0,55.0,50.0,54.0,53.0,48.0,51.0,52.0,54.0,53.0,52.0
39,51.0,54.0,54.0,51.0,56.0,50.0,52.0,54.0,53.0,52.0,52.0,53.0,52.0,51.0,55.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,48.0,53.0,51.0,50.0,53.0,54.0,53.0,32.0,53.0,51.0,51.0,51.0,55.0,53.0,54.0,54.0,54.0,52.0,55.0,54.0,53.0,54.0,54.0,52.0,52.0,52.0,49.0,50.0,54.0
40,51.0,53.0,53.0,52.0,53.0,52.0,50.0,52.0,50.0,52.0,53.0,53.0,55.0,52.0,53.0,51.0,54.0,52.0,53.0,49.0,52.0,54.0,52.0,52.0,51.0,51.0,53.0,53.0,52.0,45.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0,52.0,51.0,52.0,53.0,54.0,53.0,52.0,54.0,56.0,52.0,51.0,52.0,52.0,53.0
41,56.0,53.0,53.0,53.0,46.0,53.0,53.0,50.0,54.0,53.0,53.0,51.0,52.0,51.0,52.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,53.0,52.0,52.0,55.0,51.0,52.0,47.0,53.0,53.0,53.0,52.0,52.0,53.0,54.0,53.0,52.0,53.0,50.0,55.0,50.0,52.0,51.0,49.0,53.0,53.0,57.0,51.0,54.0
42,51.0,54.0,52.0,51.0,53.0,54.0,53.0,53.0,52.0,53.0,51.0,51.0,54.0,50.0,52.0,51.0,51.0,52.0,52.0,55.0,53.0,53.0,51.0,53.0,51.0,53.0,52.0,52.0,51.0,31.0,53.0,55.0,55.0,54.0,53.0,54.0,53.0,51.0,54.0,52.0,56.0,54.0,52.0,52.0,52.0,51.0,54.0,51.0,48.0,53.0,53.0
43,53.0,52.0,52.0,51.0,55.0,53.0,52.0,51.0,53.0,51.0,52.0,52.0,53.0,52.0,52.0,53.0,51.0,52.0,53.0,51.0,52.0,53.0,53.0,51.0,52.0,52.0,52.0,53.0,50.0,32.0,52.0,53.0,53.0,52.0,55.0,52.0,54.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,53.0,52.0,53.0,50.0,51.0,54.0,53.0
44,52.0,52.0,52.0,52.0,54.0,54.0,51.0,51.0,53.0,54.0,52.0,54.0,52.0,50.0,52.0,52.0,52.0,54.0,51.0,50.0,54.0,52.0,50.0,52.0,52.0,52.0,52.0,53.0,52.0,46.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,53.0,52.0,53.0,52.0,52.0,50.0,52.0,51.0,54.0,51.0,54.0,55.0,52.0,53.0
45,54.0,52.0,52.0,52.0,49.0,52.0,51.0,52.0,52.0,52.0,51.0,51.0,55.0,51.0,55.0,54.0,54.0,55.0,51.0,53.0,52.0,54.0,54.0,54.0,52.0,52.0,56.0,53.0,51.0,43.0,53.0,51.0,51.0,53.0,52.0,54.0,53.0,51.0,54.0,53.0,52.0,54.0,51.0,52.0,55.0,49.0,52.0,53.0,53.0,52.0,51.0
46,53.0,52.0,51.0,51.0,53.0,52.0,52.0,53.0,53.0,50.0,54.0,51.0,53.0,51.0,51.0,52.0,52.0,51.0,54.0,56.0,54.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,48.0,53.0,52.0,52.0,52.0,54.0,55.0,53.0,54.0,53.0,51.0,53.0,53.0,53.0,53.0,52.0,50.0,52.0,53.0,50.0,53.0,52.0
47,52.0,51.0,50.0,51.0,55.0,54.0,51.0,53.0,52.0,53.0,51.0,53.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,51.0,51.0,52.0,51.0,53.0,51.0,52.0,54.0,53.0,53.0,51.0,52.0,54.0,54.0,54.0,54.0,53.0,52.0,53.0,51.0,53.0,53.0,54.0,53.0,52.0,50.0,55.0,52.0,53.0,51.0,51.0,53.0
48,54.0,52.0,51.0,49.0,48.0,51.0,52.0,51.0,52.0,53.0,51.0,52.0,52.0,54.0,52.0,53.0,54.0,54.0,52.0,51.0,53.0,54.0,52.0,53.0,52.0,50.0,54.0,53.0,50.0,47.0,51.0,51.0,51.0,52.0,54.0,51.0,53.0,53.0,52.0,54.0,51.0,54.0,52.0,52.0,51.0,54.0,54.0,54.0,56.0,53.0,53.0
49,53.0,54.0,52.0,52.0,53.0,52.0,50.0,54.0,52.0,51.0,52.0,50.0,51.0,51.0,53.0,52.0,53.0,54.0,53.0,53.0,54.0,52.0,53.0,51.0,50.0,52.0,53.0,54.0,55.0,52.0,52.0,51.0,51.0,53.0,53.0,54.0,53.0,53.0,53.0,51.0,53.0,52.0,53.0,53.0,54.0,48.0,51.0,53.0,52.0,54.0,54.0
50,50.0,51.0,50.0,53.0,55.0,54.0,50.0,54.0,51.0,53.0,51.0,52.0,55.0,51.0,52.0,54.0,52.0,52.0,53.0,51.0,50.0,52.0,52.0,52.0,50.0,52.0,54.0,53.0,52.0,49.0,54.0,51.0,51.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,55.0,54.0,51.0,49.0,52.0,52.0
51,54.0,53.0,53.0,50.0,54.0,52.0,51.0,52.0,53.0,53.0,53.0,54.0,55.0,54.0,53.0,53.0,52.0,52.0,54.0,49.0,54.0,53.0,53.0,52.0,51.0,52.0,55.0,52.0,49.0,47.0,53.0,51.0,51.0,51.0,54.0,52.0,52.0,51.0,51.0,52.0,53.0,52.0,53.0,54.0,51.0,56.0,52.0,52.0,55.0,53.0,51.0
52,51.0,52.0,52.0,53.0,50.0,53.0,53.0,51.0,52.0,53.0,52.0,50.0,53.0,53.0,54.0,51.0,52.0,52.0,52.0,53.0,50.0,52.0,54.0,54.0,52.0,54.0,52.0,54.0,53.0,50.0,53.0,55.0,55.0,54.0,51.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,51.0,53.0,50.0,52.0,53.0,53.0,50.0,50.0
53,53.0,51.0,51.0,51.0,52.0,53.0,52.0,49.0,52.0,54.0,51.0,51.0,53.0,54.0,53.0,51.0,53.0,52.0,51.0,55.0,51.0,52.0,53.0,53.0,52.0,53.0,50.0,52.0,52.0,53.0,53.0,51.0,51.0,54.0,52.0,54.0,52.0,54.0,52.0,53.0,52.0,53.0,51.0,54.0,53.0,47.0,53.0,52.0,52.0,51.0,52.0
54,52.0,54.0,49.0,52.0,54.0,51.0,49.0,53.0,53.0,55.0,52.0,52.0,52.0,52.0,53.0,52.0,51.0,54.0,52.0,50.0,53.0,54.0,53.0,52.0,53.0,51.0,52.0,52.0,51.0,52.0,55.0,51.0,51.0,53.0,52.0,52.0,54.0,55.0,52.0,53.0,55.0,52.0,52.0,51.0,54.0,57.0,54.0,53.0,51.0,53.0,54.0
55,51.0,52.0,51.0,51.0,53.0,51.0,53.0,53.0,53.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,51.0,52.0,52.0,49.0,52.0,51.0,54.0,51.0,52.0,50.0,52.0,53.0,52.0,46.0,52.0,52.0,52.0,53.0,53.0,51.0,54.0,53.0,52.0,52.0,52.0,50.0,52.0,52.0,52.0,55.0,52.0,51.0,54.0,51.0,53.0
56,54.0,52.0,52.0,53.0,51.0,53.0,53.0,52.0,53.0,50.0,52.0,52.0,53.0,53.0,51.0,53.0,52.0,51.0,53.0,53.0,52.0,51.0,51.0,52.0,53.0,53.0,53.0,52.0,55.0,49.0,51.0,52.0,52.0,53.0,53.0,54.0,52.0,54.0,52.0,52.0,49.0,52.0,51.0,51.0,52.0,49.0,50.0,54.0,56.0,51.0,52.0
57,52.0,52.0,52.0,52.0,53.0,53.0,51.0,54.0,53.0,52.0,52.0,51.0,54.0,51.0,52.0,51.0,52.0,53.0,52.0,52.0,53.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,54.0,51.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,51.0,52.0,51.0,53.0,52.0,51.0,54.0,50.0,52.0,52.0,49.0,51.0,53.0
58,52.0,50.0,52.0,49.0,51.0,50.0,51.0,51.0,52.0,52.0,52.0,54.0,52.0,52.0,51.0,52.0,52.0,53.0,51.0,52.0,53.0,53.0,52.0,55.0,55.0,51.0,52.0,52.0,53.0,52.0,53.0,52.0,52.0,52.0,54.0,53.0,53.0,54.0,53.0,51.0,53.0,51.0,52.0,53.0,54.0,55.0,54.0,54.0,54.0,51.0,54.0
59,53.0,51.0,52.0,54.0,51.0,53.0,50.0,53.0,52.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,51.0,53.0,53.0,48.0,52.0,54.0,54.0,54.0,55.0,52.0,54.0,53.0,51.0,53.0,51.0,52.0,53.0,52.0,53.0,55.0,51.0,52.0,53.0,52.0,54.0
60,52.0,50.0,52.0,53.0,50.0,55.0,54.0,53.0,51.0,52.0,54.0,53.0,53.0,53.0,51.0,51.0,53.0,55.0,52.0,56.0,54.0,53.0,52.0,53.0,53.0,51.0,52.0,52.0,53.0,51.0,50.0,52.0,52.0,54.0,52.0,50.0,51.0,54.0,50.0,52.0,52.0,52.0,52.0,52.0,54.0,49.0,52.0,52.0,50.0,51.0,52.0
61,51.0,49.0,52.0,50.0,53.0,51.0,53.0,51.0,52.0,50.0,53.0,52.0,52.0,51.0,53.0,53.0,52.0,54.0,53.0,53.0,55.0,52.0,52.0,54.0,53.0,51.0,52.0,52.0,53.0,54.0,53.0,51.0,51.0,53.0,52.0,54.0,51.0,52.0,51.0,53.0,51.0,53.0,52.0,52.0,55.0,52.0,54.0,53.0,53.0,51.0,52.0
62,49.0,54.0,51.0,52.0,54.0,53.0,51.0,54.0,51.0,52.0,52.0,53.0,52.0,52.0,50.0,52.0,53.0,53.0,54.0,49.0,50.0,51.0,51.0,52.0,51.0,53.0,53.0,52.0,53.0,51.0,52.0,58.0,58.0,54.0,55.0,53.0,53.0,53.0,53.0,54.0,53.0,51.0,52.0,50.0,52.0,54.0,51.0,52.0,53.0,52.0,51.0
