,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,105.0,534.0,102.0,57.6
event_1,104.0,449.0,31.2,58.8
event_2,106.0,265.0,236.4,76.8
event_3,104.0,368.0,47.99999999999999,16.8
event_4,105.0,263.0,65.99999999999999,25.2
event_5,103.0,645.0,31.2,36.0
event_6,104.0,650.0,49.2,11.999999999999998
event_7,105.0,1747.0,65.99999999999999,44.39999999999999
event_8,105.0,510.0,140.4,38.4
event_9,105.0,790.0,104.4,30.0
event_10,105.0,613.0,79.19999999999999,22.8
event_11,104.0,956.0,49.2,53.99999999999999
event_12,104.0,270.0,37.2,13.199999999999998
event_13,105.0,704.0,112.79999999999998,41.99999999999999
event_14,104.0,432.0,26.399999999999995,31.2
event_15,105.0,357.0,64.8,28.8
event_16,104.0,663.0,60.0,52.79999999999999
event_17,105.0,877.0,46.8,38.4
event_18,104.0,466.0,46.8,25.2
event_19,105.0,1441.0,76.8,27.599999999999994
event_20,105.0,468.0,55.19999999999999,69.6
event_21,104.0,581.0,32.4,9.6
event_22,104.0,350.0,36.0,38.4
event_23,104.0,572.0,62.4,49.2
event_24,105.0,1350.0,52.79999999999999,93.6
event_25,105.0,465.0,86.39999999999999,14.4
event_26,104.0,365.0,58.8,41.99999999999999
event_27,105.0,260.0,91.2,74.39999999999999
event_28,105.0,889.0,156.0,24.0
event_29,105.0,375.0,79.19999999999999,33.6
event_30,104.0,284.0,40.8,10.8
event_31,104.0,1203.0,52.79999999999999,69.6
event_32,104.0,2255.0,70.79999999999998,70.79999999999998
event_33,105.0,380.0,88.79999999999998,24.0
event_34,105.0,735.0,62.4,67.2
event_35,105.0,894.0,74.39999999999999,18.0
event_36,105.0,704.0,91.2,16.8
event_37,104.0,825.0,85.2,14.4
event_38,105.0,1116.0,131.99999999999997,14.4
event_39,105.0,286.0,75.59999999999998,27.599999999999994
event_40,104.0,1811.0,41.99999999999999,61.2
event_41,104.0,265.0,43.2,74.39999999999999
event_42,104.0,1040.0,73.19999999999999,14.4
event_43,105.0,1040.0,72.0,61.2
event_44,105.0,461.0,80.4,52.79999999999999
event_45,104.0,1303.0,44.39999999999999,25.2
event_46,105.0,519.0,133.2,33.6
event_47,105.0,602.0,82.8,21.6
event_48,103.0,740.0,25.2,79.19999999999999
event_49,102.0,343.0,25.2,32.4
event_50,103.0,530.0,21.6,9.6
event_51,105.0,949.0,99.6,25.2
event_52,104.0,322.0,74.39999999999999,58.8
event_53,105.0,1387.0,115.2,53.99999999999999
event_54,105.0,1535.0,104.4,62.4
event_55,105.0,851.0,80.4,20.4
event_56,105.0,387.0,97.2,19.2
event_57,105.0,1183.0,115.2,50.39999999999999
event_58,104.0,521.0,55.19999999999999,13.199999999999998
event_59,105.0,371.0,73.19999999999999,10.8
event_60,105.0,859.0,91.2,52.79999999999999
event_61,104.0,768.0,122.4,33.6
event_62,103.0,447.0,32.4,10.8
event_63,103.0,1261.0,34.8,44.39999999999999
event_64,105.0,662.0,76.8,40.8
event_65,104.0,263.0,85.2,39.6
event_66,105.0,329.0,49.2,36.0
event_67,104.0,476.0,62.4,94.8
event_68,105.0,313.0,55.19999999999999,40.8
event_69,105.0,445.0,105.59999999999998,26.399999999999995
event_70,105.0,571.0,90.0,40.8
event_71,105.0,377.0,117.6,32.4
event_72,104.0,846.0,87.6,24.0
event_73,105.0,1000.0,74.39999999999999,47.99999999999999
event_74,102.0,985.0,25.2,51.6
event_75,104.0,391.0,79.19999999999999,14.4
event_76,105.0,804.0,49.2,11.999999999999998
event_77,105.0,382.0,118.79999999999998,31.2
event_78,104.0,574.0,56.39999999999999,25.2
event_79,105.0,346.0,92.4,78.0
event_80,105.0,416.0,91.2,22.8
