,peak_X0,peak_Y0
event_236,104.0,-70.8
event_237,103.0,-70.8
event_238,104.0,-70.8
event_239,103.0,-70.8
event_240,104.0,-70.8
event_241,104.0,-49.2
event_242,104.0,-70.8
event_243,103.0,-46.400000000000006
event_244,104.0,-70.8
event_245,103.0,-49.60000000000001
event_246,103.0,-70.8
event_247,104.0,-70.8
event_248,104.0,-57.60000000000001
event_249,103.0,-60.8
event_250,105.0,-70.8
event_251,104.0,-66.8
event_252,104.0,-70.8
event_253,104.0,-70.8
event_254,104.0,-70.8
event_255,104.0,-70.8
event_256,103.0,-50.4
event_257,103.0,-70.8
event_258,103.0,-47.199999999999996
event_259,104.0,-70.8
event_260,104.0,-70.8
event_261,104.0,-70.8
event_262,103.0,-51.6
event_263,104.0,-47.6
event_264,103.0,-45.6
event_265,103.0,-70.8
event_266,103.0,-58.0
event_267,103.0,-59.2
event_268,103.0,-64.4
event_269,103.0,-56.0
event_270,103.0,-53.6
event_271,104.0,-70.8
event_272,104.0,-70.8
event_273,104.0,-70.8
event_274,104.0,-70.8
event_275,103.0,-44.4
event_276,103.0,-70.8
event_277,103.0,-63.6
event_278,103.0,-42.4
event_279,104.0,-70.8
event_280,103.0,-70.8
event_281,103.0,-55.6
event_282,104.0,-70.8
event_283,103.0,-67.2
event_284,104.0,-70.8
event_285,104.0,-70.8
event_286,103.0,-45.2
event_287,104.0,-54.400000000000006
event_288,104.0,-70.4
event_289,103.0,-70.8
event_290,104.0,-70.8
event_291,103.0,-53.6
event_292,104.0,-70.8
event_293,103.0,-54.0
event_294,103.0,-43.2
event_295,104.0,-70.8
event_296,104.0,-70.8
event_297,104.0,-70.8
event_298,104.0,-70.8
event_299,104.0,-50.0
event_300,105.0,-70.8
event_301,104.0,-70.8
event_302,104.0,-70.8
event_303,103.0,-70.8
event_304,103.0,-69.60000000000001
event_305,103.0,-47.199999999999996
event_306,104.0,-53.2
event_307,104.0,-70.8
event_308,103.0,-70.8
event_309,104.0,-70.8
event_310,104.0,-50.0
event_311,103.0,-70.8
event_312,104.0,-70.8
event_313,104.0,-70.8
event_314,104.0,-70.8
event_315,104.0,-62.0
event_316,103.0,-70.8
event_317,104.0,-70.8
event_318,104.0,-48.0
event_319,103.0,-45.2
event_320,103.0,-55.2
event_321,104.0,-70.8
event_322,104.0,-70.8
event_323,103.0,-70.8
event_324,103.0,-48.400000000000006
event_325,105.0,-70.8
event_326,103.0,-50.0
event_327,104.0,-70.8
event_328,103.0,-70.8
event_329,103.0,-69.2
event_330,103.0,-70.8
event_331,103.0,-70.8
event_332,104.0,-70.8
event_333,104.0,-70.8
event_334,103.0,-58.800000000000004
event_335,104.0,-70.8
event_336,104.0,-70.8
event_337,103.0,-59.2
event_338,104.0,-64.4
event_339,104.0,-70.8
event_340,103.0,-58.0
event_341,104.0,-70.8
event_342,105.0,-70.8
event_343,103.0,-70.8
event_344,104.0,-70.8
event_345,103.0,-58.800000000000004
event_346,104.0,-63.6
event_347,103.0,-53.6
event_348,103.0,-70.8
event_349,103.0,-66.4
event_350,104.0,-70.8
event_351,104.0,-70.8
event_352,104.0,-70.8
event_353,102.0,-41.60000000000001
event_354,104.0,-70.8
event_355,103.0,-54.0
event_356,103.0,-70.8
event_357,104.0,-70.8
event_358,102.0,-43.6
event_359,104.0,-70.8
event_360,104.0,-70.8
event_361,104.0,-70.8
event_362,104.0,-70.8
event_363,104.0,-70.8
event_364,104.0,-70.8
event_365,103.0,-50.4
event_366,102.0,-42.4
event_367,104.0,-50.4
event_368,103.0,-59.2
event_369,104.0,-70.8
event_370,104.0,-70.8
event_371,105.0,-70.8
event_372,104.0,-70.8
event_373,104.0,-70.8
event_374,103.0,-65.60000000000001
event_375,104.0,-70.8
event_376,103.0,-51.6
event_377,103.0,-70.8
event_378,103.0,-63.6
event_379,103.0,-44.8
event_380,104.0,-70.8
event_381,104.0,-70.8
event_382,103.0,-70.8
event_383,103.0,-52.400000000000006
event_384,105.0,-70.8
event_385,103.0,-63.6
event_386,102.0,-43.2
event_387,103.0,-66.8
event_388,104.0,-70.8
event_389,103.0,-70.8
event_390,103.0,-56.400000000000006
event_391,103.0,-50.0
event_392,103.0,-52.00000000000001
event_393,104.0,-70.8
event_394,103.0,-70.8
event_395,105.0,-70.8
event_396,104.0,-64.4
event_397,103.0,-70.8
event_398,104.0,-70.8
event_399,103.0,-70.8
event_400,104.0,-70.8
event_401,104.0,-70.8
event_402,104.0,-70.8
event_403,104.0,-70.8
event_404,103.0,-65.60000000000001
event_405,103.0,-70.8
event_406,104.0,-64.8
event_407,103.0,-49.2
event_408,103.0,-70.8
event_409,104.0,-70.8
event_410,104.0,-70.8
event_411,104.0,-70.8
event_412,104.0,-64.8
event_413,104.0,-70.8
event_414,103.0,-70.8
event_415,103.0,-46.400000000000006
event_416,104.0,-70.8
event_417,104.0,-70.8
event_418,104.0,-70.8
event_419,103.0,-52.00000000000001
event_420,104.0,-70.8
event_421,104.0,-70.8
event_422,104.0,-70.8
event_423,104.0,-70.8
event_424,103.0,-70.8
event_425,104.0,-62.0
event_426,104.0,-70.8
event_427,103.0,-70.8
event_428,104.0,-65.2
event_429,104.0,-64.0
event_430,104.0,-70.8
event_431,104.0,-67.2
event_432,104.0,-70.8
event_433,104.0,-70.8
event_434,103.0,-54.800000000000004
event_435,103.0,-70.8
event_436,103.0,-70.8
event_437,104.0,-69.60000000000001
event_438,104.0,-70.8
event_439,104.0,-70.8
event_440,104.0,-70.8
event_441,103.0,-48.400000000000006
event_442,104.0,-63.2
event_443,104.0,-70.8
event_444,103.0,-70.8
event_445,102.0,-43.6
event_446,104.0,-60.00000000000001
event_447,103.0,-63.2
event_448,104.0,-70.8
event_449,104.0,-70.8
event_450,104.0,-70.8
event_451,104.0,-48.800000000000004
event_452,103.0,-43.2
event_453,104.0,-53.6
event_454,103.0,-67.60000000000001
event_455,104.0,-70.8
event_456,104.0,-65.2
event_457,103.0,-70.8
event_458,104.0,-65.60000000000001
event_459,103.0,-52.400000000000006
event_460,103.0,-70.8
event_461,104.0,-63.6
event_462,103.0,-61.2
event_463,103.0,-70.8
event_464,103.0,-68.4
event_465,104.0,-70.8
event_466,103.0,-52.400000000000006
event_467,103.0,-70.8
event_468,103.0,-52.8
event_469,104.0,-60.400000000000006
event_470,103.0,-70.8
event_471,103.0,-70.8
event_472,104.0,-64.8
event_473,104.0,-70.8
event_474,104.0,-70.8
event_475,104.0,-65.60000000000001
event_476,104.0,-70.8
event_477,104.0,-70.8
event_478,104.0,-49.60000000000001
event_479,103.0,-48.400000000000006
event_480,104.0,-70.8
event_481,104.0,-64.4
event_482,103.0,-64.8
event_483,104.0,-70.8
event_484,104.0,-70.8
event_485,104.0,-70.8
event_486,104.0,-70.8
event_487,104.0,-70.8
event_488,103.0,-70.8
event_489,104.0,-70.8
