,peak_X0,peak_X1,peak_Y0,peak_Y1
event_0,104.0,580.0,-52.79999999999999,-79.19999999999999
event_1,104.0,1746.0,-57.6,-10.8
event_2,103.0,502.0,-43.2,-14.4
event_3,103.0,1735.0,-31.2,-13.199999999999998
event_4,104.0,268.0,-79.19999999999999,-11.999999999999998
event_5,104.0,636.0,-62.4,-21.6
event_6,105.0,857.0,-94.8,-112.79999999999998
event_7,102.0,286.0,-28.8,-96.0
event_8,103.0,418.0,-55.19999999999999,-21.6
event_9,104.0,1028.0,-52.79999999999999,-49.2
event_10,104.0,1022.0,-61.2,-32.4
event_11,104.0,1019.0,-96.0,-9.6
event_12,104.0,476.0,-96.0,-21.6
event_13,104.0,1063.0,-80.4,-30.0
event_14,104.0,2157.0,-73.19999999999999,-67.2
event_15,103.0,428.0,-26.399999999999995,-16.8
event_16,104.0,767.0,-116.4,-30.0
event_17,104.0,588.0,-103.2,-21.6
event_18,104.0,336.0,-98.4,-13.199999999999998
event_19,104.0,335.0,-105.59999999999998,-69.6
event_20,104.0,715.0,-45.6,-15.6
event_21,105.0,651.0,-116.4,-104.4
event_22,103.0,826.0,-43.2,-24.0
event_23,104.0,521.0,-88.79999999999998,-86.39999999999999
event_24,104.0,851.0,-79.19999999999999,-70.79999999999998
event_25,104.0,2305.0,-50.39999999999999,-11.999999999999998
event_26,104.0,948.0,-37.2,-24.0
event_27,104.0,548.0,-90.0,-19.2
event_28,105.0,1132.0,-147.6,-37.2
event_29,103.0,517.0,-27.599999999999994,-30.0
event_30,104.0,432.0,-114.0,-15.6
event_31,104.0,1557.0,-146.39999999999998,-25.2
event_32,103.0,274.0,-57.6,-22.8
event_33,104.0,1120.0,-86.39999999999999,-16.8
event_34,104.0,341.0,-135.6,-20.4
event_35,104.0,362.0,-79.19999999999999,-24.0
event_36,104.0,563.0,-104.4,-64.8
event_37,104.0,1702.0,-106.8,-30.0
event_38,104.0,755.0,-109.2,-49.2
event_39,104.0,737.0,-58.8,-38.4
event_40,103.0,372.0,-56.39999999999999,-72.0
event_41,104.0,1019.0,-92.4,-98.4
event_42,104.0,313.0,-96.0,-57.6
event_43,104.0,455.0,-97.2,-43.2
event_44,103.0,361.0,-27.599999999999994,-87.6
event_45,104.0,777.0,-72.0,-34.8
event_46,104.0,754.0,-120.0,-118.79999999999998
event_47,104.0,604.0,-96.0,-115.2
event_48,104.0,350.0,-60.0,-99.6
event_49,104.0,653.0,-64.8,-68.39999999999999
event_50,104.0,783.0,-78.0,-94.8
event_51,104.0,514.0,-38.4,-105.59999999999998
event_52,104.0,1229.0,-126.0,-14.4
event_53,104.0,1693.0,-80.4,-46.8
event_54,104.0,261.0,-109.2,-50.39999999999999
event_55,103.0,344.0,-53.99999999999999,-25.2
event_56,104.0,434.0,-110.39999999999998,-38.4
event_57,104.0,674.0,-41.99999999999999,-14.4
event_58,104.0,2105.0,-80.4,-47.99999999999999
event_59,104.0,322.0,-99.6,-53.99999999999999
event_60,104.0,504.0,-41.99999999999999,-123.6
event_61,105.0,379.0,-122.4,-61.2
event_62,105.0,1352.0,-166.79999999999998,-10.8
event_63,104.0,460.0,-75.59999999999998,-34.8
event_64,104.0,716.0,-154.79999999999998,-31.2
event_65,104.0,911.0,-70.79999999999998,-16.8
event_66,104.0,1254.0,-111.6,-49.2
event_67,104.0,336.0,-73.19999999999999,-20.4
event_68,105.0,431.0,-123.6,-103.2
event_69,105.0,866.0,-118.79999999999998,-78.0
event_70,104.0,428.0,-123.6,-108.0
event_71,104.0,924.0,-44.39999999999999,-78.0
event_72,104.0,1021.0,-106.8,-26.399999999999995
event_73,104.0,404.0,-67.2,-20.4
event_74,103.0,736.0,-47.99999999999999,-47.99999999999999
event_75,105.0,1751.0,-83.99999999999999,-52.79999999999999
event_76,104.0,693.0,-91.2,-25.2
event_77,103.0,999.0,-65.99999999999999,-19.2
event_78,104.0,517.0,-63.59999999999999,-22.8
event_79,104.0,372.0,-50.39999999999999,-14.4
event_80,104.0,746.0,-55.19999999999999,-78.0
event_81,103.0,1422.0,-32.4,-19.2
event_82,104.0,377.0,-98.4,-116.4
event_83,104.0,552.0,-41.99999999999999,-9.6
event_84,104.0,585.0,-68.39999999999999,-36.0
event_85,105.0,887.0,-133.2,-32.4
event_86,104.0,1475.0,-31.2,-37.2
event_87,104.0,283.0,-108.0,-21.6
event_88,104.0,623.0,-167.99999999999997,-33.6
event_89,104.0,426.0,-72.0,-73.19999999999999
event_90,104.0,1471.0,-93.6,-109.2
event_91,104.0,286.0,-105.59999999999998,-55.19999999999999
event_92,104.0,997.0,-83.99999999999999,-10.8
event_93,104.0,879.0,-64.8,-14.4
event_94,104.0,351.0,-32.4,-32.4
event_95,104.0,1504.0,-127.19999999999996,-53.99999999999999
event_96,104.0,280.0,-87.6,-68.39999999999999
event_97,103.0,1140.0,-37.2,-14.4
event_98,104.0,275.0,-53.99999999999999,-26.399999999999995
event_99,104.0,1746.0,-60.0,-10.8
event_100,104.0,1083.0,-127.19999999999996,-22.8
