,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22
1896,53.0,52.0,54.0,52.0,53.0,53.0,52.0,51.0,53.0,52.0,52.0,54.0,54.0,53.0,54.0,51.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0
1897,50.0,51.0,53.0,53.0,51.0,54.0,53.0,53.0,54.0,54.0,53.0,54.0,54.0,52.0,52.0,53.0,55.0,53.0,54.0,54.0,51.0,54.0,53.0
1898,50.0,53.0,53.0,54.0,52.0,53.0,54.0,51.0,54.0,51.0,53.0,53.0,53.0,53.0,54.0,53.0,54.0,53.0,52.0,51.0,53.0,53.0,53.0
1899,52.0,52.0,51.0,53.0,51.0,54.0,53.0,53.0,52.0,51.0,51.0,52.0,54.0,50.0,51.0,52.0,53.0,52.0,53.0,52.0,52.0,50.0,51.0
1900,51.0,50.0,54.0,55.0,51.0,56.0,51.0,53.0,53.0,54.0,53.0,53.0,51.0,51.0,52.0,52.0,53.0,52.0,53.0,51.0,53.0,54.0,52.0
1901,52.0,53.0,53.0,52.0,53.0,55.0,50.0,52.0,52.0,53.0,53.0,52.0,54.0,54.0,53.0,53.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0
1902,50.0,55.0,52.0,50.0,50.0,53.0,53.0,53.0,52.0,50.0,53.0,53.0,53.0,50.0,51.0,54.0,52.0,54.0,54.0,57.0,53.0,53.0,52.0
1903,53.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,54.0,52.0,52.0,52.0
1904,52.0,53.0,53.0,52.0,53.0,52.0,51.0,53.0,50.0,55.0,52.0,52.0,54.0,53.0,54.0,52.0,54.0,53.0,53.0,51.0,53.0,57.0,52.0
1905,53.0,52.0,53.0,53.0,52.0,53.0,53.0,54.0,53.0,54.0,52.0,51.0,53.0,52.0,52.0,53.0,53.0,54.0,54.0,51.0,51.0,53.0,53.0
1906,53.0,52.0,53.0,52.0,53.0,51.0,51.0,52.0,54.0,54.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,51.0,52.0,51.0
1907,50.0,52.0,54.0,51.0,51.0,53.0,53.0,52.0,50.0,54.0,53.0,52.0,54.0,53.0,52.0,52.0,53.0,52.0,54.0,53.0,53.0,51.0,54.0
1908,52.0,51.0,54.0,52.0,52.0,54.0,52.0,52.0,52.0,54.0,54.0,51.0,53.0,52.0,52.0,56.0,53.0,52.0,52.0,51.0,52.0,53.0,52.0
