,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19,event_20,event_21,event_22
time_epoch,1617120735.2442703,1617120845.8344254,1617121064.4347312,1617121410.2052155,1617121455.615279,1617121570.2654395,1617121647.8755481,1617121697.7556179,1617121784.0257387,1617122029.6260827,1617122169.6262786,1617122251.5663934,1617122619.966909,1617122717.0070448,1617122822.5771928,1617123348.3779287,1617123451.7780735,1617123568.1682365,1617123643.548342,1617123710.3684356,1617123736.1984718,1617123861.1886466,1617123863.3486497
0,53.0,54.0,52.0,52.0,53.0,52.0,51.0,51.0,54.0,53.0,56.0,52.0,55.0,50.0,51.0,54.0,52.0,54.0,53.0,53.0,50.0,53.0,55.0
1,51.0,52.0,51.0,53.0,52.0,54.0,54.0,51.0,52.0,55.0,51.0,51.0,51.0,53.0,51.0,54.0,53.0,53.0,53.0,52.0,54.0,53.0,55.0
2,51.0,55.0,51.0,52.0,53.0,53.0,54.0,52.0,54.0,52.0,47.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,55.0
3,52.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,50.0,51.0,53.0,51.0,52.0,52.0,51.0,52.0,53.0,51.0,51.0,53.0,54.0,52.0
4,52.0,50.0,52.0,53.0,54.0,55.0,52.0,53.0,50.0,54.0,54.0,51.0,51.0,52.0,52.0,54.0,53.0,54.0,52.0,49.0,52.0,51.0,53.0
5,51.0,53.0,52.0,53.0,51.0,52.0,51.0,52.0,54.0,54.0,51.0,51.0,53.0,53.0,51.0,53.0,53.0,52.0,54.0,52.0,52.0,50.0,52.0
6,51.0,51.0,54.0,52.0,50.0,53.0,53.0,53.0,52.0,50.0,50.0,52.0,54.0,53.0,53.0,52.0,53.0,56.0,54.0,51.0,54.0,52.0,53.0
7,52.0,53.0,55.0,53.0,53.0,53.0,54.0,53.0,52.0,54.0,55.0,51.0,53.0,52.0,53.0,54.0,53.0,53.0,50.0,52.0,52.0,52.0,54.0
8,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0,52.0,53.0,53.0,50.0,51.0,51.0,52.0,51.0,53.0,51.0,51.0,55.0,54.0,52.0
9,51.0,52.0,52.0,53.0,53.0,54.0,51.0,53.0,51.0,51.0,50.0,52.0,51.0,53.0,54.0,53.0,54.0,55.0,57.0,54.0,54.0,49.0,54.0
10,53.0,53.0,53.0,52.0,53.0,52.0,51.0,53.0,52.0,54.0,53.0,51.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,52.0,52.0,51.0,54.0
11,51.0,51.0,52.0,53.0,53.0,52.0,55.0,53.0,52.0,53.0,56.0,52.0,52.0,52.0,54.0,54.0,54.0,54.0,51.0,52.0,52.0,53.0,54.0
12,54.0,52.0,54.0,54.0,52.0,51.0,53.0,51.0,53.0,53.0,53.0,52.0,54.0,53.0,53.0,53.0,53.0,52.0,54.0,53.0,52.0,51.0,54.0
13,51.0,52.0,54.0,54.0,51.0,55.0,50.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,54.0,52.0,54.0,56.0,52.0,53.0,54.0,50.0
14,53.0,51.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,54.0,52.0,53.0,52.0,52.0,54.0,53.0,54.0,50.0,50.0,54.0,55.0,52.0
15,51.0,53.0,54.0,53.0,52.0,54.0,53.0,52.0,52.0,52.0,55.0,51.0,54.0,51.0,53.0,54.0,53.0,51.0,49.0,51.0,52.0,52.0,52.0
16,53.0,52.0,53.0,52.0,53.0,53.0,52.0,55.0,52.0,54.0,54.0,53.0,53.0,52.0,57.0,55.0,52.0,54.0,54.0,50.0,53.0,53.0,51.0
17,53.0,52.0,53.0,53.0,52.0,53.0,51.0,51.0,52.0,53.0,51.0,52.0,53.0,52.0,53.0,51.0,54.0,53.0,52.0,53.0,52.0,54.0,53.0
18,53.0,54.0,55.0,52.0,52.0,53.0,53.0,51.0,53.0,51.0,53.0,51.0,54.0,51.0,52.0,53.0,53.0,52.0,49.0,53.0,53.0,53.0,53.0
19,52.0,53.0,54.0,52.0,51.0,52.0,55.0,53.0,51.0,53.0,54.0,53.0,51.0,54.0,52.0,53.0,55.0,53.0,53.0,52.0,54.0,54.0,53.0
20,52.0,54.0,53.0,52.0,51.0,52.0,50.0,52.0,51.0,54.0,52.0,53.0,52.0,52.0,53.0,53.0,52.0,52.0,56.0,53.0,53.0,53.0,52.0
21,50.0,52.0,52.0,51.0,52.0,51.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,52.0,55.0,51.0,53.0,53.0,50.0,54.0,52.0,53.0,53.0
22,52.0,53.0,54.0,51.0,51.0,52.0,52.0,54.0,52.0,51.0,54.0,51.0,53.0,53.0,53.0,53.0,52.0,52.0,51.0,53.0,53.0,50.0,53.0
23,52.0,51.0,53.0,52.0,53.0,52.0,51.0,53.0,52.0,53.0,51.0,52.0,51.0,53.0,53.0,52.0,52.0,53.0,54.0,53.0,52.0,52.0,51.0
24,52.0,54.0,53.0,50.0,53.0,51.0,53.0,53.0,50.0,52.0,50.0,50.0,52.0,53.0,52.0,54.0,54.0,52.0,53.0,52.0,53.0,55.0,52.0
25,53.0,54.0,52.0,50.0,53.0,52.0,51.0,51.0,51.0,51.0,55.0,53.0,53.0,53.0,54.0,54.0,55.0,52.0,50.0,51.0,51.0,51.0,54.0
26,53.0,51.0,54.0,51.0,53.0,53.0,55.0,51.0,51.0,53.0,55.0,51.0,52.0,52.0,53.0,53.0,54.0,52.0,51.0,50.0,53.0,54.0,54.0
27,51.0,54.0,55.0,52.0,53.0,52.0,53.0,53.0,53.0,51.0,49.0,49.0,53.0,50.0,53.0,53.0,54.0,54.0,53.0,51.0,53.0,52.0,51.0
28,52.0,54.0,51.0,51.0,52.0,54.0,53.0,52.0,52.0,52.0,52.0,54.0,54.0,51.0,53.0,52.0,49.0,54.0,53.0,51.0,51.0,53.0,51.0
29,53.0,52.0,51.0,52.0,53.0,54.0,54.0,52.0,51.0,53.0,53.0,52.0,52.0,53.0,54.0,53.0,53.0,52.0,49.0,51.0,51.0,53.0,54.0
30,52.0,53.0,53.0,52.0,52.0,53.0,52.0,51.0,52.0,51.0,53.0,53.0,52.0,52.0,53.0,52.0,51.0,53.0,52.0,53.0,53.0,53.0,52.0
31,51.0,52.0,53.0,53.0,52.0,51.0,52.0,53.0,51.0,52.0,52.0,53.0,52.0,51.0,55.0,52.0,52.0,51.0,56.0,53.0,50.0,53.0,53.0
32,52.0,52.0,52.0,53.0,53.0,53.0,52.0,51.0,53.0,52.0,50.0,51.0,51.0,52.0,54.0,52.0,53.0,51.0,53.0,51.0,51.0,52.0,51.0
33,52.0,54.0,53.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,55.0,52.0,53.0,52.0,54.0,54.0,53.0,53.0,51.0,53.0,53.0,51.0,50.0
34,52.0,54.0,54.0,50.0,55.0,53.0,52.0,54.0,51.0,55.0,51.0,52.0,53.0,53.0,54.0,53.0,53.0,53.0,54.0,52.0,53.0,51.0,53.0
35,52.0,53.0,55.0,50.0,53.0,55.0,52.0,52.0,52.0,54.0,51.0,54.0,54.0,53.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,52.0,54.0
36,52.0,51.0,53.0,53.0,51.0,55.0,54.0,53.0,51.0,53.0,55.0,52.0,53.0,51.0,54.0,53.0,53.0,54.0,53.0,54.0,52.0,53.0,52.0
37,52.0,52.0,52.0,53.0,54.0,52.0,54.0,52.0,53.0,52.0,54.0,51.0,54.0,52.0,52.0,53.0,53.0,53.0,53.0,52.0,51.0,52.0,51.0
38,51.0,54.0,52.0,51.0,51.0,54.0,52.0,52.0,54.0,53.0,51.0,54.0,52.0,52.0,53.0,52.0,51.0,54.0,54.0,50.0,51.0,52.0,52.0
39,52.0,53.0,51.0,52.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,53.0,53.0,52.0,55.0,52.0,56.0,51.0,54.0,51.0,54.0
40,52.0,52.0,54.0,52.0,53.0,52.0,52.0,50.0,53.0,52.0,57.0,51.0,53.0,49.0,54.0,53.0,53.0,52.0,52.0,52.0,54.0,52.0,53.0
41,52.0,54.0,52.0,55.0,51.0,53.0,54.0,51.0,52.0,53.0,52.0,52.0,52.0,52.0,52.0,54.0,53.0,53.0,52.0,51.0,54.0,53.0,55.0
42,51.0,52.0,53.0,52.0,51.0,53.0,51.0,51.0,53.0,52.0,49.0,53.0,54.0,54.0,54.0,51.0,55.0,53.0,55.0,52.0,51.0,53.0,53.0
43,52.0,51.0,51.0,52.0,52.0,54.0,54.0,52.0,51.0,53.0,55.0,52.0,53.0,50.0,53.0,52.0,51.0,54.0,53.0,52.0,52.0,53.0,52.0
44,53.0,52.0,52.0,53.0,50.0,52.0,54.0,53.0,53.0,53.0,53.0,53.0,51.0,53.0,52.0,54.0,55.0,53.0,52.0,51.0,52.0,51.0,53.0
45,51.0,51.0,53.0,52.0,52.0,54.0,52.0,51.0,52.0,52.0,49.0,53.0,52.0,52.0,52.0,53.0,54.0,52.0,54.0,51.0,52.0,51.0,50.0
46,51.0,51.0,54.0,53.0,53.0,52.0,54.0,53.0,51.0,53.0,50.0,52.0,52.0,53.0,54.0,52.0,53.0,54.0,52.0,52.0,52.0,54.0,52.0
47,54.0,52.0,53.0,52.0,53.0,52.0,54.0,54.0,53.0,53.0,54.0,52.0,53.0,52.0,52.0,52.0,54.0,51.0,48.0,52.0,53.0,54.0,53.0
48,53.0,51.0,54.0,51.0,54.0,55.0,54.0,53.0,52.0,54.0,53.0,52.0,53.0,52.0,52.0,52.0,51.0,54.0,52.0,52.0,54.0,52.0,54.0
49,51.0,54.0,54.0,51.0,53.0,54.0,53.0,52.0,52.0,54.0,49.0,51.0,53.0,53.0,53.0,54.0,53.0,53.0,56.0,52.0,53.0,51.0,54.0
50,51.0,53.0,52.0,52.0,53.0,54.0,55.0,53.0,52.0,54.0,53.0,53.0,54.0,51.0,53.0,55.0,51.0,53.0,52.0,51.0,53.0,52.0,53.0
51,52.0,53.0,51.0,52.0,53.0,54.0,53.0,54.0,51.0,55.0,54.0,51.0,51.0,52.0,51.0,54.0,52.0,52.0,49.0,50.0,52.0,52.0,54.0
52,53.0,51.0,52.0,50.0,53.0,52.0,53.0,53.0,52.0,54.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,49.0,51.0,50.0,51.0
53,51.0,53.0,51.0,52.0,52.0,54.0,55.0,51.0,53.0,53.0,52.0,54.0,52.0,51.0,54.0,52.0,53.0,55.0,55.0,52.0,52.0,53.0,52.0
54,53.0,52.0,52.0,53.0,50.0,54.0,52.0,52.0,53.0,54.0,53.0,50.0,54.0,54.0,54.0,54.0,53.0,54.0,51.0,52.0,52.0,50.0,53.0
55,51.0,51.0,52.0,52.0,54.0,52.0,52.0,53.0,51.0,54.0,54.0,52.0,52.0,53.0,54.0,50.0,52.0,51.0,51.0,52.0,53.0,52.0,53.0
56,51.0,53.0,53.0,52.0,53.0,53.0,52.0,50.0,52.0,53.0,50.0,52.0,51.0,52.0,53.0,52.0,51.0,52.0,55.0,52.0,54.0,54.0,52.0
57,55.0,52.0,53.0,51.0,53.0,51.0,52.0,51.0,54.0,53.0,51.0,52.0,54.0,52.0,52.0,53.0,52.0,52.0,53.0,52.0,54.0,50.0,54.0
58,52.0,53.0,54.0,52.0,53.0,53.0,50.0,52.0,52.0,51.0,54.0,52.0,52.0,53.0,53.0,53.0,52.0,55.0,49.0,53.0,53.0,52.0,53.0
59,52.0,54.0,53.0,51.0,52.0,52.0,52.0,53.0,53.0,52.0,55.0,51.0,55.0,51.0,52.0,54.0,54.0,52.0,53.0,51.0,52.0,53.0,54.0
60,53.0,52.0,52.0,53.0,54.0,52.0,51.0,50.0,52.0,54.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,51.0,56.0,52.0,52.0,52.0,53.0
61,53.0,53.0,52.0,51.0,53.0,55.0,53.0,52.0,53.0,52.0,52.0,54.0,52.0,54.0,54.0,53.0,55.0,54.0,49.0,51.0,53.0,54.0,53.0
62,52.0,53.0,54.0,52.0,52.0,53.0,54.0,53.0,51.0,53.0,55.0,53.0,53.0,52.0,54.0,56.0,53.0,52.0,52.0,51.0,53.0,50.0,53.0
63,52.0,53.0,54.0,54.0,53.0,54.0,53.0,53.0,54.0,54.0,54.0,52.0,53.0,53.0,52.0,54.0,53.0,54.0,55.0,48.0,54.0,52.0,53.0
64,52.0,54.0,53.0,51.0,52.0,54.0,52.0,52.0,54.0,52.0,50.0,51.0,54.0,52.0,50.0,53.0,55.0,52.0,54.0,50.0,50.0,53.0,52.0
65,53.0,56.0,51.0,52.0,55.0,53.0,55.0,50.0,53.0,54.0,54.0,53.0,53.0,53.0,53.0,51.0,53.0,54.0,49.0,52.0,52.0,53.0,52.0
66,54.0,53.0,52.0,55.0,51.0,53.0,50.0,51.0,52.0,53.0,55.0,50.0,53.0,55.0,54.0,52.0,52.0,52.0,52.0,52.0,54.0,54.0,55.0
67,53.0,53.0,54.0,52.0,51.0,52.0,51.0,53.0,52.0,51.0,51.0,52.0,52.0,53.0,54.0,52.0,54.0,52.0,56.0,52.0,52.0,50.0,54.0
68,51.0,53.0,52.0,51.0,53.0,54.0,53.0,51.0,54.0,53.0,53.0,52.0,52.0,54.0,53.0,54.0,54.0,52.0,52.0,50.0,52.0,52.0,54.0
69,49.0,51.0,50.0,52.0,53.0,52.0,53.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,52.0,52.0,53.0,49.0,52.0,53.0,55.0,52.0
70,52.0,55.0,55.0,54.0,52.0,53.0,51.0,51.0,53.0,52.0,53.0,54.0,55.0,53.0,52.0,51.0,50.0,54.0,52.0,53.0,52.0,53.0,52.0
71,50.0,55.0,50.0,54.0,53.0,53.0,52.0,53.0,52.0,53.0,51.0,54.0,54.0,55.0,52.0,52.0,52.0,52.0,53.0,51.0,51.0,51.0,53.0
72,51.0,53.0,51.0,52.0,53.0,53.0,51.0,51.0,51.0,52.0,51.0,53.0,54.0,52.0,54.0,56.0,53.0,52.0,52.0,52.0,52.0,54.0,54.0
73,53.0,51.0,55.0,53.0,52.0,50.0,54.0,51.0,54.0,52.0,53.0,53.0,51.0,54.0,53.0,52.0,51.0,53.0,50.0,52.0,55.0,49.0,53.0
74,54.0,55.0,54.0,50.0,51.0,53.0,51.0,53.0,53.0,53.0,52.0,53.0,54.0,52.0,54.0,53.0,52.0,51.0,54.0,51.0,52.0,51.0,53.0
75,53.0,54.0,54.0,51.0,53.0,54.0,52.0,51.0,51.0,51.0,50.0,52.0,52.0,52.0,53.0,54.0,52.0,53.0,52.0,50.0,51.0,54.0,53.0
76,51.0,50.0,52.0,54.0,54.0,52.0,53.0,51.0,53.0,53.0,48.0,52.0,52.0,55.0,52.0,53.0,52.0,52.0,49.0,53.0,53.0,55.0,51.0
77,53.0,53.0,54.0,51.0,54.0,53.0,53.0,52.0,51.0,53.0,53.0,53.0,53.0,52.0,52.0,54.0,51.0,51.0,52.0,53.0,52.0,50.0,53.0
78,52.0,53.0,53.0,54.0,53.0,55.0,53.0,52.0,53.0,53.0,51.0,52.0,52.0,53.0,53.0,53.0,53.0,53.0,55.0,52.0,55.0,53.0,53.0
79,51.0,51.0,51.0,53.0,53.0,52.0,53.0,51.0,51.0,53.0,50.0,51.0,53.0,54.0,55.0,54.0,52.0,51.0,52.0,51.0,52.0,55.0,51.0
80,53.0,54.0,54.0,53.0,53.0,52.0,52.0,52.0,53.0,52.0,54.0,52.0,54.0,53.0,53.0,52.0,51.0,55.0,50.0,53.0,52.0,54.0,53.0
81,52.0,56.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,52.0,55.0,51.0,53.0,54.0,53.0,54.0,53.0,51.0,54.0,51.0,53.0,50.0,53.0
82,51.0,53.0,52.0,52.0,53.0,52.0,53.0,52.0,50.0,53.0,52.0,52.0,53.0,53.0,55.0,53.0,52.0,53.0,54.0,55.0,51.0,50.0,54.0
83,51.0,51.0,53.0,53.0,53.0,54.0,53.0,50.0,53.0,52.0,53.0,52.0,52.0,52.0,52.0,53.0,50.0,51.0,53.0,53.0,52.0,55.0,52.0
84,50.0,52.0,52.0,52.0,54.0,53.0,52.0,53.0,51.0,53.0,55.0,53.0,54.0,52.0,52.0,54.0,54.0,51.0,52.0,51.0,52.0,51.0,53.0
85,52.0,54.0,53.0,50.0,54.0,52.0,53.0,52.0,52.0,54.0,54.0,54.0,55.0,51.0,53.0,52.0,53.0,53.0,53.0,55.0,52.0,49.0,54.0
86,53.0,54.0,53.0,53.0,53.0,50.0,55.0,53.0,52.0,54.0,52.0,51.0,53.0,52.0,53.0,54.0,54.0,53.0,54.0,52.0,53.0,55.0,54.0
87,51.0,53.0,53.0,52.0,54.0,51.0,52.0,53.0,53.0,52.0,55.0,51.0,52.0,53.0,53.0,54.0,53.0,52.0,50.0,53.0,53.0,54.0,55.0
88,51.0,51.0,53.0,53.0,51.0,54.0,54.0,51.0,53.0,53.0,54.0,52.0,53.0,50.0,55.0,52.0,55.0,52.0,54.0,50.0,53.0,51.0,52.0
89,52.0,53.0,51.0,52.0,53.0,52.0,51.0,53.0,51.0,53.0,53.0,53.0,53.0,51.0,53.0,54.0,54.0,52.0,54.0,50.0,50.0,53.0,53.0
90,54.0,55.0,53.0,53.0,53.0,52.0,51.0,52.0,53.0,52.0,55.0,53.0,51.0,53.0,55.0,52.0,53.0,51.0,54.0,50.0,52.0,54.0,52.0
91,51.0,52.0,52.0,53.0,50.0,51.0,54.0,50.0,54.0,54.0,53.0,51.0,53.0,54.0,53.0,51.0,53.0,53.0,50.0,52.0,56.0,53.0,53.0
92,51.0,54.0,53.0,54.0,54.0,52.0,50.0,52.0,52.0,53.0,54.0,53.0,55.0,51.0,52.0,53.0,53.0,51.0,52.0,53.0,53.0,49.0,51.0
93,52.0,52.0,54.0,53.0,51.0,54.0,54.0,51.0,53.0,51.0,51.0,52.0,53.0,52.0,53.0,50.0,53.0,52.0,52.0,50.0,53.0,54.0,53.0
94,52.0,52.0,53.0,52.0,54.0,54.0,52.0,50.0,51.0,54.0,53.0,52.0,52.0,52.0,53.0,54.0,52.0,53.0,52.0,51.0,54.0,55.0,51.0
95,54.0,54.0,55.0,53.0,52.0,52.0,52.0,51.0,51.0,52.0,52.0,52.0,53.0,52.0,53.0,52.0,53.0,54.0,49.0,52.0,52.0,52.0,52.0
96,53.0,54.0,52.0,54.0,51.0,53.0,53.0,54.0,53.0,54.0,52.0,51.0,55.0,52.0,53.0,52.0,51.0,53.0,51.0,52.0,52.0,51.0,52.0
97,52.0,52.0,52.0,53.0,54.0,52.0,52.0,53.0,51.0,52.0,51.0,54.0,52.0,52.0,51.0,54.0,52.0,51.0,52.0,51.0,51.0,54.0,54.0
98,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,54.0,51.0,49.0,53.0,53.0,55.0,50.0
99,52.0,52.0,52.0,51.0,53.0,51.0,52.0,54.0,52.0,52.0,57.0,52.0,55.0,52.0,53.0,53.0,53.0,50.0,53.0,51.0,53.0,50.0,52.0
100,52.0,52.0,52.0,52.0,52.0,54.0,52.0,54.0,53.0,53.0,52.0,52.0,54.0,51.0,52.0,52.0,50.0,51.0,49.0,51.0,53.0,53.0,53.0
101,52.0,53.0,51.0,53.0,53.0,52.0,53.0,52.0,52.0,55.0,52.0,52.0,54.0,52.0,53.0,54.0,53.0,52.0,52.0,48.0,53.0,54.0,50.0
102,15.0,53.0,8.0,50.0,48.0,53.0,43.0,44.0,46.0,53.0,23.0,54.0,40.0,35.0,9.0,51.0,51.0,51.0,28.0,48.0,51.0,54.0,-7.0
103,-127.0,-46.0,-127.0,-64.0,-67.0,-44.0,-103.0,-119.0,-106.0,-17.0,-127.0,-18.0,-127.0,-127.0,-127.0,-37.0,-71.0,-50.0,-127.0,-85.0,-22.0,-26.0,-127.0
104,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-124.0
105,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-31.0
106,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-24.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,-127.0,25.0
107,-90.0,-127.0,-127.0,-92.0,-90.0,-127.0,-93.0,-87.0,-83.0,-127.0,-127.0,-127.0,-96.0,-88.0,13.0,-127.0,-100.0,-127.0,-87.0,-127.0,-127.0,-127.0,33.0
108,-24.0,-35.0,-96.0,-15.0,-22.0,-25.0,-22.0,-17.0,-16.0,-41.0,-39.0,-26.0,-24.0,-18.0,34.0,-39.0,-11.0,-127.0,-21.0,-82.0,-127.0,-47.0,41.0
109,33.0,1.0,1.0,10.0,14.0,13.0,18.0,16.0,16.0,6.0,20.0,3.0,16.0,18.0,53.0,-2.0,22.0,-115.0,26.0,-7.0,-48.0,-2.0,49.0
110,48.0,45.0,42.0,48.0,43.0,47.0,44.0,44.0,42.0,40.0,46.0,43.0,41.0,40.0,47.0,37.0,44.0,-4.0,42.0,37.0,17.0,50.0,38.0
111,-8.0,34.0,-29.0,30.0,27.0,33.0,21.0,19.0,20.0,37.0,-4.0,36.0,18.0,0.0,28.0,35.0,20.0,15.0,-11.0,14.0,33.0,46.0,34.0
112,-20.0,-8.0,-58.0,-8.0,-1.0,-6.0,-7.0,-7.0,-8.0,-3.0,-25.0,-13.0,-4.0,-22.0,37.0,-2.0,-11.0,-86.0,-22.0,-31.0,-34.0,-4.0,48.0
113,22.0,11.0,2.0,14.0,18.0,14.0,22.0,22.0,17.0,6.0,21.0,0.0,18.0,20.0,40.0,12.0,18.0,-65.0,23.0,2.0,-32.0,8.0,48.0
114,30.0,32.0,18.0,39.0,37.0,34.0,38.0,35.0,34.0,32.0,27.0,29.0,28.0,31.0,41.0,36.0,29.0,15.0,27.0,31.0,21.0,34.0,48.0
115,36.0,35.0,24.0,37.0,38.0,35.0,37.0,33.0,39.0,34.0,34.0,32.0,37.0,36.0,49.0,37.0,30.0,15.0,30.0,27.0,27.0,36.0,53.0
116,45.0,44.0,38.0,45.0,45.0,41.0,46.0,44.0,43.0,42.0,41.0,40.0,48.0,47.0,52.0,47.0,43.0,26.0,45.0,32.0,31.0,46.0,51.0
117,49.0,50.0,41.0,48.0,50.0,43.0,46.0,47.0,48.0,50.0,43.0,49.0,48.0,48.0,50.0,48.0,49.0,37.0,49.0,42.0,44.0,50.0,51.0
118,53.0,50.0,48.0,47.0,48.0,43.0,48.0,48.0,50.0,49.0,54.0,51.0,52.0,48.0,53.0,46.0,50.0,37.0,52.0,44.0,50.0,47.0,51.0
119,49.0,54.0,47.0,48.0,50.0,48.0,52.0,52.0,50.0,55.0,53.0,52.0,52.0,48.0,52.0,52.0,53.0,50.0,53.0,49.0,53.0,51.0,51.0
120,39.0,46.0,36.0,43.0,46.0,47.0,46.0,43.0,45.0,48.0,42.0,48.0,43.0,41.0,50.0,45.0,45.0,44.0,41.0,44.0,44.0,48.0,53.0
121,46.0,43.0,44.0,44.0,46.0,46.0,47.0,45.0,43.0,44.0,47.0,42.0,48.0,46.0,53.0,46.0,43.0,29.0,49.0,40.0,40.0,43.0,55.0
122,56.0,52.0,56.0,53.0,53.0,50.0,51.0,53.0,54.0,53.0,54.0,50.0,54.0,56.0,53.0,52.0,53.0,42.0,55.0,51.0,48.0,48.0,54.0
123,54.0,58.0,52.0,56.0,53.0,51.0,51.0,54.0,56.0,56.0,54.0,55.0,55.0,52.0,50.0,54.0,54.0,58.0,50.0,55.0,55.0,57.0,50.0
124,42.0,51.0,35.0,49.0,51.0,48.0,48.0,47.0,47.0,52.0,43.0,49.0,49.0,45.0,49.0,52.0,48.0,50.0,43.0,49.0,51.0,51.0,49.0
125,45.0,42.0,41.0,42.0,45.0,43.0,45.0,44.0,44.0,42.0,43.0,44.0,44.0,44.0,51.0,45.0,41.0,30.0,43.0,40.0,40.0,41.0,56.0
126,62.0,52.0,65.0,54.0,54.0,52.0,55.0,57.0,55.0,50.0,62.0,52.0,55.0,59.0,56.0,54.0,57.0,41.0,63.0,52.0,45.0,48.0,55.0
127,52.0,63.0,57.0,61.0,57.0,60.0,57.0,59.0,57.0,61.0,56.0,62.0,58.0,56.0,50.0,61.0,60.0,69.0,56.0,61.0,63.0,60.0,51.0
128,37.0,46.0,32.0,45.0,48.0,50.0,45.0,42.0,45.0,48.0,36.0,50.0,41.0,40.0,49.0,48.0,45.0,46.0,36.0,42.0,49.0,47.0,51.0
129,54.0,41.0,46.0,44.0,44.0,43.0,44.0,48.0,45.0,42.0,49.0,40.0,48.0,47.0,54.0,44.0,45.0,20.0,50.0,39.0,36.0,39.0,56.0
130,58.0,58.0,64.0,59.0,56.0,53.0,55.0,58.0,59.0,56.0,60.0,56.0,57.0,57.0,54.0,57.0,60.0,54.0,60.0,58.0,52.0,54.0,53.0
131,48.0,53.0,44.0,54.0,51.0,54.0,53.0,52.0,53.0,58.0,48.0,57.0,52.0,45.0,51.0,54.0,53.0,63.0,50.0,52.0,55.0,55.0,52.0
132,45.0,47.0,39.0,48.0,47.0,49.0,47.0,46.0,50.0,47.0,44.0,48.0,48.0,42.0,53.0,49.0,50.0,39.0,44.0,48.0,46.0,45.0,51.0
133,51.0,48.0,49.0,48.0,47.0,50.0,47.0,49.0,49.0,49.0,50.0,49.0,51.0,50.0,52.0,50.0,51.0,41.0,50.0,48.0,47.0,45.0,52.0
134,58.0,54.0,57.0,55.0,53.0,51.0,53.0,56.0,53.0,54.0,57.0,52.0,55.0,56.0,54.0,55.0,56.0,52.0,55.0,52.0,52.0,53.0,54.0
135,50.0,55.0,50.0,54.0,53.0,55.0,53.0,51.0,52.0,53.0,52.0,54.0,52.0,52.0,50.0,54.0,55.0,57.0,51.0,55.0,58.0,54.0,51.0
136,48.0,47.0,43.0,44.0,47.0,48.0,50.0,47.0,48.0,49.0,46.0,48.0,47.0,45.0,53.0,49.0,48.0,45.0,46.0,47.0,50.0,48.0,54.0
137,57.0,48.0,53.0,48.0,49.0,51.0,52.0,54.0,52.0,48.0,53.0,49.0,51.0,53.0,52.0,50.0,52.0,43.0,54.0,50.0,46.0,49.0,53.0
138,51.0,54.0,50.0,53.0,52.0,55.0,55.0,51.0,52.0,54.0,52.0,54.0,54.0,51.0,50.0,56.0,55.0,58.0,49.0,55.0,58.0,54.0,51.0
139,48.0,50.0,44.0,50.0,52.0,48.0,52.0,47.0,49.0,51.0,45.0,48.0,50.0,48.0,51.0,51.0,50.0,47.0,47.0,49.0,49.0,48.0,55.0
140,54.0,53.0,53.0,51.0,52.0,54.0,54.0,51.0,54.0,50.0,55.0,50.0,51.0,53.0,53.0,51.0,54.0,44.0,54.0,51.0,47.0,49.0,53.0
141,51.0,53.0,48.0,54.0,53.0,53.0,54.0,54.0,53.0,56.0,53.0,55.0,53.0,54.0,51.0,55.0,55.0,57.0,50.0,56.0,56.0,51.0,52.0
142,48.0,49.0,45.0,48.0,51.0,51.0,49.0,49.0,47.0,50.0,49.0,50.0,50.0,48.0,50.0,51.0,49.0,48.0,47.0,51.0,52.0,50.0,53.0
