,event_0,event_1,event_2,event_3,event_4,event_6,event_7,event_8,event_10,event_11,event_12,event_13,event_14,event_15,event_17,event_19,event_20,event_21,event_22,event_23,event_24,event_25,event_27,event_28,event_29,event_30,event_31,event_32,event_33,event_34,event_35,event_36,event_37,event_38,event_39,event_41,event_42,event_43,event_44,event_45,event_46,event_47,event_48,event_49,event_51,event_52,event_53,event_54,event_55,event_56,event_57,event_58,event_59,event_60,event_61,event_62,event_63,event_64,event_65,event_66,event_67,event_68,event_69,event_70,event_71,event_72,event_73,event_74,event_75,event_76,event_77,event_78,event_79,event_80,event_81,event_82,event_83,event_84,event_85,event_86,event_88,event_89,event_90,event_92,event_93,event_94,event_95,event_96,event_99
0,0.8,0.8,0.8,0.0,0.0,2.4000000000000004,1.6,0.0,0.8,0.0,0.8,0.8,0.0,-0.8,0.0,0.0,-0.8,0.8,1.6,1.6,1.6,0.0,0.8,-0.8,0.0,0.8,0.0,1.6,0.0,-1.6,0.0,0.8,0.0,0.8,1.6,0.0,1.6,0.8,0.0,0.0,0.8,0.8,0.0,0.8,1.6,-0.8,-0.8,0.8,-0.8,-1.6,-0.8,0.8,0.0,0.8,-1.6,0.0,0.8,1.6,0.8,0.8,1.6,0.8,0.0,0.8,0.8,0.0,0.8,0.8,0.0,1.6,0.0,0.0,0.8,0.8,1.6,0.0,-0.8,-1.6,0.8,0.8,0.8,0.8,0.8,0.0,1.6,-0.8,1.6,0.8,0.8
1,0.8,0.0,-1.6,0.0,0.8,0.8,-0.8,1.6,1.6,0.0,2.4000000000000004,0.8,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.0,0.8,0.8,-1.6,0.8,0.8,0.8,-0.8,-0.8,0.8,2.4000000000000004,-0.8,0.8,0.0,-0.8,-1.6,0.0,0.8,-0.8,0.0,0.8,-0.8,0.8,0.0,-0.8,1.6,0.0,0.8,0.8,2.4000000000000004,0.0,1.6,-0.8,0.0,0.0,0.8,-0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.8,0.0,-0.8,0.8,0.0,0.0,-0.8,0.8,0.0,1.6,0.8,0.8,0.0,0.8,-0.8,0.0,0.8,0.0,0.8,0.0,-0.8,0.0,-0.8,0.8,0.8,0.0,-0.8
2,0.0,0.8,-0.8,0.8,0.8,0.8,0.0,0.0,2.4000000000000004,-0.8,0.0,0.0,0.0,-0.8,0.0,-0.8,0.8,0.0,0.0,0.0,1.6,1.6,0.8,0.8,-0.8,0.8,-0.8,-0.8,0.8,0.8,0.0,-0.8,0.0,0.8,0.0,1.6,0.8,0.0,0.0,0.0,-1.6,0.8,0.0,0.0,0.8,0.8,-0.8,0.8,-0.8,-0.8,-0.8,1.6,0.0,0.0,0.0,-0.8,1.6,2.4000000000000004,0.8,-0.8,0.0,0.0,0.0,0.0,1.6,0.8,0.0,0.0,0.0,0.0,-0.8,0.0,0.8,2.4000000000000004,0.0,0.8,0.0,0.8,-0.8,0.0,0.0,0.0,0.8,0.0,1.6,1.6,-1.6,0.8,1.6
3,0.0,0.8,-1.6,0.0,0.0,1.6,0.0,0.8,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.8,2.4000000000000004,1.6,1.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.8,-3.2,-1.6,-0.8,0.0,0.0,0.8,-0.8,0.8,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,-0.8,0.8,1.6,-0.8,0.0,0.8,0.0,0.0,0.8,0.8,1.6,-0.8,0.8,0.0,0.0,0.0,0.0,0.0,-0.8,0.8,0.8,-0.8,0.0,-0.8,0.0,1.6,-0.8,0.0,0.0,-1.6,0.0,-0.8,0.0,1.6,2.4000000000000004,-0.8,0.0,0.8,0.0,0.0,0.8,-0.8,0.8,0.0,0.8
4,0.0,0.0,0.8,0.8,0.8,1.6,0.0,0.8,1.6,0.8,1.6,0.0,0.8,0.0,0.8,-0.8,0.8,0.8,0.8,0.8,0.8,1.6,0.8,0.8,-0.8,-0.8,1.6,0.8,1.6,1.6,0.8,0.8,0.0,-0.8,1.6,-0.8,0.8,0.0,-0.8,0.0,1.6,0.0,0.8,-0.8,0.0,0.0,0.8,0.0,1.6,0.0,-0.8,0.8,-0.8,0.8,0.0,0.0,0.8,0.8,1.6,0.0,-0.8,1.6,-0.8,0.0,0.8,0.8,1.6,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,2.4000000000000004,0.8,0.0,0.8,0.8,1.6,0.0,0.8,-0.8,0.0,0.8,2.4000000000000004,0.8
5,0.8,0.8,0.8,0.0,-0.8,0.0,0.8,-0.8,0.8,0.8,1.6,1.6,-0.8,0.0,1.6,0.8,0.8,0.0,0.0,0.0,0.0,-0.8,0.8,0.8,0.8,0.0,0.0,0.8,-0.8,2.4000000000000004,0.8,0.0,-0.8,0.8,0.8,0.0,-0.8,1.6,0.0,0.0,0.0,-0.8,0.0,0.0,-1.6,0.0,0.0,1.6,0.0,-1.6,0.0,0.0,0.8,0.8,0.8,0.0,0.0,0.0,-0.8,0.0,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.8,0.0,1.6,0.0,0.8,-0.8,0.8,-0.8,1.6,0.8,0.0,0.8,0.8,0.8,1.6,0.8,0.0,0.8,0.8,0.8,-0.8,-0.8
6,1.6,0.0,0.0,2.4000000000000004,0.0,0.8,-0.8,1.6,0.8,0.8,-0.8,1.6,-0.8,0.8,0.8,0.0,0.8,-0.8,0.0,1.6,-1.6,0.0,-1.6,-0.8,1.6,0.8,0.0,0.8,0.8,-4.0,0.0,0.8,0.0,0.8,-0.8,-0.8,1.6,0.8,0.0,-0.8,0.8,0.0,0.0,-0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.8,-0.8,-0.8,0.0,0.8,0.0,1.6,-0.8,-0.8,1.6,0.0,0.8,0.8,-0.8,-0.8,0.0,0.0,0.8,0.8,-0.8,0.0,0.8,-0.8,0.0,-0.8,0.0,1.6,0.8,-1.6,0.8,0.0,0.0,-0.8,0.0,0.0,1.6,0.0,0.0,0.0
7,0.8,-0.8,1.6,0.0,0.0,0.0,-0.8,-0.8,-0.8,0.0,-0.8,0.8,0.0,1.6,0.0,0.8,1.6,1.6,0.8,-0.8,0.8,0.0,0.8,0.0,0.0,0.8,1.6,0.0,0.8,0.8,-0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.0,0.0,0.8,-0.8,0.0,0.8,-0.8,1.6,0.8,0.0,-1.6,0.0,0.0,0.8,-0.8,0.8,0.8,1.6,0.8,0.8,0.8,0.8,-0.8,-0.8,0.0,1.6,0.8,0.0,1.6,0.8,0.0,0.0,-0.8,0.0,0.8,1.6,0.0,-0.8,-0.8,0.0,0.0,0.8,0.0,1.6,0.0,0.0,0.8,0.8,0.8
8,-0.8,-9.6,-1.6,-1.6,-8.0,-3.2,-1.6,0.8,0.8,-9.6,-16.8,0.0,-2.4000000000000004,-1.6,0.8,-2.4000000000000004,-4.800000000000001,-0.8,-1.6,-4.800000000000001,-8.0,-8.0,-25.6,-7.200000000000001,-8.0,-11.2,-8.0,-2.4000000000000004,-0.8,-1.6,-1.6,-17.6,-3.2,-1.6,-17.6,-1.6,-1.6,-8.0,-2.4000000000000004,-1.6,-0.8,-16.8,-5.6,-8.0,-6.4,-4.0,-4.0,-7.200000000000001,-0.8,-4.0,-12.8,-9.6,-4.800000000000001,-19.200000000000003,-5.6,-8.0,-2.4000000000000004,-13.6,0.0,-2.4000000000000004,-15.2,-2.4000000000000004,0.0,-2.4000000000000004,-4.800000000000001,-1.6,-8.8,-3.2,-8.8,-20.0,-6.4,-16.0,-14.400000000000002,-6.4,-9.6,-0.8,-24.0,-0.8,-4.0,-11.2,0.8,-2.4000000000000004,-2.4000000000000004,-6.4,-6.4,-4.0,-0.8,-2.4000000000000004,-15.2
9,-16.8,-66.4,-24.800000000000004,-28.800000000000004,-70.4,-36.8,-44.8,-24.0,-11.2,-69.60000000000001,-52.00000000000001,-31.200000000000003,-20.800000000000004,-16.8,-11.2,-40.8,-28.0,-17.6,-41.60000000000001,-48.8,-65.60000000000001,-24.0,-131.20000000000002,-49.60000000000001,-33.6,-84.8,-50.4,-20.800000000000004,-20.800000000000004,-49.60000000000001,-15.2,-62.400000000000006,-28.800000000000004,-10.400000000000002,-72.8,-12.8,-24.800000000000004,-65.60000000000001,-20.800000000000004,-23.200000000000003,-25.6,-80.0,-28.800000000000004,-54.400000000000006,-31.200000000000003,-33.6,-25.6,-73.6,-16.0,-38.400000000000006,-68.8,-84.0,-52.00000000000001,-100.8,-28.0,-33.6,-43.2,-83.20000000000002,-10.400000000000002,-10.400000000000002,-70.4,-68.0,-19.200000000000003,-40.0,-28.800000000000004,-15.2,-55.2,-59.2,-53.6,-61.6,-51.2,-104.0,-44.00000000000001,-17.6,-62.400000000000006,-38.400000000000006,-92.0,-22.4,-44.00000000000001,-76.80000000000001,-8.0,-20.800000000000004,-26.4,-47.2,-40.8,-29.6,-12.8,-29.6,-68.8
10,-45.6,-94.4,-43.2,-85.60000000000001,-141.6,-74.4,-134.4,-76.0,-40.0,-103.2,-55.2,-80.80000000000001,-32.800000000000004,-28.800000000000004,-28.0,-88.8,-47.2,-40.8,-117.6,-89.6,-105.6,-26.4,-141.6,-68.8,-38.400000000000006,-108.0,-82.4,-28.0,-78.39999999999999,-111.2,-23.200000000000003,-66.4,-68.0,-19.200000000000003,-73.6,-28.800000000000004,-78.39999999999999,-118.4,-36.00000000000001,-64.0,-80.80000000000001,-105.6,-46.400000000000006,-75.2,-36.8,-60.00000000000001,-36.00000000000001,-125.60000000000002,-44.00000000000001,-77.60000000000001,-91.2,-141.6,-96.8,-138.4,-36.00000000000001,-37.6,-108.0,-127.2,-28.800000000000004,-24.800000000000004,-82.4,-141.6,-64.8,-124.0,-40.8,-33.6,-72.8,-141.6,-73.6,-62.400000000000006,-89.6,-141.6,-49.60000000000001,-19.200000000000003,-97.6,-107.2,-95.2,-45.6,-74.4,-104.0,-23.200000000000003,-43.2,-64.8,-82.4,-66.4,-38.400000000000006,-22.4,-64.8,-73.6
11,-38.400000000000006,-63.2,-32.0,-71.2,-109.6,-56.8,-124.8,-71.2,-37.6,-61.6,-28.0,-72.00000000000001,-19.200000000000003,-17.6,-24.0,-71.2,-35.2,-32.0,-108.8,-65.60000000000001,-73.6,-13.6,-90.4,-40.0,-22.4,-52.8,-57.60000000000001,-16.0,-77.60000000000001,-88.8,-14.400000000000002,-35.2,-56.0,-17.6,-38.400000000000006,-24.800000000000004,-76.0,-79.2,-25.6,-59.2,-80.0,-67.2,-32.0,-47.2,-22.4,-42.4,-23.200000000000003,-87.2,-36.00000000000001,-64.0,-55.2,-121.6,-64.0,-86.4,-21.6,-22.4,-89.6,-82.4,-28.800000000000004,-20.800000000000004,-43.2,-141.6,-64.0,-114.4,-26.4,-26.4,-38.400000000000006,-141.6,-44.8,-32.0,-68.0,-96.0,-26.4,-10.400000000000002,-64.0,-94.4,-51.2,-34.4,-49.60000000000001,-64.8,-20.800000000000004,-32.0,-55.2,-59.2,-47.2,-23.200000000000003,-17.6,-52.8,-40.8
12,-17.6,-28.800000000000004,-13.6,-32.800000000000004,-47.2,-27.200000000000003,-58.4,-35.2,-20.800000000000004,-20.800000000000004,-14.400000000000002,-35.2,-7.200000000000001,-7.200000000000001,-10.400000000000002,-30.4,-17.6,-13.6,-51.2,-28.800000000000004,-29.6,-4.0,-36.00000000000001,-18.4,-10.400000000000002,-16.0,-27.200000000000003,-7.200000000000001,-40.8,-37.6,-2.4000000000000004,-14.400000000000002,-28.800000000000004,-7.200000000000001,-16.8,-10.400000000000002,-36.00000000000001,-32.0,-13.6,-28.0,-41.60000000000001,-26.4,-12.8,-18.4,-7.200000000000001,-18.4,-10.400000000000002,-32.800000000000004,-18.4,-31.200000000000003,-20.0,-51.2,-23.200000000000003,-35.2,-10.400000000000002,-10.400000000000002,-40.8,-34.4,-15.2,-8.0,-14.400000000000002,-93.6,-32.800000000000004,-49.60000000000001,-11.2,-11.2,-11.2,-69.60000000000001,-16.8,-12.0,-32.800000000000004,-38.400000000000006,-9.6,-4.0,-25.6,-43.2,-19.200000000000003,-16.8,-22.4,-26.4,-12.0,-13.6,-28.800000000000004,-24.0,-20.800000000000004,-10.400000000000002,-7.200000000000001,-24.0,-15.2
13,-5.6,-9.6,-7.200000000000001,-12.0,-19.200000000000003,-14.400000000000002,-21.6,-14.400000000000002,-12.0,-9.6,-8.0,-14.400000000000002,-0.8,-4.800000000000001,-4.0,-9.6,-8.0,-4.800000000000001,-20.0,-15.2,-16.0,-4.0,-16.0,-9.6,-4.0,-8.0,-13.6,-2.4000000000000004,-14.400000000000002,-14.400000000000002,-2.4000000000000004,-7.200000000000001,-16.8,-2.4000000000000004,-8.8,-4.800000000000001,-11.2,-9.6,-6.4,-10.400000000000002,-14.400000000000002,-12.0,-4.800000000000001,-11.2,-3.2,-7.200000000000001,-3.2,-13.6,-8.0,-16.8,-10.400000000000002,-20.800000000000004,-12.8,-16.0,-6.4,-6.4,-17.6,-12.8,-4.0,-2.4000000000000004,-5.6,-40.0,-15.2,-16.0,-4.800000000000001,-4.800000000000001,-4.800000000000001,-28.800000000000004,-8.8,-8.8,-14.400000000000002,-14.400000000000002,-5.6,-0.8,-11.2,-16.0,-11.2,-4.800000000000001,-7.200000000000001,-12.0,-5.6,-6.4,-13.6,-10.400000000000002,-8.8,-4.0,-2.4000000000000004,-10.400000000000002,-10.400000000000002
14,-0.8,-4.800000000000001,-2.4000000000000004,-4.800000000000001,-9.6,-7.200000000000001,-14.400000000000002,-6.4,-4.800000000000001,-4.0,-2.4000000000000004,-8.8,-1.6,-1.6,-4.0,-4.800000000000001,-4.800000000000001,-2.4000000000000004,-8.8,-5.6,-7.200000000000001,-0.8,-8.0,-6.4,-1.6,-4.800000000000001,-2.4000000000000004,-1.6,-8.0,-11.2,-0.8,-2.4000000000000004,-7.200000000000001,0.0,-3.2,-0.8,-7.200000000000001,-5.6,-5.6,-5.6,-6.4,-4.800000000000001,-2.4000000000000004,-4.0,-2.4000000000000004,-2.4000000000000004,-4.0,-8.0,-6.4,-8.8,-8.8,-12.0,-6.4,-9.6,-1.6,-1.6,-8.8,-5.6,-2.4000000000000004,-1.6,-3.2,-22.4,-9.6,-8.8,-2.4000000000000004,-3.2,-3.2,-16.8,-4.0,-4.800000000000001,-4.800000000000001,-8.0,-3.2,0.0,-3.2,-9.6,-3.2,-3.2,-4.800000000000001,-3.2,-3.2,-3.2,-8.0,-4.0,-4.800000000000001,0.0,-2.4000000000000004,-3.2,-4.0
15,-1.6,-1.6,-2.4000000000000004,-0.8,-4.0,-1.6,-4.800000000000001,-4.0,-4.0,-1.6,-0.8,-2.4000000000000004,-2.4000000000000004,0.8,-2.4000000000000004,-0.8,-1.6,-1.6,-1.6,-0.8,-2.4000000000000004,-0.8,-3.2,0.8,0.0,-2.4000000000000004,-0.8,-0.8,-4.0,-6.4,0.0,-3.2,-0.8,2.4000000000000004,-1.6,1.6,-4.0,-1.6,-3.2,-1.6,-4.0,-4.800000000000001,-0.8,-2.4000000000000004,-1.6,-1.6,0.0,-3.2,-1.6,-4.0,1.6,-4.0,-1.6,-2.4000000000000004,-0.8,-2.4000000000000004,-3.2,-3.2,-0.8,0.0,0.0,-8.8,-3.2,-3.2,-0.8,0.8,0.0,-8.0,-0.8,-2.4000000000000004,-1.6,-1.6,-0.8,-0.8,0.8,-6.4,-3.2,-0.8,0.8,-2.4000000000000004,-0.8,0.0,-4.0,-0.8,0.0,0.0,-0.8,-1.6,-0.8
16,0.0,-4.800000000000001,-1.6,-0.8,-4.0,-0.8,-0.8,-0.8,0.0,-2.4000000000000004,-2.4000000000000004,-0.8,-0.8,0.0,-1.6,-4.0,-1.6,-2.4000000000000004,-3.2,-1.6,-3.2,0.0,-8.0,-2.4000000000000004,-1.6,-6.4,-2.4000000000000004,-0.8,0.8,-2.4000000000000004,-2.4000000000000004,-4.800000000000001,-1.6,-0.8,-5.6,-1.6,-3.2,-5.6,-2.4000000000000004,1.6,-0.8,-8.0,-2.4000000000000004,-3.2,-1.6,-1.6,-1.6,-4.800000000000001,0.0,-2.4000000000000004,-2.4000000000000004,-4.0,-3.2,-4.800000000000001,-1.6,-1.6,-3.2,-5.6,0.0,1.6,-4.0,-4.0,0.0,-1.6,-1.6,-0.8,-0.8,-3.2,-3.2,-4.800000000000001,-4.0,-4.0,-3.2,0.0,-3.2,-3.2,-5.6,0.8,-2.4000000000000004,-4.800000000000001,1.6,0.0,-1.6,-4.800000000000001,-3.2,-1.6,-1.6,0.0,-4.800000000000001
