,peak_X0,peak_Y0
event_0,103.0,23.200000000000003
event_1,104.0,38.400000000000006
event_2,104.0,41.60000000000001
event_3,104.0,76.80000000000001
event_4,104.0,45.6
event_5,103.0,23.200000000000003
event_7,104.0,92.0
event_8,105.0,141.6
event_9,104.0,56.8
event_10,104.0,88.8
event_11,105.0,128.8
event_12,104.0,58.4
event_14,104.0,91.2
event_15,105.0,127.2
event_16,105.0,77.60000000000001
event_17,104.0,28.0
event_18,103.0,23.200000000000003
event_19,104.0,36.00000000000001
event_20,104.0,33.6
event_21,104.0,96.8
event_22,103.0,35.2
event_23,105.0,112.0
event_24,104.0,51.2
event_25,103.0,24.0
event_26,104.0,68.8
event_27,104.0,61.6
event_28,104.0,37.6
event_29,105.0,96.8
event_30,103.0,20.800000000000004
event_31,103.0,23.200000000000003
event_32,104.0,95.2
event_33,103.0,36.8
event_34,104.0,63.2
event_35,103.0,20.800000000000004
event_36,104.0,141.6
event_37,104.0,44.8
event_38,104.0,72.8
event_39,104.0,44.00000000000001
event_40,104.0,139.20000000000002
event_41,104.0,135.20000000000002
event_42,104.0,76.0
event_44,104.0,32.0
event_45,104.0,141.6
event_46,104.0,140.8
event_48,104.0,141.6
event_49,104.0,106.4
event_51,104.0,66.4
event_52,105.0,120.8
event_53,105.0,141.6
event_54,104.0,109.6
event_55,104.0,141.6
event_56,104.0,96.0
event_57,104.0,64.0
event_58,105.0,92.0
event_59,104.0,85.60000000000001
event_60,104.0,141.6
event_61,104.0,43.2
event_62,103.0,29.6
event_63,104.0,21.6
event_65,104.0,79.2
event_66,104.0,118.4
event_67,105.0,121.6
event_70,105.0,89.6
event_72,104.0,54.400000000000006
event_73,103.0,21.6
event_74,105.0,83.20000000000002
event_75,105.0,97.6
event_76,104.0,28.800000000000004
event_77,104.0,69.60000000000001
event_78,104.0,25.6
event_79,104.0,129.6
event_80,104.0,129.6
event_81,104.0,58.4
event_82,103.0,22.4
event_83,104.0,45.6
event_84,104.0,40.0
event_85,104.0,104.8
event_86,103.0,24.800000000000004
event_87,103.0,31.200000000000003
event_88,105.0,109.6
event_89,105.0,138.4
event_90,104.0,83.20000000000002
event_91,104.0,91.2
event_92,104.0,113.6
event_93,105.0,141.6
event_94,104.0,46.400000000000006
event_95,104.0,39.2
event_96,104.0,61.6
event_97,104.0,41.60000000000001
event_99,103.0,35.2
