,peak_X0,peak_Y0
event_0,103.0,24.0
event_1,105.0,81.60000000000001
event_2,104.0,81.60000000000001
event_4,104.0,99.20000000000002
event_5,104.0,125.60000000000002
event_8,104.0,101.6
event_10,104.0,80.0
event_11,103.0,22.4
event_12,104.0,141.6
event_13,103.0,31.200000000000003
event_15,104.0,65.60000000000001
event_16,105.0,141.6
event_18,104.0,76.80000000000001
event_19,105.0,52.00000000000001
event_20,104.0,54.400000000000006
event_21,104.0,73.6
event_22,103.0,20.0
event_23,104.0,34.4
event_25,104.0,96.0
event_26,104.0,40.0
event_27,103.0,27.200000000000003
event_28,104.0,51.2
event_29,103.0,20.0
event_30,104.0,108.8
event_32,105.0,62.400000000000006
event_33,103.0,20.0
event_35,103.0,20.0
event_36,104.0,57.60000000000001
event_37,104.0,59.2
event_40,104.0,52.00000000000001
event_41,104.0,104.0
event_42,103.0,20.800000000000004
event_43,104.0,57.60000000000001
event_44,104.0,92.0
event_46,105.0,76.0
event_47,103.0,23.200000000000003
event_48,104.0,141.6
event_49,104.0,95.2
event_50,103.0,33.6
event_51,104.0,63.2
event_53,103.0,34.4
event_54,104.0,38.400000000000006
event_55,104.0,42.4
event_56,104.0,29.6
event_57,104.0,133.6
event_58,104.0,39.2
event_59,104.0,74.4
event_60,105.0,100.8
event_61,105.0,56.0
event_62,104.0,75.2
event_63,104.0,46.400000000000006
event_64,104.0,84.0
event_65,104.0,76.0
event_67,104.0,67.2
event_69,104.0,48.0
event_70,105.0,56.8
event_71,104.0,108.8
event_72,104.0,107.2
event_74,104.0,72.00000000000001
event_75,104.0,64.8
event_77,103.0,31.200000000000003
event_78,104.0,60.8
event_79,104.0,117.6
event_81,104.0,108.0
event_82,104.0,70.4
event_83,103.0,22.4
event_84,105.0,88.8
event_85,103.0,29.6
event_86,104.0,80.80000000000001
event_87,104.0,80.80000000000001
event_88,104.0,122.4
event_89,104.0,87.2
event_91,104.0,58.4
event_92,104.0,67.2
event_93,104.0,44.8
event_95,104.0,96.0
event_96,104.0,141.6
event_97,104.0,80.80000000000001
event_98,104.0,53.6
event_99,104.0,56.8
