,peak_X0,peak_Y0
event_0,103.0,-58.800000000000004
event_1,104.0,-59.6
event_2,103.0,-52.400000000000006
event_3,103.0,-67.2
event_4,104.0,-70.8
event_5,103.0,-70.8
event_6,103.0,-70.8
event_7,104.0,-70.8
event_8,103.0,-50.0
event_9,103.0,-48.800000000000004
event_10,104.0,-70.8
event_11,103.0,-70.8
event_12,104.0,-70.8
event_13,104.0,-68.0
event_14,103.0,-70.8
event_15,103.0,-62.400000000000006
event_16,104.0,-55.2
event_17,104.0,-70.4
event_18,104.0,-70.8
event_19,103.0,-48.800000000000004
event_20,103.0,-68.8
event_21,103.0,-42.4
event_22,105.0,-70.8
event_23,104.0,-70.8
event_24,104.0,-70.8
event_25,103.0,-70.8
event_26,104.0,-70.8
event_27,105.0,-70.8
event_28,104.0,-70.8
event_29,103.0,-70.8
event_30,103.0,-52.400000000000006
event_31,104.0,-60.00000000000001
event_32,104.0,-70.8
event_33,104.0,-70.8
event_34,103.0,-70.8
event_35,103.0,-70.8
event_36,103.0,-70.8
event_37,103.0,-70.8
event_38,103.0,-70.8
event_39,104.0,-70.8
event_40,105.0,-70.8
event_41,103.0,-64.8
event_42,104.0,-70.8
event_43,104.0,-52.400000000000006
event_44,103.0,-58.4
event_45,103.0,-46.400000000000006
event_46,104.0,-70.8
event_47,103.0,-70.8
event_48,104.0,-70.8
event_49,103.0,-58.0
event_50,104.0,-70.8
event_51,103.0,-54.800000000000004
event_52,104.0,-70.8
event_53,104.0,-70.8
event_54,103.0,-55.6
event_55,103.0,-49.60000000000001
event_56,104.0,-70.8
event_57,104.0,-70.8
event_58,103.0,-44.4
event_59,104.0,-70.8
event_60,105.0,-70.8
event_61,104.0,-64.8
event_62,103.0,-52.400000000000006
event_63,104.0,-70.8
event_64,104.0,-70.8
event_65,104.0,-70.8
event_66,104.0,-70.8
event_67,104.0,-70.8
event_68,103.0,-70.8
event_69,104.0,-70.8
event_70,104.0,-70.8
event_71,104.0,-70.8
event_72,103.0,-70.8
event_73,103.0,-46.0
event_74,104.0,-51.6
event_75,104.0,-70.8
event_76,104.0,-70.8
event_77,103.0,-70.8
event_78,103.0,-65.60000000000001
event_79,104.0,-70.8
event_80,104.0,-70.8
event_81,104.0,-70.8
event_82,104.0,-70.8
event_83,104.0,-66.4
event_84,104.0,-70.8
event_85,104.0,-64.4
event_86,104.0,-70.8
event_87,104.0,-52.8
event_88,103.0,-70.8
event_89,104.0,-68.0
event_90,104.0,-70.8
event_91,103.0,-70.8
event_92,104.0,-70.8
event_93,104.0,-70.8
event_94,104.0,-70.8
event_95,103.0,-66.8
event_96,104.0,-70.8
event_97,104.0,-70.8
event_98,104.0,-70.4
event_99,104.0,-70.8
event_100,104.0,-70.8
event_101,104.0,-70.8
event_102,104.0,-70.8
event_103,104.0,-54.400000000000006
event_104,103.0,-44.00000000000001
event_105,104.0,-70.8
event_106,103.0,-43.2
event_107,105.0,-70.8
event_108,104.0,-70.8
event_109,104.0,-70.8
event_110,104.0,-70.8
event_111,103.0,-44.00000000000001
event_112,104.0,-70.8
event_113,104.0,-70.8
event_114,104.0,-70.8
event_115,104.0,-70.8
event_116,103.0,-70.8
event_117,103.0,-63.2
event_118,104.0,-60.400000000000006
event_119,104.0,-67.2
event_120,104.0,-70.8
event_121,103.0,-70.8
event_122,103.0,-47.6
event_123,103.0,-58.800000000000004
event_124,104.0,-70.8
event_125,104.0,-70.8
event_126,104.0,-66.0
event_127,103.0,-70.8
event_128,104.0,-68.0
event_129,105.0,-70.8
event_130,104.0,-70.8
event_131,104.0,-70.8
event_132,103.0,-67.60000000000001
event_133,104.0,-70.8
event_134,104.0,-70.8
event_135,103.0,-70.8
event_136,104.0,-66.0
event_137,104.0,-70.8
event_138,104.0,-70.8
event_139,104.0,-70.8
event_140,104.0,-55.2
event_141,103.0,-69.60000000000001
event_142,104.0,-70.8
event_143,104.0,-70.8
event_144,104.0,-70.8
event_145,103.0,-64.0
event_146,104.0,-70.8
event_147,104.0,-70.8
event_148,103.0,-70.8
event_149,103.0,-45.2
event_150,104.0,-70.8
event_151,105.0,-70.8
event_152,104.0,-69.2
event_153,104.0,-70.8
event_154,104.0,-64.8
