,energy (MeV)
event_0,-45.02701024756442
event_1,-45.02892169046872
event_2,-45.04032663313103
event_3,-45.063964810380874
event_4,-45.05963220646446
event_5,-45.057019901161915
event_6,-45.0382240459363
event_7,-45.03268086151384
event_8,-45.025417378477506
event_9,-45.005092368928445
event_10,-45.05735218662704
event_11,-45.02625938205043
event_12,-45.022500211005315
event_13,-45.04785868686901
event_14,-45.01160498645081
event_15,-45.05442130750712
event_16,-45.03575288180845
event_17,-45.02307364387661
event_18,-45.041805784338734
event_19,-45.05015241835418
event_20,-45.06907570310675
event_21,-45.01064926499866
event_22,-45.045947243964726
event_23,-45.0626405119956
event_24,-45.04970641500984
event_25,-45.0151730132055
event_26,-45.03607145562584
event_27,-45.0470941097073
event_28,-45.048750693557686
event_29,-45.043398653425655
event_30,-45.06085649861826
event_31,-45.02721510350259
event_32,-45.038428901874475
event_33,-45.029763694041655
event_34,-45.03970319714401
event_35,-45.02562223441568
event_36,-45.04384465676999
event_37,-45.02963626451469
event_38,-45.04371722724303
event_39,-45.01205098979515
event_40,-45.041805784338734
event_41,-45.025877093469575
event_42,-45.041359780994405
event_43,-45.01084040928909
event_44,-45.06557139111553
event_45,-45.0072723825344
event_46,-45.00204777192932
event_47,-45.03492458988325
event_48,-45.007336097297866
event_49,-45.045756099674286
event_50,-45.03791918376666
event_51,-45.00485122152228
event_52,-45.00771838587874
event_53,-45.043398653425655
event_54,-45.0681199816546
event_55,-45.00625294631877
event_56,-45.02594080823306
event_57,-45.05493102561493
event_58,-45.028871687352975
event_59,-45.03938462332662
event_60,-45.00937496972914
event_61,-45.045437525856904
event_62,-45.02371079151138
event_63,-45.00937496972914
event_64,-45.01804017756194
event_65,-45.05244614983934
event_66,-45.02052505333754
event_67,-45.03167513694596
event_68,-45.03192999599985
event_69,-45.04524638156647
event_70,-45.040276630015306
event_71,-45.00580694297444
event_72,-45.00937496972914
event_73,-45.029062831643415
event_74,-45.04696668018035
event_75,-45.02753367731998
event_76,-45.05512216990536
event_77,-45.07264372986143
event_78,-45.051044425042846
event_79,-45.044163230587365
event_80,-45.075447179454414
event_81,-45.00523351010315
event_82,-45.03301314697895
event_83,-45.05219129078543
event_84,-45.06085649861826
event_85,-45.05231872031239
event_86,-45.04613838825515
event_87,-45.02141706002622
event_88,-45.035434307991075
event_89,-45.04123235146745
event_90,-45.00994840260042
event_91,-45.03568916704498
event_92,-45.02759739208344
event_93,-45.04040405954225
event_94,-45.0670368306755
event_95,-45.02925397593384
event_96,-45.03307686174244
event_97,-45.02351964722094
event_98,-45.00338578196232
event_99,-45.00306720814494
event_100,-45.02281878482269
event_101,-45.040722633359636
event_102,-45.05263729412977
event_103,-45.05059842169851
event_104,-45.030846845020754
event_105,-45.020206479520155
event_106,-45.017211885636755
event_107,-45.02759739208344
event_108,-45.00886525162132
event_109,-45.03817404282057
event_110,-45.076594045197
event_111,-45.02804339542777
event_112,-45.02995508511868
event_113,-45.03447883332552
event_114,-45.05639671196149
event_115,-45.02625962883703
event_116,-45.05792586628492
event_117,-45.022245598737996
event_118,-45.04104145396361
event_119,-45.011222944656545
event_120,-45.035179695723755
event_121,-45.006954055503606
event_122,-45.05174553422769
event_123,-45.05786215152145
event_124,-45.012178666108696
event_125,-45.030847091807345
event_126,-45.052318967098984
event_127,-45.03658142052025
event_128,-45.044036047847015
event_129,-45.00937521651572
event_130,-45.01593783715382
event_131,-45.023902182588394
event_132,-45.0462660645687
event_133,-45.007208914557516
event_134,-45.04027687680189
event_135,-45.03103823609778
event_136,-45.01071322654874
event_137,-45.063023047363046
event_138,-45.05161810470074
event_139,-45.04409976261049
event_140,-45.05786215152145
event_141,-45.07404570144451
event_142,-45.04977037655991
event_143,-45.05601442338062
event_144,-45.055886993853676
event_145,-45.06053817158746
event_146,-45.004978897835834
event_147,-45.04320775592182
event_148,-45.02919050795696
event_149,-45.04237946399662
event_150,-45.02447561545968
event_151,-45.0151732599921
event_152,-45.0514269604103
event_153,-45.021098732995426
event_154,-45.01064951178525
event_155,-45.005552330707125
event_156,-45.05741614817711
event_157,-45.049324373215576
event_158,-45.06136646351267
event_159,-45.06321419165348
event_160,-45.02511276309445
event_161,-45.05448526905718
event_162,-45.017976709585064
event_163,-45.015428119046
event_164,-45.01001236415049
event_165,-45.01039465273135
event_166,-45.00829206553662
event_167,-45.039448584876695
event_168,-45.0184227129294
event_169,-45.003959461620205
event_170,-45.01689355860596
event_171,-45.009884934623535
event_172,-45.04613863504174
event_173,-45.06416991310563
event_174,-45.02555876643879
event_175,-45.0326311051847
event_176,-45.08455863741816
event_177,-45.01931471961808
event_178,-45.02371103829796
event_179,-45.06544420837517
event_180,-45.01746699147726
event_181,-45.039830873457554
event_182,-45.012497239926084
event_183,-45.03345939710989
event_184,-45.030018799882164
event_185,-45.03887515200541
event_186,-45.02861707508566
event_187,-45.0339691152177
event_188,-45.02345617924406
event_189,-45.02708792076222
event_190,-45.046329779332176
event_191,-45.01186009229132
event_192,-45.03479740714291
event_193,-45.040786594909704
event_194,-45.01370782043213
event_195,-45.00478775354541
event_196,-45.0096937903331
event_197,-45.0418697458888
event_198,-45.00740005884794
event_199,-45.06582649695603
event_200,-45.03760085673587
event_201,-45.05244639662593
event_202,-45.022436743028436
event_203,-45.01746699147726
event_204,-45.020143011543276
event_205,-45.03460626285247
event_206,-45.007272629320994
event_207,-45.03626284670286
event_208,-45.05238268186245
event_209,-45.007208914557516
event_210,-45.06608135600993
event_211,-45.042825467340954
event_212,-45.012784894468204
event_213,-45.01699006885766
event_214,-45.033301048307685
event_215,-45.03126217587642
event_216,-45.043622839990896
