,energy (MeV)
event_245,-45.00959915629437
event_246,-45.00768771339006
event_247,-45.05713036984795
event_248,-45.022087249935794
event_249,-45.007432854336166
event_250,-44.99813049886857
event_251,-45.06076211136611
event_252,-45.008834579132646
event_253,-45.00705056575531
event_254,-45.03368333688854
event_255,-45.03196303827467
event_256,-44.995518193566035
event_257,-44.99921364984769
event_258,-44.99730220694338
event_259,-45.048337732488164
event_260,-45.00533026714143
event_261,-45.03113474634947
event_262,-45.003227679946704
event_263,-45.01010887440218
event_264,-45.00061537464416
event_265,-44.99742963647033
event_266,-45.008834579132646
event_267,-45.01565205882465
event_268,-45.03731507840671
event_269,-44.99513590498517
event_270,-45.02036695132192
event_271,-45.026356139088726
event_272,-45.02011209226801
event_273,-44.99921364984769
event_274,-45.00335510947366
event_275,-45.01762721649242
event_276,-45.00169852562326
event_277,-45.003546253764085
event_278,-45.00628598859358
event_279,-45.02348897473228
event_280,-45.0289047296278
event_281,-45.0318993235112
event_282,-45.016161776932464
event_283,-45.03209046780162
event_284,-45.01374061592034
event_285,-45.02782157864869
event_286,-45.01125574014476
event_287,-45.02049438084888
event_288,-44.9988950760303
event_289,-45.02068552513931
event_290,-45.01074602203695
event_291,-45.00004194177287
event_292,-45.00838857578832
event_293,-45.01437776355512
event_294,-45.02947816249908
event_295,-45.01023630392913
event_296,-45.033301048307685
event_297,-45.069427319198944
event_298,-45.021131528483636
event_299,-45.039290236074486
event_300,-45.007496569099644
event_301,-45.03030645442428
event_302,-45.00666827717445
event_303,-45.02954187726256
event_304,-45.04623514529343
event_305,-45.004565689979714
event_306,-45.01979351845063
event_307,-44.99819421363205
event_308,-44.99641020025471
event_309,-44.99532704927561
event_310,-45.041647682323116
event_311,-45.02215096469928
event_312,-45.065795577680774
event_313,-45.00509276101931
event_314,-45.01401282790604
event_315,-45.00553876436365
event_316,-45.00840592872009
event_317,-45.00318131811501
event_318,-45.00592105294451
event_319,-45.018536576112886
event_320,-45.03325468647598
event_321,-45.00063272757594
event_322,-45.007705066321854
event_323,-45.01713485131639
event_324,-45.00095130139333
event_325,-44.99489839886304
event_326,-45.00904307635486
event_327,-44.994579825045655
event_328,-45.00445561338455
event_329,-45.02006573043632
event_330,-45.033700689820314
event_331,-45.03790586420977
event_332,-44.99974072088727
event_333,-45.01057223067831
event_334,-45.05166825312073
event_335,-44.998147851800354
event_336,-45.011782811184354
event_337,-45.004646757674976
event_338,-44.999549576596834
event_339,-44.9991035732525
event_340,-45.01191024071131
event_341,-45.02497176722402
event_342,-45.00330874764197
event_343,-44.999167288015975
event_344,-44.99872128467164
event_345,-45.06122546764223
event_346,-45.014777405067754
event_347,-45.01471369030429
event_348,-44.998147851800354
event_349,-45.00751392203142
event_350,-45.010699660205255
event_351,-45.0351024146168
event_352,-45.001461019501136
event_353,-45.0269469248918
event_354,-45.03650413941329
event_355,-44.99515325791694
event_356,-45.035548417961145
event_357,-45.02388861624492
event_358,-44.99610897936909
event_359,-44.99617269413257
event_360,-45.00343617716891
event_361,-45.03949873329668
event_362,-45.0062396267619
event_363,-45.000441583285514
event_364,-44.99674612700387
event_365,-45.00566619389059
event_366,-45.00222559666285
event_367,-45.008660787774005
event_368,-44.99738327463863
event_369,-45.01089080449569
event_370,-45.0062396267619
event_371,-45.00719534821405
event_372,-44.999485861833364
event_373,-45.0220408881041
event_374,-45.00133358997419
event_375,-45.00674934486971
event_376,-45.009489079699186
event_377,-45.05402569936937
event_378,-45.001461019501136
event_379,-45.04338533386876
event_380,-45.03433783745508
event_381,-45.01496854935819
event_382,-45.00228931142633
event_383,-45.016625133208585
event_384,-45.0124836735826
event_385,-45.00025043899508
event_386,-45.01273853263651
event_387,-45.01656141844511
event_388,-45.029113226849994
event_389,-45.01426768695994
event_390,-44.99559926126129
event_391,-45.00420075433063
event_392,-45.062818336729144
event_393,-45.00171587855505
event_394,-45.02089402236152
event_395,-44.99617269413257
event_396,-45.017708284187684
event_397,-45.04822765589299
event_398,-45.01503226412167
event_399,-44.998147851800354
event_400,-45.00630334152536
event_401,-45.03433783745508
event_402,-45.00553876436365
event_403,-45.002735314770675
event_404,-45.01018994209744
event_405,-44.99623640889605
event_406,-45.01337568027127
event_407,-45.018536576112886
event_408,-45.00968022398963
event_409,-45.00694048916013
event_410,-44.99668241224039
event_411,-45.00349989193239
event_412,-45.035994421305475
event_413,-45.00471047243845
event_414,-45.01012622733396
event_415,-45.03445183495879
event_416,-44.99717869832495
event_417,-44.99959985933706
event_418,-44.99991843315445
event_419,-44.99934500028315
event_420,-45.003167886091745
event_421,-45.04477362664199
event_422,-45.03738271407871
event_423,-45.003741318963044
event_424,-45.0177585669279
event_425,-45.00616247997516
event_426,-44.994502678258925
event_427,-45.00074672507964
event_428,-45.00552533234039
event_429,-45.024321187565995
event_430,-44.99947242981011
event_431,-45.00590762092124
event_432,-45.00552533234039
event_433,-44.99686012450756
event_434,-45.02368403993123
event_435,-45.00119272842398
event_436,-45.040504737489066
event_437,-45.00335903038217
event_438,-45.034706694012684
event_439,-45.02846264719198
event_440,-44.99698755403451
event_441,-45.00355017467262
event_442,-45.00291302703784
event_443,-45.011769379161095
event_444,-45.01081365770895
event_445,-44.999408715046634
event_446,-45.002721882747416
event_447,-45.00405989278042
event_448,-44.99858042312143
event_449,-45.00125644318745
event_450,-45.003167886091745
event_451,-45.023301751350374
event_452,-45.00801020811598
event_453,-45.015018832098406
event_454,-45.01132337581675
event_455,-45.02636005999725
event_456,-45.04082331130645
event_457,-45.020052298413056
event_458,-45.0115145201072
event_459,-45.03897558316563
event_460,-45.010622513418525
event_461,-45.053056545893966
event_462,-45.04649392525587
event_463,-45.037318999315225
event_464,-45.025340623781624
event_465,-45.03751014360566
event_466,-45.03929415698301
event_467,-44.99832556406753
event_468,-45.01782228169137
event_469,-45.01495511733492
event_470,-45.00291302703784
event_471,-45.01317110395758
event_472,-45.00087415460659
event_473,-45.01399939588278
event_474,-45.014063110646255
event_475,-45.05190968015138
event_476,-45.02413004327557
event_477,-44.9964778359267
event_478,-45.00922078862203
event_479,-45.008137637642925
event_480,-45.00144758747788
event_481,-45.016293127367945
event_482,-44.997815845959714
event_483,-45.04177903275859
event_484,-45.03120238202147
event_485,-45.041524173704694
event_486,-45.02897236529979
event_487,-45.00597133568473
event_488,-45.00036443649878
event_489,-45.01877800314353
event_490,-45.02285574800604
event_491,-45.002403308930035
event_492,-45.00157501700483
event_493,-45.004442181361284
event_494,-44.99858042312143
event_495,-45.02929093911717
event_496,-44.9978795607232
event_497,-45.053502549238296
event_498,-44.99838927883099
event_499,-45.010622513418525
event_500,-45.00597133568473
event_501,-45.01196052345153
event_502,-45.00367760419956
event_503,-45.010367654364615
event_504,-45.029609512934556
event_505,-45.044391338061146
event_506,-45.01916029172439
event_507,-44.99679640974408
event_508,-44.99864413788491
event_509,-45.00692705713688
event_510,-45.017949711218336
event_511,-45.02444861709295
event_512,-44.99838927883099
event_513,-45.00507932899605
event_514,-44.9964778359267
event_515,-45.00329531561871
event_516,-45.01508646491593
event_517,-45.0099892838378
event_518,-45.01387588440988
event_519,-45.01081757576299
event_520,-45.02387910227571
event_521,-45.02489853849132
event_522,-45.02598168947044
event_523,-45.02152165602707
event_524,-45.020374790284485
event_525,-45.015277609206365
event_526,-45.002470941747546
event_527,-45.011645867688195
event_528,-45.02381538751222
event_529,-45.027893132374736
event_530,-45.00527439134053
event_531,-44.99954006262763
event_532,-45.00119664647802
event_533,-45.00820527046045
event_534,-44.997373760669426
event_535,-45.04420411182475
event_536,-45.01655190447589
event_537,-45.06631313475115
event_538,-44.993104871516486
event_539,-45.03127001483899
event_540,-45.01534132396983
event_541,-44.99992235120848
event_542,-45.00100550218759
event_543,-45.012792733430764
event_544,-45.03139744436595
event_545,-45.04637041378296
event_546,-45.00106921695106
event_547,-45.00355409272665
event_548,-45.01820848832628
event_549,-45.0031718041458
event_550,-45.00552925039443
event_551,-45.04159180652221
event_552,-45.04993844053765
event_553,-45.01425817299073
event_554,-45.00374523701708
event_555,-45.046880131890774
event_556,-45.00712211948135
event_557,-45.04331210513609
event_558,-45.018527062143654
event_559,-45.00336294843623
event_560,-45.00992556907432
event_561,-44.998074623067666
event_562,-45.05446218874449
event_563,-45.01221930055948
event_564,-45.014067028700296
event_565,-44.996163180163364
event_566,-45.003426663199704
event_567,-45.013429881065534
event_568,-45.015659897787216
event_569,-44.99852062641201
event_570,-44.999794921681534
event_571,-44.999476347864146
event_572,-45.02833913571907
event_573,-44.9946977406034
event_574,-45.0287851390634
event_575,-44.995143743947736
event_576,-45.00024092502587
event_577,-45.00253465651103
event_578,-45.018527062143654
event_579,-45.028084276665155
event_580,-44.99692775732509
event_581,-44.99864805593895
event_582,-45.029294857171216
event_583,-44.99896662975634
event_584,-45.003108089382316
event_585,-45.00145150553193
event_586,-45.01158215292471
event_587,-45.00240722698408
event_588,-45.01846334738019
event_589,-45.01489532062549
event_590,-44.997373760669426
event_591,-45.00654868661006
event_592,-45.00865127380478
event_593,-45.003681522253615
event_594,-45.02763827332082
event_595,-45.0119007267421
event_596,-44.99794719354071
event_597,-45.01081757576299
event_598,-45.00826898522393
event_599,-45.020565934574925
event_600,-45.00501953228662
event_601,-45.0089061328587
event_602,-45.0020886531667
event_603,-45.01145472339776
event_604,-45.0031718041458
event_605,-45.0064212570831
event_606,-45.00145150553193
event_607,-45.06013280269391
event_608,-45.02324195464094
event_609,-44.99641803921727
event_610,-45.004637243705766
event_611,-45.02209508889836
event_612,-45.02158537079054
event_613,-45.05745678262789
event_614,-45.004637243705766
event_615,-44.99431545202254
event_616,-45.00565667992138
event_617,-45.01062643147256
event_618,-45.00826898522393
event_619,-45.011008720053425
event_620,-45.05070301769937
event_621,-45.0178899145089
event_622,-45.022349947952264
event_623,-45.014959035388976
event_624,-45.01782619974543
event_625,-45.00017721026239
event_626,-44.997501190196374
event_627,-45.045414692330816
event_628,-45.032608024872005
event_629,-45.00693097519091
event_630,-44.99781976401376
event_631,-45.013684740119444
event_632,-44.998074623067666
event_633,-45.0558001987775
event_634,-45.01616961589503
event_635,-45.00221608269364
event_636,-45.063828258975555
event_637,-45.021075652682725
event_638,-45.042165239393505
event_639,-45.01323873677511
event_640,-45.023624243221796
event_641,-45.00737697853525
event_642,-45.02712855521302
event_643,-45.00941585096651
event_644,-45.046816417127296
event_645,-44.99890291499287
event_646,-45.05255074584019
event_647,-45.02636397805129
event_648,-45.012091871032524
event_649,-45.00055949884326
event_650,-45.03897950121967
event_651,-45.03171601818334
event_652,-45.00215236793017
event_653,-45.05427104445406
event_654,-45.02680998139563
event_655,-45.004637243705766
event_656,-45.00661240137354
event_657,-45.026045404233905
event_658,-45.00215236793017
event_659,-45.027893132374736
event_660,-45.00291694509188
event_661,-45.00036835455282
event_662,-45.01081757576299
event_663,-45.01470417633506
event_664,-44.99839319688505
event_665,-45.03732291736927
event_666,-45.02158537079054
event_667,-45.002789515564935
event_668,-45.01559618302374
event_669,-45.00298065985537
event_670,-44.998074623067666
event_671,-45.03209830676419
event_672,-45.029613430988604
event_673,-45.000750643133685
event_674,-45.00769555235264
event_675,-45.01648818971241
event_676,-45.012729018667294
event_677,-45.012474159613376
event_678,-45.027574558557355
event_679,-45.00202493840322
event_680,-44.99954006262763
event_681,-45.012729018667294
event_682,-45.013748454882915
event_683,-45.0187182064341
event_684,-45.00967071002041
event_685,-45.05229588678628
event_686,-45.001833794112784
event_687,-45.03381860537805
event_688,-45.02591797470696
event_689,-45.00406381083447
event_690,-45.01636076018546
event_691,-45.0596230845861
event_692,-45.020247360757544
event_693,-44.99673661303465
event_694,-45.033563746324155
event_695,-45.00011349549892
event_696,-45.00221608269364
event_697,-45.00323551890927
event_698,-45.037960065004036
event_699,-45.005592965157916
event_700,-44.99922148881025
event_701,-45.017061622583704
event_702,-45.01304759248468
event_703,-45.02515339754524
event_704,-45.017316481637614
event_705,-45.02923114240774
event_706,-45.00986185431085
event_707,-45.01725276687413
event_708,-45.012792733430764
event_709,-45.007440693298726
event_710,-45.00884241809521
event_711,-45.01425817299073
event_712,-45.023624243221796
event_713,-45.020247360757544
event_714,-45.020629649338396
event_715,-45.027319699503444
event_716,-45.03897950121967
event_717,-45.012346730086435
event_718,-45.03598490733627
event_719,-45.03477432683021
event_720,-45.03597790374682
event_721,-45.03686991043549
event_722,-45.052734886541174
event_723,-45.00106221336161
event_724,-45.00800712258057
event_725,-45.016226327069056
event_726,-44.99991534761904
event_727,-45.022279229599334
event_728,-45.02043150145852
event_729,-45.0114477198083
event_730,-45.007561119236236
event_731,-45.03100815219563
event_732,-45.00099849859814
event_733,-45.021833226255
event_734,-45.01253087078741
event_735,-45.01042828359268
event_736,-45.03362045749817
event_737,-45.02087750480285
event_738,-45.00775226352666
event_739,-45.010300854065726
event_740,-45.043687390127495
event_741,-44.99481816654091
event_742,-45.02125979338372
event_743,-45.027886128785276
event_744,-45.062419530589615
event_745,-45.00118964288857
event_746,-45.022151800072386
event_747,-45.04515282968745
event_748,-45.00724254541885
event_749,-45.01578032372473
event_750,-44.99749418660693
event_751,-45.04553511826831
event_752,-45.04324138678316
event_753,-45.00673282731103
event_754,-45.041521088169276
event_755,-45.00373823342764
event_756,-45.00240022339462
event_757,-45.002718797212005
event_758,-45.00106221336161
event_759,-45.01157514933526
event_760,-45.042413094857956
event_761,-45.049103145023004
event_762,-45.00189050528681
event_763,-45.04375110489096
event_764,-45.028204702602665
event_765,-45.0084531259249
event_766,-45.014569743218665
event_767,-45.00482138440674
event_768,-45.05171545032554
event_769,-45.014251169401284
event_770,-44.996347320864345
event_771,-45.008644270215335
event_772,-45.03400274607903
event_773,-45.034831038004235
event_774,-45.03897249763021
event_775,-45.00520367298759
event_776,-45.00316480055634
event_777,-45.02750384020442
event_778,-44.999341914747745
event_779,-44.99685703897216
event_780,-45.03107186695911
event_781,-45.0141874546378
event_782,-44.99500931083133
event_783,-45.023489810105396
event_784,-45.02049521622199
event_785,-45.0210049343298
event_786,-45.01902977666202
event_787,-45.061017805793135
event_788,-45.021196078620235
event_789,-45.009281417850104
event_790,-45.0196669242968
event_791,-45.01520689085343
event_792,-45.00615939443974
event_793,-45.028077273075716
event_794,-45.02527382348274
event_795,-44.999724203328604
event_796,-44.99851362282254
event_797,-45.01533432038038
event_798,-45.007306260182325
event_799,-45.047064272591754
event_800,-45.00896284403272
event_801,-45.013996310347366
event_802,-45.03636019232768
event_803,-45.00698768636494
event_804,-44.993416441744415
event_805,-45.029861286453055
event_806,-45.038207920468494
event_807,-45.02737641067747
event_808,-45.054455185155035
event_809,-45.018902347135075
event_810,-45.0169271894673
event_811,-45.000425065726844
event_812,-45.015015746563
event_813,-45.0141874546378
event_814,-45.02693040733313
event_815,-45.01979435382375
event_816,-44.99966048856512
event_817,-45.046681984010895
event_818,-45.0120211526796
event_819,-45.01514317608995
event_820,-45.04273166867534
event_821,-45.052097738906404
event_822,-45.01023713930225
event_823,-44.998641052349505
event_824,-45.022534088653245
event_825,-45.00412052200849
event_826,-45.08274454013867
event_827,-44.997749045660825
event_828,-45.020558930985466
event_829,-45.00290994150244
event_830,-45.01558917943428
event_831,-44.99889591140341
event_832,-44.998386193295595
event_833,-45.0556657656611
event_834,-45.02393581344973
event_835,-45.006605397784085
event_836,-45.00265508244852
event_837,-45.01374145129347
event_838,-45.00584082062236
event_839,-45.03636019232768
event_840,-44.99692075373562
event_841,-45.0256561120636
event_842,-45.000042777145985
event_843,-45.00316480055634
event_844,-44.995965032283486
event_845,-45.020558930985466
event_846,-45.039482215738026
event_847,-45.00909027355967
event_848,-45.07286875179979
event_849,-45.00513995822412
event_850,-44.99921448522078
event_851,-44.99692075373562
event_852,-45.03209130317474
event_853,-45.00832569639795
event_854,-45.01654490088644
event_855,-45.017564337102066
event_856,-45.03559561516595
event_857,-45.01667233041339
event_858,-45.00061621001727
event_859,-45.00437538106241
event_860,-45.02151465243762
event_861,-45.005012528697165
event_862,-45.023999528213196
event_863,-44.99940562951123
event_864,-45.0114477198083
event_865,-45.02387209868625
event_866,-45.02113236385675
event_867,-44.99762161613387
event_868,-45.01437859892824
event_869,-45.001317072415524
event_870,-45.024190672503636
event_871,-45.066943278796465
event_872,-45.0177554813925
event_873,-45.01679975994035
event_874,-45.00443909582587
event_875,-45.016162612305585
event_876,-45.030562148851295
event_877,-45.02272523294367
event_878,-45.00399309248154
event_879,-44.994372163196566
event_880,-44.99870476711298
event_881,-44.996729609445204
event_882,-45.01871120284465
event_883,-45.011192860754406
event_884,-45.040055648609325
event_885,-45.0084531259249
event_886,-45.036933625198955
event_887,-45.00596825014932
event_888,-45.005267387751076
event_889,-45.01380516605694
event_890,-45.00278251197548
event_891,-44.99908705569384
event_892,-44.99641103562782
event_893,-44.99590131752001
event_894,-45.03782563188764
event_895,-45.0343850346599
event_896,-45.01355030700304
event_897,-44.998131334241684
event_898,-45.006095679676264
event_899,-44.997685330897355
event_900,-45.012658300314364
event_901,-45.00182679052334
event_902,-45.01902977666202
event_903,-45.06044437292185
event_904,-45.00513995822412
event_905,-45.0201766424046
event_906,-45.00099849859814
event_907,-45.00405680724502
event_908,-45.004630240116306
event_909,-45.02247037388976
event_910,-45.013231733185656
event_911,-45.025528682536645
event_912,-45.02285266247063
event_913,-45.00450281058935
event_914,-45.029160424054815
event_915,-44.99895962616689
event_916,-45.01960320953332
event_917,-44.99921448522078
event_918,-45.02189694101848
event_919,-45.02234294436282
event_920,-44.99736675707997
