,peak_X0,peak_Y0
event_0,104.0,-70.8
event_1,104.0,-70.8
event_2,103.0,-21.2
event_3,104.0,-70.8
event_4,104.0,-70.8
event_5,104.0,-25.6
event_6,103.0,-25.6
event_7,103.0,-20.800000000000004
event_8,104.0,-23.599999999999998
event_9,104.0,-25.2
event_10,104.0,-70.8
event_11,104.0,-59.2
event_12,105.0,-70.8
event_13,104.0,-70.8
event_14,104.0,-70.8
event_15,105.0,-70.8
event_16,104.0,-50.4
event_17,104.0,-26.8
event_18,104.0,-70.8
event_19,104.0,-70.8
event_20,104.0,-53.6
event_21,104.0,-35.2
event_22,104.0,-23.599999999999998
event_23,103.0,-23.599999999999998
event_24,104.0,-35.6
event_25,104.0,-70.8
event_26,104.0,-43.6
event_27,104.0,-70.8
event_28,103.0,-25.6
event_29,105.0,-70.8
event_30,104.0,-52.00000000000001
event_31,105.0,-70.8
event_32,104.0,-48.400000000000006
event_33,104.0,-59.6
event_34,105.0,-70.8
event_35,105.0,-43.2
event_36,104.0,-70.8
event_37,104.0,-70.0
event_38,105.0,-70.8
event_39,104.0,-24.800000000000004
event_40,104.0,-70.8
event_41,104.0,-41.2
event_42,104.0,-47.6
event_43,104.0,-67.60000000000001
event_44,104.0,-70.8
event_45,104.0,-30.8
event_46,105.0,-70.8
event_47,104.0,-37.2
event_48,104.0,-68.4
event_49,104.0,-68.8
event_50,104.0,-26.4
event_51,104.0,-60.00000000000001
event_52,104.0,-38.800000000000004
event_53,104.0,-32.4
event_54,104.0,-70.8
event_55,105.0,-70.8
event_56,104.0,-70.8
event_57,103.0,-23.200000000000003
event_58,104.0,-58.0
event_59,104.0,-27.200000000000003
event_60,104.0,-70.8
event_61,105.0,-63.6
event_62,104.0,-45.2
event_63,104.0,-62.0
event_64,105.0,-70.8
event_65,105.0,-70.8
event_66,104.0,-60.400000000000006
event_67,104.0,-21.6
event_68,104.0,-70.8
event_69,105.0,-70.4
event_70,105.0,-57.60000000000001
event_71,104.0,-39.199999999999996
event_72,104.0,-70.8
event_73,104.0,-49.60000000000001
event_74,105.0,-70.8
event_75,104.0,-70.8
event_76,104.0,-22.000000000000004
event_77,104.0,-33.6
event_78,104.0,-53.6
event_79,104.0,-70.8
event_80,103.0,-22.8
event_81,104.0,-54.400000000000006
event_82,104.0,-54.0
event_83,104.0,-70.8
event_84,104.0,-23.200000000000003
event_85,104.0,-60.8
event_86,103.0,-34.4
event_87,104.0,-40.0
event_88,105.0,-70.8
event_89,104.0,-20.400000000000002
event_90,104.0,-70.8
event_91,104.0,-70.8
event_92,104.0,-70.8
event_93,104.0,-70.8
event_94,104.0,-65.2
event_95,105.0,-44.00000000000001
event_96,104.0,-70.8
event_97,104.0,-49.60000000000001
event_98,105.0,-48.0
event_99,105.0,-70.8
event_100,104.0,-24.400000000000002
event_101,104.0,-70.4
event_102,105.0,-70.8
event_103,105.0,-52.400000000000006
event_104,104.0,-57.2
event_105,105.0,-70.8
event_106,104.0,-34.0
event_107,104.0,-70.8
event_108,104.0,-48.400000000000006
event_109,104.0,-33.6
event_110,104.0,-70.8
event_111,104.0,-70.8
event_112,104.0,-58.800000000000004
event_113,105.0,-70.8
event_114,104.0,-46.800000000000004
event_115,104.0,-62.400000000000006
event_116,104.0,-41.2
event_117,104.0,-70.8
event_118,104.0,-70.8
event_119,104.0,-35.2
event_120,105.0,-70.8
event_121,104.0,-46.400000000000006
event_122,104.0,-70.8
event_123,104.0,-53.2
event_124,105.0,-70.4
event_125,105.0,-70.8
event_126,105.0,-50.0
event_127,105.0,-70.8
event_128,104.0,-38.0
event_129,104.0,-61.6
event_130,105.0,-66.0
event_131,103.0,-20.400000000000002
event_132,104.0,-70.8
event_133,104.0,-42.0
event_134,104.0,-70.8
event_135,104.0,-70.8
event_136,104.0,-64.4
event_137,105.0,-70.8
event_138,105.0,-69.2
event_139,103.0,-26.4
event_140,104.0,-35.2
event_141,104.0,-44.4
event_142,104.0,-70.8
event_143,104.0,-70.8
event_144,105.0,-47.6
event_145,104.0,-54.400000000000006
event_146,104.0,-70.8
event_147,104.0,-70.8
event_148,103.0,-20.400000000000002
event_149,104.0,-70.8
event_150,104.0,-70.8
event_151,104.0,-70.8
event_152,105.0,-70.8
event_153,104.0,-20.800000000000004
event_154,104.0,-70.8
event_155,104.0,-70.8
event_156,104.0,-70.8
event_157,105.0,-70.8
event_158,104.0,-70.8
event_159,104.0,-26.8
event_160,104.0,-64.0
event_161,105.0,-70.8
event_162,104.0,-42.4
event_163,105.0,-70.8
event_164,104.0,-70.8
event_165,104.0,-70.8
event_166,104.0,-22.000000000000004
event_167,104.0,-60.00000000000001
event_168,104.0,-70.8
event_169,104.0,-60.00000000000001
event_170,104.0,-34.4
event_171,104.0,-70.8
event_172,104.0,-70.8
event_173,104.0,-26.000000000000004
event_174,104.0,-70.8
event_175,104.0,-29.6
event_176,105.0,-70.8
event_177,104.0,-46.800000000000004
event_178,104.0,-70.8
event_179,104.0,-70.8
event_180,104.0,-70.8
event_181,104.0,-70.8
event_182,104.0,-70.8
event_183,105.0,-70.8
event_184,104.0,-22.000000000000004
event_185,104.0,-70.8
event_186,104.0,-70.8
event_187,103.0,-27.6
event_188,104.0,-40.0
event_189,105.0,-70.8
event_190,105.0,-62.80000000000001
event_191,104.0,-62.0
event_192,103.0,-27.200000000000003
event_193,104.0,-21.6
event_194,104.0,-53.2
event_195,104.0,-70.8
event_196,104.0,-70.8
event_197,104.0,-70.8
event_198,104.0,-49.2
event_199,104.0,-46.0
event_200,104.0,-70.8
event_201,104.0,-41.2
event_202,105.0,-57.60000000000001
event_203,104.0,-70.8
event_204,104.0,-28.0
event_205,105.0,-70.8
event_206,104.0,-70.8
event_207,104.0,-37.6
event_208,105.0,-53.6
event_209,104.0,-70.8
event_210,105.0,-48.0
event_211,105.0,-70.8
event_212,104.0,-70.8
event_213,104.0,-70.8
event_214,104.0,-70.8
event_215,104.0,-25.6
event_216,104.0,-70.8
event_217,104.0,-36.8
event_218,104.0,-30.8
event_219,105.0,-58.0
event_220,103.0,-22.4
event_221,104.0,-70.8
event_222,104.0,-26.8
event_223,104.0,-28.800000000000004
event_224,105.0,-70.8
event_225,105.0,-70.8
event_226,104.0,-31.6
event_227,104.0,-39.199999999999996
event_228,104.0,-70.8
event_229,104.0,-25.6
event_230,104.0,-70.8
event_231,104.0,-70.8
event_232,104.0,-47.6
event_233,105.0,-66.0
event_234,104.0,-27.6
event_235,104.0,-70.8
event_236,103.0,-21.6
event_237,104.0,-41.2
event_238,104.0,-34.0
event_239,104.0,-70.8
event_240,104.0,-39.199999999999996
event_241,104.0,-70.8
event_242,104.0,-26.4
event_243,104.0,-27.6
event_244,104.0,-70.8
event_245,104.0,-42.800000000000004
event_246,105.0,-70.8
event_247,104.0,-49.60000000000001
event_248,104.0,-58.4
event_249,103.0,-22.4
event_250,104.0,-70.8
event_251,104.0,-31.200000000000003
event_252,104.0,-70.8
event_253,105.0,-70.8
event_254,105.0,-51.2
event_255,104.0,-70.8
event_256,104.0,-65.60000000000001
event_257,105.0,-70.8
event_258,104.0,-70.8
event_259,104.0,-24.400000000000002
event_260,104.0,-70.8
event_261,104.0,-36.00000000000001
event_262,104.0,-50.0
event_263,105.0,-70.8
event_264,105.0,-70.8
event_265,104.0,-70.8
event_266,104.0,-54.400000000000006
event_267,104.0,-56.800000000000004
event_268,104.0,-70.8
event_269,104.0,-50.4
event_270,104.0,-51.2
event_271,104.0,-54.400000000000006
event_272,104.0,-70.8
event_273,104.0,-70.8
event_274,103.0,-23.200000000000003
