,peak_X0,peak_Y0
event_238,104.0,40.8
event_239,105.0,74.39999999999999
event_240,105.0,70.79999999999998
event_241,104.0,36.0
event_242,104.0,51.6
event_243,104.0,49.2
event_244,105.0,44.39999999999999
event_245,104.0,55.19999999999999
event_246,105.0,62.4
event_247,105.0,41.99999999999999
event_248,104.0,44.39999999999999
event_249,104.0,55.19999999999999
event_250,105.0,65.99999999999999
event_251,105.0,57.6
event_252,103.0,34.8
event_253,103.0,22.8
event_254,103.0,21.6
event_255,105.0,96.0
event_256,105.0,105.59999999999998
event_257,105.0,76.8
event_258,104.0,33.6
event_259,105.0,47.99999999999999
event_260,103.0,39.6
event_261,105.0,104.4
event_262,105.0,86.39999999999999
event_263,105.0,62.4
event_264,103.0,26.399999999999995
event_265,105.0,86.39999999999999
event_266,103.0,36.0
event_267,104.0,47.99999999999999
event_268,104.0,44.39999999999999
event_269,104.0,36.0
event_270,105.0,73.19999999999999
event_271,104.0,34.8
event_272,105.0,131.99999999999997
event_273,105.0,147.6
event_274,104.0,74.39999999999999
event_275,105.0,56.39999999999999
event_276,105.0,69.6
event_277,104.0,67.2
event_278,103.0,36.0
event_279,105.0,45.6
event_280,105.0,60.0
event_281,104.0,33.6
event_282,104.0,28.8
event_283,105.0,69.6
event_284,104.0,34.8
event_285,105.0,72.0
event_286,105.0,65.99999999999999
event_287,102.0,22.8
event_288,103.0,26.399999999999995
event_289,104.0,34.8
event_290,104.0,70.79999999999998
event_291,103.0,25.2
event_292,103.0,21.6
event_293,105.0,78.0
event_294,105.0,74.39999999999999
event_295,104.0,57.6
event_296,105.0,47.99999999999999
event_297,104.0,61.2
event_298,103.0,28.8
event_299,104.0,50.39999999999999
event_300,105.0,49.2
event_301,105.0,46.8
event_302,105.0,82.8
event_303,105.0,51.6
event_304,105.0,117.6
event_305,105.0,114.0
event_306,104.0,22.8
event_307,104.0,47.99999999999999
event_308,101.0,24.0
event_309,104.0,63.59999999999999
event_310,104.0,45.6
event_311,104.0,53.99999999999999
event_312,105.0,51.6
event_313,104.0,56.39999999999999
event_314,105.0,52.79999999999999
event_315,105.0,61.2
event_316,105.0,114.0
event_317,104.0,36.0
event_318,104.0,49.2
event_319,104.0,37.2
event_320,104.0,58.8
event_321,103.0,24.0
event_322,105.0,98.4
event_323,104.0,49.2
event_324,105.0,67.2
event_325,105.0,99.6
event_326,105.0,69.6
event_327,103.0,22.8
event_328,105.0,92.4
event_329,104.0,72.0
event_330,105.0,58.8
event_331,104.0,41.99999999999999
event_332,105.0,78.0
event_333,104.0,44.39999999999999
event_334,105.0,67.2
event_335,104.0,43.2
event_336,104.0,45.6
event_337,105.0,41.99999999999999
event_338,104.0,72.0
event_339,104.0,37.2
event_340,103.0,32.4
event_341,105.0,72.0
event_342,104.0,40.8
event_343,102.0,21.6
event_344,104.0,43.2
event_345,103.0,25.2
event_346,104.0,44.39999999999999
event_347,104.0,41.99999999999999
event_348,103.0,24.0
event_349,103.0,25.2
event_350,104.0,56.39999999999999
event_351,104.0,44.39999999999999
event_352,104.0,24.0
event_353,104.0,60.0
event_354,105.0,79.19999999999999
event_355,104.0,64.8
event_356,104.0,30.0
event_357,104.0,47.99999999999999
event_358,105.0,55.19999999999999
event_359,104.0,36.0
event_360,103.0,24.0
event_361,104.0,67.2
event_362,104.0,60.0
event_363,105.0,67.2
event_364,104.0,60.0
event_365,104.0,63.59999999999999
event_366,103.0,37.2
event_367,104.0,52.79999999999999
